cell ,	0,	1,	2,	3,	4,	5,	6,	7,	8,	9,	10,	11,	12,	13,	14,	15,	16,	17,	18,	19,	20,	21,	22,	23,	24,	25,	26,	27,	28,	29,	30,	31,	32,	33,	34,	35,	36,	37,	38,	39,	40,	41,	42,	43,	44,	45,	46,	47,	48,	49,	50,	51,	52,	53,	54,	55,	56,	57,	58,	59,	60,	61,	62,	63,	64,	65,	66,	67,	68,	69,	70,	71,	72,	73,	74,	75,	76,	77,	78,	79,	80,	81,	82,	83,	84,	85,	86,	87,	88,	89,	90,	91,	92,	93,	94,	95,	96,	97,	98,	99,	
AG10803,	0.358938,	16.7265,	0.358938,	1.7229,	0.5743,	0.215363,	0.717875,	0.502513,	1.50754,	0.0717875,	0.933238,	2.72793,	1.65111,	0.28715,	0.5743,	1.22039,	0.86145,	0.143575,	1.79469,	0.28715,	2.44078,	4.52261,	0.143575,	0.789663,	0,	0.430725,	0.933238,	0.215363,	0.430725,	0.789663,	0.86145,	0.5743,	0.0717875,	0.86145,	1.93826,	0.143575,	0.502513,	5.743,	0.0717875,	0.646088,	1.29218,	1.36396,	0.358938,	0.646088,	0.0717875,	0.5743,	0.0717875,	0.646088,	1.29218,	1.1486,	0.5743,	0.143575,	0.789663,	2.2972,	0.933238,	0.430725,	2.01005,	0.215363,	0,	2.22541,	0.0717875,	0.0717875,	0.28715,	0.502513,	0.143575,	0.28715,	0,	0.5743,	1.22039,	0.0717875,	0.430725,	1.43575,	0.215363,	0.646088,	3.37401,	0.502513,	0.717875,	0.502513,	2.8715,	0.0717875,	2.22541,	0.215363,	0,	2.51256,	0.646088,	1.22039,	1.86648,	0.0717875,	0.789663,	1.43575,	0.143575,	0,	0.933238,	0.215363,	0.789663,	0,	0,	0.215363,	0.215363,	0.0717875,	
AoAF,	0.13947,	14.1562,	0.767085,	1.46444,	0.83682,	0.209205,	0.627615,	0.348675,	2.23152,	0,	1.46444,	2.44073,	1.3947,	0.069735,	1.04603,	0.906555,	0.69735,	0,	2.09205,	0.209205,	2.09205,	4.11437,	0.069735,	0.41841,	0,	0.627615,	0.627615,	0.27894,	0.348675,	0.348675,	1.32497,	0.55788,	0.209205,	0.69735,	2.30126,	0,	0.55788,	7.94979,	0.069735,	0.348675,	1.60391,	1.11576,	0.627615,	0.55788,	0.209205,	0.069735,	0,	1.1855,	1.67364,	1.3947,	0.488145,	0.348675,	1.3947,	2.02232,	1.1855,	0.209205,	2.30126,	0.209205,	0,	2.5802,	0.27894,	0.209205,	0.488145,	0.627615,	0.069735,	0.41841,	0.069735,	0.627615,	1.67364,	0,	0.348675,	0.69735,	0.069735,	0.488145,	2.99861,	0.41841,	0.83682,	0.27894,	3.06834,	0.209205,	1.74338,	0.348675,	0,	2.51046,	1.11576,	0.906555,	1.88285,	0.069735,	1.53417,	0.69735,	0.13947,	0.069735,	0.488145,	0.069735,	0.627615,	0,	0,	0.069735,	0.069735,	0.55788,	
CD20+,	0.144823,	17.8132,	0.796524,	1.66546,	1.01376,	0.217234,	0.651702,	0.651702,	1.23099,	0,	0.868936,	0.796524,	2.17234,	0.434468,	0.868936,	0.57929,	0.289645,	0.144823,	0.651702,	0.434468,	1.23099,	4.34468,	0,	1.3034,	0.0724113,	0.289645,	1.23099,	0.217234,	0.506879,	1.01376,	0.796524,	0.796524,	0.217234,	0.724113,	1.23099,	0,	0.506879,	3.25851,	0.144823,	0.941347,	1.66546,	1.44823,	0.289645,	1.23099,	0.217234,	0.144823,	0.217234,	0.724113,	1.66546,	1.08617,	0.724113,	0.217234,	1.9551,	1.3034,	1.88269,	0.434468,	2.24475,	0.217234,	0,	1.15858,	0.217234,	0.217234,	0,	0.289645,	0.0724113,	0.217234,	0,	0.941347,	1.3034,	0,	0.362056,	1.59305,	0,	0.651702,	2.5344,	0.289645,	0.941347,	0.57929,	4.85156,	0.217234,	4.56191,	0.289645,	0,	2.17234,	0.941347,	0.796524,	2.46198,	0.144823,	0.57929,	0.941347,	0,	0.0724113,	1.15858,	0.362056,	0.796524,	0.0724113,	0,	0.144823,	0,	0.144823,	
GM06990,	0.493421,	16.6941,	1.64474,	3.78289,	2.30263,	0.164474,	0.246711,	3.28947,	0.0822368,	1.97368,	0.164474,	0.411184,	3.125,	0.904605,	0.986842,	0.822368,	0.986842,	0.328947,	0.0822368,	0.411184,	0.164474,	0.164474,	0.822368,	1.89145,	0.493421,	0.411184,	0.246711,	0.246711,	0.328947,	1.06908,	0,	3.28947,	0.986842,	2.13816,	0.493421,	0.411184,	1.06908,	0.740132,	0.822368,	1.5625,	0.328947,	0.986842,	0.0822368,	0.0822368,	0,	0.164474,	0,	0,	0.822368,	0.411184,	0,	0,	0.246711,	1.39803,	2.63158,	2.05592,	0,	0.822368,	0.246711,	0.575658,	1.23355,	0.822368,	1.80921,	0.164474,	0.0822368,	1.06908,	0.0822368,	0.575658,	4.93421,	0.246711,	0.164474,	1.15132,	0.328947,	0.328947,	0.986842,	0.164474,	6.66118,	0,	1.72697,	0,	0.904605,	0.246711,	0.246711,	0.822368,	1.72697,	0.986842,	1.31579,	0.164474,	0.657895,	0.740132,	0.0822368,	0.0822368,	0.164474,	0.575658,	0,	0.246711,	0.575658,	0,	0.164474,	0.657895,	
GM12865,	0.141945,	17.6011,	0.496806,	1.41945,	0.567779,	0.212917,	0.425834,	0.354862,	2.20014,	0,	0.851668,	2.48403,	1.49042,	0.354862,	0.425834,	0.993613,	0.567779,	0.0709723,	1.56139,	0.354862,	1.41945,	4.54223,	0.212917,	1.41945,	0.0709723,	0.496806,	0.496806,	0.141945,	0.780696,	0.92264,	0.851668,	0.638751,	0,	0.567779,	1.98723,	0,	0.212917,	7.23918,	0.141945,	0.283889,	1.98723,	1.63236,	0.709723,	0.851668,	0.0709723,	0.212917,	0.0709723,	0.567779,	1.63236,	1.41945,	0.496806,	0.283889,	0.638751,	2.27111,	0.993613,	0.567779,	2.27111,	0.0709723,	0,	2.90987,	0.283889,	0.212917,	0.0709723,	0.354862,	0.0709723,	0.212917,	0,	0.638751,	1.2775,	0,	0.283889,	1.34847,	0.0709723,	0.354862,	3.05181,	0.496806,	0.780696,	0.496806,	3.12278,	0.141945,	1.77431,	0.354862,	0,	2.48403,	1.13556,	0.567779,	1.56139,	0,	0.92264,	0.993613,	0.0709723,	0,	0.567779,	0.212917,	0.212917,	0.0709723,	0,	0.354862,	0.141945,	0.638751,	
H7-hESC,	0.347947,	12.874,	0.695894,	1.9485,	0.487126,	0.208768,	0.417537,	0.487126,	1.53097,	0.139179,	0.765484,	2.57481,	2.29645,	0.417537,	0.417537,	1.46138,	0.417537,	0,	1.60056,	0.0695894,	1.9485,	3.40988,	0,	0.974252,	0.278358,	0.487126,	0.904663,	0.139179,	0.278358,	0.974252,	0.417537,	0.347947,	0.0695894,	0.974252,	1.80933,	0.139179,	0.347947,	7.79401,	0.0695894,	0.417537,	1.67015,	1.25261,	0.765484,	0.835073,	0.0695894,	0.139179,	0,	0.626305,	1.73974,	1.3222,	0.556715,	0.139179,	0.765484,	2.22686,	1.25261,	0.278358,	2.29645,	0.417537,	0.208768,	3.13152,	0.695894,	0.278358,	0.417537,	1.11343,	0,	0.208768,	0,	0.835073,	2.15727,	0,	0.208768,	1.18302,	0.0695894,	0.556715,	2.15727,	0.556715,	0.835073,	0.0695894,	3.61865,	0.208768,	1.87891,	0.208768,	0,	2.78358,	0.556715,	0.765484,	2.43563,	0.139179,	0.835073,	1.67015,	0.139179,	0.208768,	0.765484,	0.278358,	0.695894,	0,	0,	0.139179,	0.278358,	0.417537,	
HA-h,	0.201207,	13.1455,	0.804829,	1.87793,	1.07311,	0.402414,	0.536553,	1.07311,	1.54259,	0.134138,	0.871898,	1.47552,	0.938967,	0.536553,	1.14017,	1.07311,	0.603622,	0.0670691,	1.07311,	0.134138,	1.40845,	5.49966,	0.134138,	1.27431,	0.201207,	0.804829,	0.938967,	0.335345,	0.73776,	0.938967,	1.27431,	0.603622,	0.0670691,	0.670691,	1.67673,	0,	0.469484,	3.48759,	0.0670691,	0.268276,	2.41449,	1.60966,	0.134138,	1.27431,	0.402414,	0.134138,	0.201207,	1.07311,	0.938967,	1.27431,	0.603622,	0.268276,	2.07914,	1.20724,	1.40845,	0.469484,	2.41449,	0.402414,	0.134138,	1.40845,	0.536553,	0.469484,	0.201207,	0.73776,	0,	0.335345,	0,	0.73776,	1.20724,	0.0670691,	0.402414,	0.938967,	0.0670691,	0.73776,	2.54863,	0.402414,	0.73776,	0.335345,	2.88397,	0,	2.07914,	0.335345,	0,	2.68276,	0.871898,	0.73776,	3.28638,	0.268276,	0.73776,	1.60966,	0.0670691,	0,	1.87793,	0.73776,	0.804829,	0.0670691,	0.0670691,	0.603622,	0.201207,	0.201207,	
HAEpiC,	0.353607,	15.2051,	0.636492,	2.19236,	0.636492,	0.353607,	1.41443,	0.353607,	1.48515,	0,	0.777935,	1.13154,	2.89958,	0.353607,	1.06082,	1.90948,	0.424328,	0.0707214,	0.990099,	0.0707214,	1.90948,	2.75813,	0.0707214,	1.41443,	0.0707214,	0.212164,	1.20226,	0.0707214,	0.353607,	0.777935,	0.212164,	0.49505,	0.212164,	0.777935,	2.12164,	0.0707214,	0.424328,	2.82885,	0.0707214,	0.282885,	1.76803,	1.13154,	0.212164,	1.27298,	0,	0.212164,	0.0707214,	0.990099,	1.34371,	1.83876,	0.49505,	0.141443,	2.05092,	0.990099,	1.62659,	0.282885,	2.40453,	0.565771,	0.0707214,	1.62659,	0.707214,	0.212164,	0.353607,	1.20226,	0.282885,	0.0707214,	0,	0.353607,	2.19236,	0,	0.353607,	1.62659,	0.141443,	1.13154,	2.47525,	0.424328,	0.49505,	0.212164,	5.23338,	0,	3.46535,	0.353607,	0,	2.26308,	0.848656,	1.13154,	2.3338,	0.0707214,	0.990099,	0.990099,	0.212164,	0.0707214,	0.49505,	0.282885,	0.848656,	0,	0,	0.0707214,	0.0707214,	0.282885,	
HCF,	0,	15.331,	0.557491,	1.5331,	0.696864,	0.418118,	0.557491,	0.557491,	2.16028,	0,	1.11498,	2.78746,	1.32404,	0.348432,	0.766551,	1.0453,	0.487805,	0,	2.09059,	0.209059,	1.46341,	4.80836,	0.0696864,	0.348432,	0.0696864,	0.487805,	0.97561,	0.209059,	0.557491,	0.766551,	1.39373,	0.696864,	0.0696864,	0.97561,	2.29965,	0.0696864,	0.696864,	7.10801,	0.0696864,	0.348432,	1.67247,	1.46341,	0.557491,	0.696864,	0.348432,	0.0696864,	0,	0.627178,	1.32404,	1.88153,	0.348432,	0.0696864,	1.0453,	2.02091,	0.557491,	0.557491,	2.29965,	0.278746,	0,	2.71777,	0.348432,	0.209059,	0.348432,	0.627178,	0.139373,	0,	0,	0.836237,	1.0453,	0,	0.278746,	1.11498,	0,	0.557491,	2.5784,	0.836237,	0.696864,	0.139373,	3.34495,	0,	1.67247,	0.139373,	0,	2.78746,	0.418118,	1.0453,	2.50871,	0,	0.97561,	1.25436,	0.0696864,	0.0696864,	0.418118,	0.209059,	0.487805,	0,	0,	0.557491,	0.278746,	0,	
HCM,	0.350877,	15.2982,	0.631579,	2.66667,	0.842105,	0.701754,	0.701754,	0.280702,	1.89474,	0,	0.982456,	1.54386,	1.26316,	0.280702,	0.982456,	0.842105,	0.561404,	0,	1.19298,	0.140351,	2.10526,	3.4386,	0.140351,	0.561404,	0.0701754,	0.561404,	1.12281,	0.140351,	0.77193,	0.631579,	0.912281,	0.491228,	0.280702,	0.561404,	2.73684,	0.210526,	0.350877,	4.2807,	0,	0.561404,	2.17544,	1.40351,	0.561404,	1.19298,	0.210526,	0.0701754,	0,	0.701754,	1.75439,	1.26316,	0.701754,	0.421053,	1.26316,	1.96491,	1.26316,	0.77193,	3.01754,	0.280702,	0.0701754,	1.89474,	0.350877,	0.421053,	0.0701754,	0.842105,	0,	0.140351,	0,	0.491228,	0.982456,	0,	0.0701754,	0.982456,	0,	0.77193,	3.01754,	0.561404,	1.05263,	0.421053,	2.73684,	0,	3.15789,	0.280702,	0,	2.73684,	1.05263,	0.842105,	2.17544,	0.0701754,	1.26316,	1.33333,	0.210526,	0.0701754,	0.631579,	0.140351,	0.421053,	0,	0.140351,	0.140351,	0.140351,	0.210526,	
