cell ,	0,	1,	2,	3,	4,	5,	6,	7,	8,	9,	10,	11,	12,	13,	14,	15,	16,	17,	18,	19,	20,	21,	22,	23,	24,	25,	26,	27,	28,	29,	30,	31,	32,	33,	34,	35,	36,	37,	38,	39,	40,	41,	42,	43,	44,	45,	46,	47,	48,	49,	50,	51,	52,	53,	54,	55,	56,	57,	58,	59,	60,	61,	62,	63,	64,	65,	66,	67,	68,	69,	70,	71,	72,	73,	74,	75,	76,	77,	78,	79,	80,	81,	82,	83,	84,	85,	86,	87,	88,	89,	90,	91,	92,	93,	94,	95,	96,	97,	98,	99,	
AG10803,	0.0575705,	19.5164,	1.43926,	1.26655,	1.72712,	0.402994,	1.03627,	0.402994,	0.518135,	0,	1.32412,	2.13011,	5.35406,	0.460564,	1.38169,	1.43926,	0.978699,	0.230282,	0.345423,	0.172712,	0.633276,	0.460564,	0.0575705,	0.345423,	0.115141,	0.0575705,	1.43926,	0.230282,	0.805987,	1.03627,	0.0575705,	1.43926,	0.287853,	1.32412,	0.230282,	0.230282,	0.978699,	1.20898,	0.402994,	1.89983,	0.460564,	0.575705,	0.172712,	0.230282,	0.0575705,	0.115141,	0.172712,	0.748417,	2.5331,	0.230282,	0,	0.0575705,	1.9574,	1.32412,	1.15141,	1.15141,	0.402994,	1.15141,	0.633276,	0.518135,	0.345423,	1.89983,	0,	0.345423,	0,	0.345423,	0.115141,	1.26655,	2.13011,	0.115141,	1.26655,	1.49683,	0.115141,	0.115141,	1.89983,	0.345423,	0.633276,	0,	3.33909,	0.690846,	3.85723,	1.66955,	0,	1.72712,	1.32412,	1.72712,	1.78469,	0.115141,	0.230282,	0.633276,	0.402994,	0.345423,	0.345423,	0.115141,	0.115141,	0.230282,	0.0575705,	0.345423,	0.115141,	1.32412,	
AoAF,	0.110436,	17.2833,	1.93263,	1.15958,	1.60133,	0.276091,	1.76698,	0.496963,	0.717835,	0,	1.76698,	1.32523,	5.68747,	0.331309,	2.37438,	1.10436,	1.32523,	0.110436,	0.717835,	0.165654,	0.552181,	0.662617,	0.0552181,	0.276091,	0.276091,	0.276091,	1.87742,	0.110436,	0.552181,	1.15958,	0.0552181,	2.15351,	0.110436,	1.04914,	0.110436,	0.331309,	1.10436,	0.717835,	0.386527,	1.04914,	0.607399,	0.607399,	0,	0.331309,	0.276091,	0.276091,	0.0552181,	0.607399,	2.87134,	0.441745,	0,	0,	1.98785,	2.04307,	0.552181,	1.32523,	0.276091,	1.32523,	0.607399,	0.607399,	0.220872,	1.71176,	0,	0.276091,	0.0552181,	0.276091,	0.276091,	0.88349,	2.31916,	0,	1.38045,	1.71176,	0.165654,	0.0552181,	1.10436,	0.441745,	0.386527,	0,	4.5831,	0.220872,	4.14136,	1.2148,	0,	2.31916,	1.65654,	1.65654,	1.15958,	0.165654,	0.441745,	0.828272,	0.276091,	0.386527,	0.331309,	0.0552181,	0.0552181,	0.165654,	0.110436,	0.165654,	0,	0.88349,	
CD20+,	0.0682128,	25.9209,	1.56889,	0.613915,	2.31924,	0.0682128,	0.47749,	0.272851,	0.272851,	0,	0.613915,	1.90996,	5.8663,	0.613915,	1.15962,	2.38745,	0.341064,	0.0682128,	0.47749,	0.204638,	0.272851,	0.341064,	0.0682128,	0.750341,	0,	0.341064,	0.613915,	0.545703,	0.545703,	1.02319,	0,	1.22783,	0.272851,	2.86494,	0.409277,	0,	1.02319,	2.31924,	0.47749,	2.1146,	0.341064,	0.47749,	0,	0,	0.204638,	0.0682128,	0.0682128,	0.886767,	3.13779,	0,	0.0682128,	0.0682128,	1.02319,	1.90996,	0.409277,	0.818554,	0.204638,	0.545703,	0.272851,	0.682128,	0.47749,	1.02319,	0.136426,	0.409277,	0,	0.409277,	0.341064,	1.77353,	1.50068,	0.136426,	0.545703,	3.34243,	0,	0.136426,	1.50068,	0.136426,	0.95498,	0,	4.57026,	0.204638,	1.77353,	0.47749,	0,	1.43247,	0.682128,	1.43247,	1.63711,	0.0682128,	0.47749,	0.136426,	0.136426,	0.0682128,	0.409277,	0,	0,	0.409277,	0,	0.0682128,	0.136426,	1.43247,	
GM06990,	0.094162,	33.4275,	1.41243,	1.41243,	2.07156,	0.282486,	0.188324,	0.376648,	0.282486,	0.564972,	0.376648,	1.69492,	3.38983,	0.188324,	0.282486,	1.78908,	0.564972,	0.188324,	0.282486,	0.282486,	0.47081,	0.376648,	0.47081,	1.12994,	0.094162,	0.188324,	0.188324,	0.188324,	0.282486,	0.282486,	0.376648,	0.753296,	0.376648,	2.7307,	0.564972,	0,	0.47081,	2.7307,	0.564972,	2.35405,	0.376648,	0.659134,	0.094162,	0.659134,	0.282486,	0.094162,	0,	0.094162,	2.44821,	0.282486,	0.188324,	0,	0.47081,	1.9774,	1.41243,	0.376648,	0.094162,	0.376648,	0,	0.376648,	0.659134,	0.376648,	0.753296,	0.376648,	0.376648,	0.47081,	0.094162,	0.847458,	2.82486,	0.094162,	0.188324,	2.91902,	0.188324,	0.282486,	2.7307,	0.376648,	2.7307,	0.188324,	1.50659,	0,	0.564972,	0.188324,	0,	0.188324,	0.564972,	0.753296,	2.07156,	0,	0.564972,	0.282486,	0,	0.188324,	0.282486,	0.47081,	0,	0,	0,	0.188324,	0.094162,	1.60075,	
GM12865,	0,	27.3885,	2.03822,	0.700637,	2.54777,	0.382166,	0.382166,	0.44586,	0.573248,	0,	1.0828,	2.16561,	5.5414,	0.0636943,	1.27389,	1.71975,	0.509554,	0.127389,	0.191083,	0.191083,	0.44586,	0.254777,	0.127389,	0.573248,	0.0636943,	0.254777,	0.764331,	0.127389,	0.382166,	0.89172,	0.191083,	1.0828,	0.318471,	2.29299,	0.254777,	0.0636943,	0.89172,	1.0828,	0.191083,	1.52866,	0,	0.700637,	0.191083,	0.191083,	0,	0,	0,	0.318471,	2.99363,	0.191083,	0,	0.127389,	1.21019,	1.46497,	0.382166,	0.636943,	0.0636943,	1.40127,	0.127389,	1.0828,	0.254777,	1.40127,	0.127389,	0.44586,	0.0636943,	0.318471,	0.382166,	0.828025,	2.42038,	0.127389,	0.636943,	2.29299,	0,	0.0636943,	2.48408,	0.127389,	1.27389,	0.0636943,	3.69427,	0.254777,	2.10191,	1.46497,	0,	1.21019,	1.01911,	1.65605,	1.78344,	0,	0.44586,	0.254777,	0.254777,	0.254777,	0.382166,	0,	0.0636943,	0.127389,	0.0636943,	0.0636943,	0.0636943,	1.33758,	
H7-hESC,	0.0625,	24.25,	1.75,	0.9375,	1.75,	0.0625,	1,	0.6875,	0.3125,	0,	0.9375,	1.875,	5,	0.125,	1.5,	1.25,	1.0625,	0.125,	0.375,	0.0625,	0.375,	0.375,	0,	0.75,	0.125,	0.3125,	1.125,	0.125,	0.5625,	1.0625,	0,	1.5,	0.3125,	1.9375,	0.3125,	0.1875,	1.3125,	1.0625,	0.4375,	1.0625,	0.3125,	0.5625,	0.3125,	0.125,	0,	0.125,	0.0625,	0.3125,	3.125,	0.25,	0.0625,	0.0625,	1.6875,	1.125,	0.5,	1,	0.1875,	1.3125,	0.3125,	0.8125,	0.125,	1.3125,	0.1875,	0.625,	0.0625,	0.375,	0,	0.875,	2.4375,	0.0625,	1.125,	1.9375,	0.0625,	0.0625,	1.9375,	0.4375,	1.0625,	0,	3.625,	0.5625,	3.5,	1.25,	0,	2.3125,	1.1875,	1.9375,	1.5,	0,	0.25,	0.4375,	0.125,	0.375,	0.4375,	0.0625,	0,	0.0625,	0.0625,	0.1875,	0,	1.125,	
HA-h,	0.0548246,	15.6798,	2.46711,	1.42544,	1.42544,	0.328947,	0.548246,	0.767544,	0.712719,	0.0548246,	1.31579,	1.75439,	4.11184,	0.60307,	1.80921,	0.383772,	1.26096,	0.109649,	0.548246,	0.164474,	0.548246,	0.328947,	0.109649,	0.438596,	0.274123,	0.383772,	1.48026,	0.328947,	0.383772,	1.53509,	0.274123,	1.37061,	0.438596,	1.26096,	0.328947,	0.164474,	0.767544,	0.877193,	0.493421,	1.48026,	0.548246,	0.712719,	0.164474,	0.219298,	0.109649,	0.109649,	0.0548246,	0.657895,	2.9057,	0.164474,	0.0548246,	0.164474,	1.58991,	2.08333,	0.767544,	0.932018,	0.712719,	1.15132,	0.877193,	1.09649,	0.383772,	2.30263,	0.438596,	1.37061,	0.109649,	0.328947,	0.493421,	1.58991,	1.53509,	0.109649,	0.822368,	2.08333,	0.0548246,	0.0548246,	1.58991,	0.60307,	0.712719,	0,	3.61842,	0.548246,	2.52193,	1.69956,	0.164474,	2.52193,	1.69956,	1.64474,	1.64474,	0.164474,	0.493421,	0.712719,	0.219298,	0.328947,	0.877193,	0.164474,	0.0548246,	0.383772,	0.164474,	0.274123,	0.383772,	1.26096,	
HAEpiC,	0.116754,	16.9294,	0.992411,	1.16754,	1.69294,	0.233508,	1.86807,	0.583771,	0.525394,	0.0583771,	1.2843,	1.92644,	4.55341,	0.40864,	2.15995,	0.700525,	0.992411,	0.116754,	0.291886,	0.291886,	0.350263,	0.40864,	0.116754,	0.700525,	0.233508,	0.116754,	1.80969,	0.116754,	0.525394,	1.2843,	0.233508,	2.21833,	0.291886,	1.63456,	0.175131,	0.350263,	1.34267,	0.758902,	0.350263,	1.5178,	0.175131,	0.583771,	0.0583771,	0.350263,	0,	0.291886,	0.175131,	0.758902,	2.74372,	0.233508,	0.0583771,	0.116754,	1.75131,	1.86807,	0.934034,	1.40105,	0.233508,	1.5178,	0.583771,	1.22592,	0.116754,	2.10158,	0.0583771,	0.350263,	0,	0.467017,	0.0583771,	1.05079,	2.68535,	0.0583771,	1.5178,	1.63456,	0.0583771,	0.175131,	1.57618,	0.758902,	0.81728,	0,	2.91886,	0.40864,	3.79451,	1.57618,	0,	1.92644,	1.45943,	1.69294,	2.15995,	0.116754,	0.175131,	0.81728,	0.233508,	0.40864,	0.291886,	0.116754,	0.0583771,	0.116754,	0.116754,	0.233508,	0.0583771,	1.34267,	
HCF,	0.116959,	20.4678,	1.46199,	1.46199,	2.04678,	0.175439,	0.877193,	0.584795,	0.701754,	0,	1.57895,	1.34503,	5.55556,	0.409357,	1.40351,	0.877193,	0.877193,	0.233918,	0.526316,	0.175439,	0.467836,	0.292398,	0.0584795,	0.467836,	0.233918,	0.175439,	1.75439,	0.175439,	0.584795,	1.63743,	0.292398,	1.46199,	0.584795,	1.22807,	0.0584795,	0.350877,	1.28655,	0.818713,	0.292398,	0.584795,	0.0584795,	0.467836,	0.350877,	0.0584795,	0,	0.0584795,	0.116959,	0.467836,	2.33918,	0.233918,	0.0584795,	0.116959,	2.22222,	1.52047,	0.701754,	0.935673,	0.526316,	1.05263,	0.292398,	0.935673,	0.175439,	1.75439,	0.0584795,	0.409357,	0,	0.292398,	0.175439,	1.34503,	2.39766,	0,	1.69591,	1.52047,	0.116959,	0.233918,	1.57895,	0.584795,	0.409357,	0.0584795,	3.33333,	0.292398,	3.21637,	1.75439,	0,	2.5731,	1.81287,	1.34503,	1.81287,	0.116959,	0.467836,	0.526316,	0.233918,	0.467836,	0.526316,	0.0584795,	0,	0.409357,	0.233918,	0.233918,	0,	1.57895,	
HCM,	0,	18.943,	2.07838,	1.48456,	1.54394,	0.296912,	0.890736,	0.593824,	0.831354,	0,	1.48456,	1.54394,	4.80998,	0.296912,	1.48456,	1.0095,	1.72209,	0.0593824,	0.475059,	0.0593824,	0.593824,	0.356295,	0.178147,	0.475059,	0.356295,	0.118765,	1.66271,	0.23753,	0.356295,	1.24703,	0.178147,	1.95962,	0.178147,	1.48456,	0,	0.296912,	0.831354,	1.12827,	0.23753,	1.0095,	0.23753,	0.653207,	0.296912,	0.118765,	0.118765,	0.118765,	0.0593824,	0.653207,	2.79097,	0.178147,	0.0593824,	0.0593824,	2.07838,	1.54394,	0.653207,	1.24703,	0.178147,	1.0095,	0.534442,	0.771972,	0.296912,	1.60333,	0.118765,	0.712589,	0,	0.415677,	0.356295,	0.890736,	2.25653,	0.0593824,	1.24703,	1.72209,	0,	0,	1.30641,	0.653207,	0.712589,	0,	2.79097,	0.831354,	4.09739,	1.84086,	0,	2.67221,	1.30641,	2.13777,	1.95962,	0.0593824,	0.356295,	0.771972,	0.415677,	0.178147,	0.178147,	0.0593824,	0,	0.178147,	0.23753,	0.475059,	0.0593824,	1.18765,	
