cell ,	0,	1,	2,	3,	4,	5,	6,	7,	8,	9,	10,	11,	12,	13,	14,	15,	16,	17,	18,	19,	20,	21,	22,	23,	24,	25,	26,	27,	28,	29,	30,	31,	32,	33,	34,	35,	36,	37,	38,	39,	40,	41,	42,	43,	44,	45,	46,	47,	48,	49,	50,	51,	52,	53,	54,	55,	56,	57,	58,	59,	60,	61,	62,	63,	64,	65,	66,	67,	68,	69,	70,	71,	72,	73,	74,	75,	76,	77,	78,	79,	80,	81,	82,	83,	84,	85,	86,	87,	88,	89,	90,	91,	92,	93,	94,	95,	96,	97,	98,	99,	
AG10803,	0.116732,	24.0467,	2.29572,	0.894942,	7.00389,	0.194553,	0.233463,	0.661479,	0.077821,	0,	0.389105,	2.33463,	0.544747,	0.583658,	0.350195,	0.972763,	0.272374,	0.233463,	2.9572,	0.972763,	0.972763,	0.233463,	0.155642,	1.36187,	0.077821,	0.661479,	0.466926,	0.856031,	0.194553,	0.155642,	1.20623,	0.7393,	0.155642,	2.99611,	1.67315,	0.233463,	0.428016,	4.55253,	0.661479,	0.544747,	0.505837,	0.428016,	0.389105,	0.7393,	0.350195,	0.077821,	0.933852,	0,	0.972763,	1.67315,	0.155642,	0.389105,	0.155642,	2.607,	1.01167,	1.67315,	0.0389105,	0.233463,	0.0389105,	0.544747,	0.194553,	1.67315,	0.077821,	1.55642,	0.0389105,	1.1284,	0.077821,	1.20623,	0.661479,	0.350195,	0.272374,	1.24514,	0.233463,	0.622568,	0.972763,	1.43969,	0.505837,	0.194553,	1.51751,	0.700389,	0.817121,	0.272374,	0.194553,	0.0389105,	1.67315,	1.82879,	1.05058,	0.077821,	0.933852,	0.194553,	0.077821,	0.0389105,	0.311284,	0.0389105,	0.389105,	0.077821,	0,	0.116732,	0.0389105,	0.77821,	
AoAF,	0.037092,	22.6261,	3.00445,	1.44659,	6.56528,	0.148368,	0.222552,	0.704748,	0,	0.037092,	0.37092,	2.44807,	0.445104,	0.704748,	0.408012,	0.593472,	0.37092,	0.408012,	3.18991,	0.74184,	1.3724,	0.037092,	0.222552,	1.07567,	0,	0.74184,	0.55638,	0.704748,	0.037092,	0.074184,	1.18694,	0.593472,	0.148368,	3.11573,	1.78042,	0.408012,	0.667656,	4.30267,	0.667656,	0.519288,	0.333828,	0.148368,	0.18546,	1.4095,	0.445104,	0.18546,	0.519288,	0.074184,	0.964392,	1.3724,	0.296736,	0.296736,	0.037092,	2.04006,	0.704748,	2.07715,	0.074184,	0.37092,	0,	0.55638,	0.18546,	1.55786,	0.18546,	1.96588,	0.037092,	1.11276,	0.037092,	0.890208,	0.704748,	0.296736,	0.222552,	1.96588,	0.037092,	0.964392,	1.22404,	1.48368,	0.704748,	0.037092,	1.52077,	0.778932,	0.630564,	0.296736,	0.111276,	0,	1.59496,	1.59496,	0.667656,	0.148368,	1.48368,	0.259644,	0.111276,	0.074184,	0.408012,	0.037092,	0.37092,	0,	0.074184,	0.037092,	0.037092,	1.3724,	
CD20+,	0.0420345,	25.1366,	2.438,	1.05086,	5.46448,	0.37831,	0.420345,	0.37831,	0.126103,	0.0420345,	0.126103,	2.39596,	1.3451,	0.168138,	0.252207,	1.05086,	0.294241,	0.37831,	2.64817,	0.924758,	0.420345,	0.210172,	0.462379,	1.42917,	0.168138,	0.546448,	0.210172,	0.546448,	0.252207,	0.126103,	1.93359,	0.630517,	0.126103,	3.82514,	1.59731,	0.0840689,	0.714586,	3.57293,	0.462379,	0.588483,	0.462379,	0.462379,	0.0840689,	0.798655,	0.126103,	0.0840689,	0.924758,	0.0840689,	1.30307,	1.3451,	0.0420345,	0.882724,	0,	2.52207,	0.840689,	1.59731,	0,	0.0420345,	0,	1.26103,	0.37831,	1.38714,	0.126103,	0.966793,	0.0840689,	0.630517,	0.126103,	0.546448,	0.798655,	0.798655,	0.210172,	1.93359,	0.168138,	0.75662,	1.84952,	0.966793,	0.630517,	0,	1.84952,	0.630517,	0.546448,	0.252207,	0.0420345,	0.168138,	1.76545,	1.93359,	0.798655,	0.0420345,	1.26103,	0.168138,	0.210172,	0,	0.210172,	0.126103,	0.210172,	0.0420345,	0,	0.0840689,	0,	1.47121,	
GM06990,	0,	26.8694,	5.2343,	0.997009,	2.19342,	0.498504,	0.149551,	0.448654,	0.149551,	0.299103,	0.249252,	1.49551,	1.19641,	0.0498504,	2.84148,	0.847458,	0.348953,	1.14656,	0.249252,	0.199402,	0.548355,	0.348953,	0.648056,	0.697906,	0.249252,	0,	0.398804,	1.99402,	0.0498504,	0.0997009,	0.797607,	0.299103,	0.648056,	1.34596,	0.747757,	0.498504,	0.897308,	1.34596,	1.49551,	2.59222,	0.448654,	0.149551,	0.0498504,	0.797607,	0.0498504,	0.299103,	0.199402,	0.598205,	0.947159,	0.0997009,	0.0498504,	0.0498504,	0.149551,	1.94417,	1.89432,	1.49551,	0.0498504,	0.249252,	0.0997009,	0.398804,	0.199402,	1.24626,	0.847458,	1.14656,	0.0498504,	0.249252,	0,	1.54536,	1.04686,	0.149551,	0.0997009,	3.24028,	0.149551,	0.0997009,	3.33998,	0.598205,	2.49252,	0.299103,	1.29611,	0.598205,	0.448654,	0.299103,	0,	0.199402,	0.448654,	0.747757,	1.59521,	0.0498504,	0.249252,	0.0997009,	0,	0.299103,	0.0997009,	0.747757,	0.0498504,	0.199402,	0.598205,	0.299103,	0.498504,	3.19043,	
GM12865,	0.16142,	25.5448,	2.46166,	1.12994,	8.03067,	0.0807102,	0.16142,	0.605327,	0,	0,	0.484262,	2.38095,	0.847458,	0.443906,	0.242131,	0.484262,	0.403551,	0.403551,	2.66344,	0.807103,	0.887813,	0.16142,	0.16142,	1.93705,	0,	0.524617,	0.201776,	0.605327,	0.16142,	0.201776,	1.61421,	0.847458,	0.121065,	3.18806,	1.93705,	0.121065,	0.484262,	4.84262,	0.282486,	0.605327,	0.484262,	0.201776,	0.121065,	0.564972,	0.322841,	0,	0.726392,	0,	0.928168,	1.00888,	0.201776,	0.928168,	0.0403551,	1.93705,	0.363196,	1.53349,	0.0807102,	0.16142,	0,	0.766747,	0.0403551,	1.29136,	0.0807102,	1.49314,	0.0807102,	0.686037,	0.0807102,	0.928168,	0.887813,	0.322841,	0.322841,	2.21953,	0.0807102,	0.807103,	1.25101,	1.08959,	0.887813,	0.0403551,	1.85634,	0.605327,	0.686037,	0,	0.0403551,	0.0403551,	1.04923,	1.61421,	0.847458,	0.0403551,	1.1703,	0.121065,	0.242131,	0,	0.403551,	0.0807102,	0.242131,	0.0403551,	0,	0.0403551,	0.0807102,	1.61421,	
H7-hESC,	0,	25.6602,	3.11391,	1.22192,	7.17383,	0.157667,	0.315333,	0.433583,	0,	0,	0.433583,	2.01025,	0.748916,	0.2365,	0.2365,	1.1825,	0.275916,	0.35475,	2.48325,	0.788333,	1.37958,	0.0394166,	0.11825,	1.97083,	0,	0.512416,	0.394166,	0.748916,	0.11825,	0.11825,	1.14308,	0.630666,	0.0788333,	3.03508,	1.93142,	0.315333,	0.35475,	4.65116,	0.157667,	0.630666,	0.473,	0.197083,	0.0788333,	0.985416,	0.157667,	0,	0.788333,	0.0394166,	0.630666,	1.26133,	0.11825,	0.591249,	0,	2.40441,	0.788333,	2.01025,	0.0788333,	0.0394166,	0,	0.748916,	0.157667,	1.06425,	0.11825,	1.30075,	0.0788333,	0.945999,	0,	0.985416,	0.670083,	0.2365,	0.2365,	2.16791,	0.157667,	0.867166,	0.788333,	1.97083,	0.394166,	0,	1.57667,	0.867166,	0.630666,	0.315333,	0.11825,	0.197083,	1.37958,	1.69492,	0.591249,	0.11825,	1.26133,	0.315333,	0.0788333,	0.0394166,	0.35475,	0.0394166,	0.197083,	0,	0.0788333,	0.0788333,	0.0394166,	1.34017,	
HA-h,	0.0735565,	18.8305,	1.98602,	1.98602,	4.63406,	0.331004,	0.441339,	1.36079,	0.0367782,	0.0735565,	0.404561,	2.75837,	0.257448,	0.662008,	0.294226,	0.882677,	0.294226,	0.845899,	2.61125,	0.882677,	0.551673,	0.551673,	0.478117,	1.43435,	0.147113,	0.882677,	0.478117,	0.993012,	0.294226,	0.147113,	1.76535,	1.06657,	0.147113,	3.12615,	1.47113,	0.220669,	0.772343,	2.61125,	0.845899,	0.404561,	0.514895,	0.514895,	0.551673,	0.993012,	0.588452,	0.110335,	1.14013,	0.147113,	0.809121,	1.72858,	0.257448,	0.882677,	0.257448,	2.46414,	0.993012,	1.61824,	0.0735565,	0.294226,	0.0367782,	0.588452,	0.662008,	1.91247,	0.110335,	1.21368,	0.0735565,	0.845899,	0.147113,	0.993012,	0.662008,	0.588452,	0.257448,	2.09636,	0.588452,	1.10335,	1.50791,	1.43435,	0.845899,	0.0367782,	1.1769,	0.662008,	0.62523,	0.147113,	0.147113,	0.110335,	2.31703,	1.65502,	0.993012,	0.110335,	1.36079,	0.331004,	0.220669,	0.0367782,	0.478117,	0.0735565,	0.478117,	0.110335,	0.0367782,	0.0367782,	0.183891,	1.02979,	
HAEpiC,	0.0781861,	24.355,	2.42377,	1.83737,	6.64582,	0.234558,	0.195465,	0.860047,	0.039093,	0,	0.547303,	2.2674,	0.117279,	0.625489,	0.469117,	0.742768,	0.273651,	0.39093,	3.12744,	1.01642,	1.40735,	0.469117,	0.312744,	1.17279,	0.0781861,	0.586396,	0.195465,	0.742768,	0.039093,	0.0781861,	1.40735,	0.547303,	0.117279,	2.93198,	2.15012,	0.195465,	0.586396,	3.9093,	0.39093,	0.586396,	0.703675,	0.0781861,	0.234558,	1.21188,	0.234558,	0.0781861,	0.742768,	0.039093,	1.09461,	2.03284,	0.156372,	0.625489,	0.039093,	1.91556,	0.586396,	1.79828,	0.0781861,	0.469117,	0.039093,	0.664582,	0.234558,	1.52463,	0.0781861,	1.25098,	0.039093,	0.89914,	0.039093,	0.742768,	0.625489,	0.234558,	0.234558,	2.18921,	0.234558,	1.05551,	0.469117,	1.48554,	0.234558,	0.0781861,	1.1337,	0.547303,	1.09461,	0.351837,	0.234558,	0.117279,	1.40735,	1.95465,	0.50821,	0.195465,	1.29007,	0.39093,	0.0781861,	0,	0.312744,	0.195465,	0.117279,	0.039093,	0.039093,	0,	0.0781861,	1.29007,	
HCF,	0.0382263,	22.0183,	2.71407,	1.4526,	6.65138,	0.152905,	0.191132,	0.764526,	0.0764526,	0,	0.458716,	1.72018,	0.649847,	0.420489,	0.344037,	0.879205,	0.420489,	0.344037,	3.0581,	1.29969,	1.26147,	0.30581,	0.30581,	1.49083,	0.0382263,	0.611621,	0.382263,	0.535168,	0.152905,	0.0382263,	1.29969,	0.7263,	0.0764526,	3.74618,	2.21713,	0.30581,	0.802752,	4.47248,	0.535168,	0.611621,	0.535168,	0.229358,	0.267584,	1.10856,	0.573394,	0.0382263,	0.840979,	0.0764526,	0.917431,	1.56728,	0.152905,	0.573394,	0,	2.14067,	0.535168,	1.68196,	0.114679,	0.152905,	0,	0.955657,	0.30581,	1.4526,	0.152905,	1.37615,	0.0382263,	0.955657,	0,	1.07034,	0.649847,	0.267584,	0.191132,	1.72018,	0.152905,	0.917431,	0.955657,	1.6055,	0.573394,	0.0764526,	1.18502,	0.802752,	0.7263,	0.267584,	0.0764526,	0.0764526,	1.68196,	1.79664,	0.840979,	0.114679,	1.33792,	0.267584,	0.114679,	0,	0.420489,	0.0382263,	0.420489,	0.0382263,	0.0764526,	0.0382263,	0.191132,	0.993884,	
