cell ,	0,	1,	2,	3,	4,	5,	6,	7,	8,	9,	10,	11,	12,	13,	14,	15,	16,	17,	18,	19,	20,	21,	22,	23,	24,	25,	26,	27,	28,	29,	30,	31,	32,	33,	34,	35,	36,	37,	38,	39,	40,	41,	42,	43,	44,	45,	46,	47,	48,	49,	50,	51,	52,	53,	54,	55,	56,	57,	58,	59,	60,	61,	62,	63,	64,	65,	66,	67,	68,	69,	70,	71,	72,	73,	74,	75,	76,	77,	78,	79,	80,	81,	82,	83,	84,	85,	86,	87,	88,	89,	90,	91,	92,	93,	94,	95,	96,	97,	98,	99,	
AG10803,	0.290276,	17.4165,	3.62845,	1.30624,	10.8853,	0.145138,	0.290276,	0,	0,	0,	0.725689,	2.32221,	1.1611,	0.145138,	0.580552,	0.145138,	0.580552,	0.435414,	4.49927,	0.580552,	0.725689,	0.290276,	0,	0.580552,	0,	0.435414,	0.145138,	0.725689,	0.435414,	0.580552,	2.75762,	0.725689,	0.580552,	0.725689,	0.290276,	0.145138,	0.290276,	10.1597,	0.725689,	0.435414,	0,	0.435414,	0.290276,	0.580552,	0,	0,	0.725689,	0.145138,	1.1611,	0.580552,	0.145138,	0.580552,	0.145138,	3.91872,	0.145138,	1.30624,	0,	0.435414,	0,	2.17707,	0,	1.30624,	0.290276,	4.35414,	0,	0.290276,	0.290276,	0.580552,	0.580552,	0.435414,	0.290276,	1.74165,	0.145138,	0.290276,	0.290276,	1.01597,	0.145138,	0,	0.725689,	0.435414,	0.725689,	0,	0,	0.580552,	0.580552,	2.03193,	0.580552,	0.145138,	1.01597,	0.290276,	0.145138,	0.145138,	0.580552,	0.145138,	0,	0,	0.145138,	0,	0,	1.01597,	
AoAF,	0,	16.7394,	4.51237,	1.01892,	11.936,	0,	0.14556,	0.291121,	0,	0,	0.436681,	1.01892,	1.60116,	0.14556,	0.727802,	0.14556,	1.01892,	0.727802,	4.80349,	0.436681,	1.31004,	0,	0,	0.727802,	0,	0.291121,	0.582242,	0.582242,	0,	0.291121,	3.05677,	0.436681,	0.14556,	1.31004,	0.14556,	0,	0.14556,	11.0626,	0.14556,	0.291121,	0,	0,	0.14556,	0.436681,	0.291121,	0.14556,	0.873362,	0.291121,	1.01892,	0.873362,	0,	0.291121,	0.14556,	2.91121,	0.582242,	2.47453,	0,	0.291121,	0,	1.74672,	0,	1.74672,	0.436681,	5.38574,	0,	0,	0,	1.01892,	0.291121,	0.14556,	0.14556,	2.32897,	0,	0.582242,	0.582242,	1.4556,	0.582242,	0.14556,	0.14556,	0.436681,	0.291121,	0.291121,	0,	0.727802,	0.727802,	1.89229,	0.14556,	0,	0.291121,	0,	0.14556,	0,	0.291121,	0,	0,	0,	0,	0,	0,	1.01892,	
CD20+,	0.148148,	17.037,	2.96296,	0.740741,	7.55556,	0.444444,	0.148148,	0,	0.296296,	0,	0,	2.66667,	1.77778,	0.148148,	0.148148,	0.592593,	0.296296,	0.444444,	5.92593,	1.33333,	0.888889,	0.148148,	0.296296,	1.18519,	0,	0.740741,	0.296296,	0.592593,	0.148148,	1.18519,	3.55556,	0.592593,	0.444444,	0.888889,	1.62963,	0.148148,	0.592593,	7.11111,	0.444444,	0.296296,	0.148148,	0.148148,	0.592593,	0.148148,	0.148148,	0,	1.18519,	0.444444,	0.888889,	1.18519,	0,	0.740741,	0,	4.59259,	0,	1.33333,	0,	0.592593,	0,	2.81481,	0,	1.33333,	0,	3.25926,	0,	0,	0.148148,	0.148148,	0.148148,	1.18519,	0.148148,	1.92593,	0,	1.48148,	0.444444,	1.62963,	0,	0.148148,	0.888889,	0.592593,	0.296296,	0.148148,	0,	0.592593,	1.18519,	1.48148,	0.592593,	0,	0.740741,	0.444444,	0.296296,	0,	0.740741,	0,	0,	0.148148,	0,	0,	0,	1.03704,	
GM06990,	0,	18.3413,	12.2807,	0.637959,	2.87081,	0.15949,	0,	0,	0.318979,	0.15949,	0,	1.27592,	1.11643,	0,	4.78469,	0,	0.318979,	1.75439,	1.43541,	0,	0.956938,	0.15949,	0.318979,	0.318979,	0,	0,	0.637959,	4.30622,	0.15949,	0,	0.318979,	0.637959,	0.15949,	0.637959,	0,	0.318979,	0.15949,	1.43541,	2.87081,	0.956938,	0,	0,	0,	1.91388,	0.15949,	0.637959,	0.318979,	1.11643,	0.318979,	0,	0,	0.15949,	0.15949,	1.91388,	2.23285,	3.0303,	0.15949,	0.15949,	0,	0.15949,	0,	1.75439,	0.637959,	2.23285,	0.15949,	0.956938,	0,	1.91388,	0.318979,	0.15949,	0.318979,	3.0303,	0,	0.478469,	1.5949,	0.15949,	0.637959,	0.478469,	0.318979,	0.956938,	0.15949,	0.478469,	0,	0,	0.478469,	0.956938,	2.07337,	0,	0,	0.15949,	0,	0,	0,	0.637959,	0,	0.318979,	0.637959,	0.318979,	0.637959,	4.78469,	
GM12865,	0,	16.1103,	4.35414,	0.580552,	12.0464,	0,	0.290276,	0,	0,	0,	0.725689,	1.59652,	1.88679,	0.435414,	0.435414,	0.290276,	0.725689,	0.435414,	6.96662,	0.725689,	0.725689,	0.145138,	0,	0.290276,	0,	0,	0.145138,	1.30624,	0.290276,	0.435414,	2.17707,	0.435414,	0.290276,	0.870827,	0.435414,	0,	0.435414,	10.7402,	0.290276,	0.580552,	0,	0,	0.435414,	0.145138,	0.145138,	0,	0.870827,	0.290276,	0.870827,	0.580552,	0.145138,	0.580552,	0,	3.19303,	0,	1.59652,	0,	0.290276,	0,	1.30624,	0,	1.1611,	0.145138,	4.209,	0,	0.145138,	0,	1.01597,	0.870827,	0.725689,	0.435414,	2.17707,	0.145138,	0.290276,	0.725689,	1.88679,	0.435414,	0,	0.580552,	0.725689,	0.580552,	0.290276,	0,	0.580552,	0.725689,	1.45138,	0.580552,	0,	0.580552,	0.435414,	0.290276,	0,	0,	0,	0,	0,	0,	0,	0.145138,	1.01597,	
H7-hESC,	0,	13.6827,	4.94905,	0.582242,	10.4803,	0.291121,	0,	0.14556,	0,	0,	0.727802,	1.31004,	1.89229,	0,	1.16448,	0.436681,	0.14556,	0.873362,	5.24017,	0.873362,	2.18341,	0.582242,	0.14556,	1.16448,	0,	0.14556,	0.291121,	0.873362,	0.291121,	0.582242,	1.89229,	0.436681,	0.291121,	0.873362,	0.291121,	0.291121,	0.582242,	10.917,	0,	0.582242,	0,	0,	0.291121,	0.436681,	0.14556,	0,	0.727802,	0.14556,	0.582242,	1.01892,	0.14556,	0.436681,	0,	4.07569,	0.727802,	2.62009,	0,	0.291121,	0,	1.01892,	0,	1.01892,	0.14556,	3.34789,	0,	0.582242,	0.14556,	0.291121,	0.582242,	0.14556,	0.291121,	1.74672,	0.14556,	0.436681,	0.291121,	3.05677,	0,	0.291121,	0.436681,	0.291121,	0.14556,	0,	0,	0.873362,	0.873362,	1.74672,	0.436681,	0.291121,	1.60116,	0.727802,	0.14556,	0.14556,	0.582242,	0,	0,	0,	0.14556,	0,	0,	1.16448,	
HA-h,	0.421941,	14.0647,	3.93812,	0.703235,	8.29817,	0.140647,	0,	0,	0.140647,	0,	0.281294,	2.53165,	1.26582,	0.421941,	1.26582,	0.421941,	0.281294,	0.843882,	5.62588,	1.12518,	0.281294,	0,	0,	0.703235,	0,	1.12518,	0.421941,	1.26582,	0.140647,	1.12518,	2.95359,	0.421941,	0.562588,	1.40647,	0.984529,	0.140647,	0.421941,	6.32911,	0.703235,	0.421941,	0,	0.281294,	0.703235,	0.421941,	0.281294,	0,	1.54712,	0.562588,	0.421941,	1.26582,	0.140647,	0.984529,	0.421941,	3.51617,	0.140647,	0.703235,	0,	0.421941,	0,	2.67229,	0,	2.67229,	0.562588,	4.36006,	0,	0,	0.562588,	0.562588,	0.562588,	0.421941,	0.140647,	2.95359,	0.140647,	1.12518,	0.562588,	1.96906,	0.140647,	0,	0.140647,	0.703235,	0.281294,	0.281294,	0,	0.984529,	0.281294,	1.40647,	0.281294,	0,	1.12518,	0.140647,	0.421941,	0,	0.281294,	0,	0,	0.140647,	0,	0.140647,	0,	0.984529,	
HAEpiC,	0.294118,	18.3824,	4.11765,	0.735294,	11.0294,	0,	0.294118,	0.441177,	0,	0,	0.441177,	3.08824,	1.32353,	0,	1.02941,	0.588235,	0.147059,	0.441177,	5.14706,	0.147059,	1.02941,	0.147059,	0.147059,	0.588235,	0.147059,	0.147059,	0.441177,	0.294118,	0.147059,	0.882353,	3.08824,	0.588235,	0.147059,	0.735294,	0.882353,	0,	0.147059,	10.5882,	0.147059,	0.147059,	0.147059,	0,	0.294118,	0.735294,	0.588235,	0.147059,	1.17647,	0.147059,	1.17647,	1.32353,	0,	0.147059,	0.294118,	3.38235,	0,	3.38235,	0,	0.294118,	0,	1.02941,	0,	1.47059,	0.294118,	2.79412,	0,	0.441177,	0,	0.735294,	0.441177,	0.147059,	0,	1.17647,	0,	0.294118,	0.147059,	1.61765,	0.294118,	0,	0.588235,	0.441177,	0.294118,	0.147059,	0,	1.02941,	0.294118,	1.76471,	0.588235,	0,	0.882353,	0.294118,	0.294118,	0,	0.147059,	0.147059,	0,	0,	0,	0,	0.147059,	0.735294,	
HCF,	0,	17.5036,	4.30416,	0.71736,	11.6212,	0.286944,	0,	0.143472,	0,	0,	0.286944,	1.86514,	1.29125,	0,	0.860832,	0.573888,	0.71736,	0,	6.1693,	0.143472,	1.57819,	0.286944,	0,	1.0043,	0.143472,	0.430416,	0.286944,	0.860832,	0.143472,	0.860832,	2.29555,	0.143472,	0.430416,	0.71736,	0.143472,	0,	0.143472,	10.33,	0.430416,	0.430416,	0.143472,	0.143472,	0.573888,	0.430416,	0.286944,	0.143472,	0.71736,	0.286944,	1.14778,	0.573888,	0.286944,	0.860832,	0,	3.87374,	0.143472,	1.72166,	0,	0,	0,	2.29555,	0.143472,	0.573888,	0.143472,	4.87805,	0,	0.143472,	0.143472,	0.143472,	0.573888,	0.286944,	0.143472,	1.86514,	0,	1.0043,	0.573888,	1.72166,	0,	0,	0.286944,	0.71736,	0.143472,	0.430416,	0,	1.0043,	0.286944,	1.57819,	0.143472,	0,	0.860832,	0,	0.430416,	0,	0.430416,	0,	0,	0,	0,	0,	0.143472,	0.430416,	
HCM,	0,	18.6317,	4.65793,	1.31004,	11.2082,	0.291121,	0.14556,	0,	0.14556,	0,	0,	2.47453,	0.582242,	0.14556,	0.727802,	0.436681,	0.436681,	0.14556,	6.69578,	1.01892,	1.01892,	0,	0,	0.436681,	0,	0.582242,	0.727802,	0.291121,	0,	0.582242,	1.89229,	0.14556,	0.291121,	1.01892,	0.291121,	0.14556,	0,	10.3348,	0.436681,	0.291121,	0.14556,	0.14556,	0.727802,	0.582242,	0.14556,	0,	0,	0.14556,	0.582242,	0.727802,	0,	0.582242,	0,	4.36681,	0.14556,	1.89229,	0,	0.291121,	0.14556,	1.4556,	0.291121,	0.436681,	0,	4.80349,	0,	0.14556,	0.291121,	0.582242,	0.291121,	0.291121,	0,	2.03785,	0.14556,	0.582242,	0,	1.60116,	0,	0.14556,	0.436681,	0.727802,	0.291121,	0,	0,	1.31004,	0.291121,	1.4556,	0.582242,	0,	0.582242,	0.291121,	0.14556,	0.14556,	0.873362,	0,	0,	0.14556,	0,	0,	0,	1.4556,	
