cell ,	0,	1,	2,	3,	4,	5,	6,	7,	8,	9,	10,	11,	12,	13,	14,	15,	16,	17,	18,	19,	20,	21,	22,	23,	24,	25,	26,	27,	28,	29,	30,	31,	32,	33,	34,	35,	36,	37,	38,	39,	40,	41,	42,	43,	44,	45,	46,	47,	48,	49,	50,	51,	52,	53,	54,	55,	56,	57,	58,	59,	60,	61,	62,	63,	64,	65,	66,	67,	68,	69,	70,	71,	72,	73,	74,	75,	76,	77,	78,	79,	80,	81,	82,	83,	84,	85,	86,	87,	88,	89,	90,	91,	92,	93,	94,	95,	96,	97,	98,	99,	
AG10803,	0.182482,	37.2263,	3.46715,	2.55474,	2.73723,	0.182482,	0.364964,	0.182482,	0.364964,	0,	0,	0,	0.912409,	0.182482,	0.547445,	0,	0.364964,	0.729927,	1.45985,	0.729927,	0.182482,	0.182482,	0.547445,	2.37226,	2.18978,	0.547445,	0.182482,	0.547445,	0.364964,	0.182482,	0,	0.364964,	1.27737,	0,	0.364964,	0,	0,	0.182482,	1.09489,	0,	2.18978,	0.364964,	0,	0.547445,	0,	0.364964,	1.09489,	0.364964,	0.729927,	1.45985,	0,	0,	0.547445,	0.912409,	6.20438,	0.912409,	0,	0.182482,	0.547445,	0,	1.09489,	0,	0,	0,	0,	0.364964,	0.182482,	0.547445,	0,	0.912409,	0,	1.27737,	0.182482,	0.182482,	3.10219,	0.364964,	0.912409,	0,	2.18978,	1.27737,	1.64234,	0.547445,	0,	0,	1.27737,	0.182482,	0.547445,	0,	0,	0,	0.182482,	0,	1.45985,	0.364964,	0.182482,	0,	0,	0,	0.547445,	1.27737,	
AoAF,	0.535714,	40,	3.21429,	4.10714,	1.60714,	0,	0.178571,	0,	0,	0,	0,	0.714286,	1.07143,	0,	0.357143,	0.357143,	0.714286,	1.07143,	1.07143,	0.535714,	0.178571,	0.357143,	0.357143,	0.892857,	2.32143,	0.178571,	0,	0.714286,	0.178571,	0,	0,	0.357143,	0.535714,	0.178571,	0,	0,	0.178571,	0.357143,	0.357143,	0.178571,	1.07143,	0.357143,	0,	0.535714,	0.178571,	0.178571,	0.714286,	0.892857,	0.714286,	1.42857,	0,	0,	0.714286,	0.892857,	5.89286,	1.60714,	0.357143,	0,	0.357143,	0.178571,	1.25,	0.178571,	0,	0,	0,	0.178571,	0,	0,	0.178571,	0.357143,	0.357143,	0.357143,	0,	0.178571,	3.03571,	0,	0.714286,	0,	2.14286,	0.892857,	1.60714,	0.357143,	0,	0,	1.78571,	0,	1.07143,	0,	0,	0,	0,	0,	2.85714,	0.535714,	0.535714,	0,	0,	0,	0.892857,	1.60714,	
CD20+,	0.380228,	40.6844,	3.80228,	1.90114,	0.570342,	0,	0.190114,	0.380228,	0.190114,	0,	0,	0.570342,	1.14068,	0,	0.760456,	0.570342,	0.570342,	1.3308,	1.71103,	0.380228,	0.380228,	0.380228,	0.95057,	1.3308,	2.6616,	0.190114,	0,	0.95057,	0.570342,	0.190114,	0,	0.570342,	0.95057,	0.760456,	0.190114,	0.190114,	0,	0.570342,	0.95057,	0.190114,	0.95057,	0.570342,	0,	0.570342,	0,	0.190114,	0.190114,	0.760456,	0.95057,	0.380228,	0.190114,	0,	0.95057,	0.570342,	5.70342,	0.760456,	0.190114,	0.570342,	0.95057,	0,	0.570342,	0.380228,	0,	0,	0.190114,	0,	0,	0.570342,	0.380228,	0.380228,	0.190114,	0.760456,	0,	0.380228,	3.61217,	0,	0.95057,	0,	1.90114,	0.570342,	0.380228,	0.380228,	0.190114,	0,	0.95057,	0,	0.380228,	0,	0,	0,	0.190114,	0,	2.09125,	0.95057,	0,	0,	0,	0,	0.760456,	1.3308,	
GM06990,	0.865801,	31.1688,	1.08225,	7.79221,	1.51515,	1.2987,	0,	3.67965,	0.4329,	0,	0.649351,	0.4329,	1.7316,	0.21645,	2.1645,	0,	0.649351,	0.21645,	0.4329,	0,	1.7316,	0,	0.649351,	1.08225,	0,	0,	0.865801,	0,	0,	0,	1.2987,	0.865801,	0.21645,	0.649351,	1.94805,	0.4329,	0.4329,	3.24675,	0.865801,	0.21645,	0.4329,	0.21645,	0,	1.94805,	0.21645,	0.21645,	0.21645,	0,	0.649351,	1.2987,	0.4329,	0,	0.649351,	0.649351,	0.649351,	1.51515,	0,	0,	0,	0.21645,	0.649351,	0.21645,	2.5974,	0.865801,	0.4329,	0,	0.21645,	0.4329,	2.5974,	0,	0.21645,	1.51515,	0,	0,	0.4329,	0,	2.38095,	0.21645,	3.24675,	0,	0,	0.21645,	0,	0.865801,	0.649351,	0,	2.38095,	0,	0.649351,	0.21645,	0,	0,	0,	0,	0,	0,	0.21645,	0,	0.4329,	0.21645,	
GM12865,	0.559702,	30.9701,	3.54478,	3.35821,	1.86567,	0,	0.373134,	0,	0.186567,	0.186567,	0.373134,	0.373134,	1.6791,	0,	0.559702,	0.373134,	0.373134,	1.49254,	0.746269,	0.373134,	0.186567,	0,	0.932836,	1.6791,	2.23881,	0.373134,	0,	0.559702,	0.932836,	0,	0.186567,	0.373134,	1.49254,	0,	0.559702,	0,	0,	0.746269,	1.6791,	0,	1.6791,	0.932836,	0,	0.746269,	0,	0.186567,	1.86567,	0.932836,	0.746269,	1.30597,	0,	0,	0.373134,	1.1194,	6.34328,	1.49254,	0.186567,	0.373134,	0.186567,	0,	1.1194,	0,	0,	0,	0,	0,	0,	0.373134,	0.559702,	0.186567,	0.186567,	0.559702,	0,	0,	3.17164,	0,	1.49254,	0,	3.17164,	0.746269,	0.373134,	0.373134,	0,	0,	0.559702,	0.186567,	1.1194,	0.559702,	0,	0,	0,	0,	2.98507,	1.49254,	0.373134,	0,	0,	0.186567,	0.746269,	1.6791,	
H7-hESC,	0.37594,	21.4286,	3.7594,	5.26316,	1.50376,	0,	0.93985,	0.37594,	0.18797,	0.18797,	0,	0.56391,	0.93985,	0,	0.37594,	0.56391,	0.75188,	0.18797,	0.75188,	0.56391,	0.56391,	0.37594,	2.06767,	3.00752,	1.8797,	0.37594,	0.18797,	1.8797,	0.56391,	0,	0.18797,	0.56391,	1.12782,	0.18797,	0.56391,	0.18797,	0.37594,	0.75188,	0.56391,	0.37594,	1.50376,	0.56391,	0,	0.56391,	0,	0.18797,	1.50376,	0.56391,	1.31579,	1.31579,	0,	0,	1.12782,	0.37594,	5.45113,	1.31579,	0.18797,	0.37594,	0.56391,	0.18797,	0.93985,	0.93985,	0.18797,	0.18797,	0.18797,	0.75188,	0,	0.56391,	0,	0.93985,	0.18797,	0.75188,	0.18797,	0.18797,	3.19549,	0.18797,	2.06767,	0,	2.25564,	0.75188,	1.31579,	1.69173,	0.18797,	0.18797,	1.8797,	0.18797,	0.37594,	0,	0,	0,	0.18797,	0,	3.00752,	1.8797,	0,	0.18797,	0,	0.18797,	0.56391,	2.06767,	
HA-h,	0.88968,	36.2989,	2.84698,	3.02491,	1.06762,	0.177936,	0,	0.88968,	0.177936,	0,	0,	0.177936,	1.9573,	0,	0.355872,	0.177936,	0.711744,	1.42349,	0.533808,	0.533808,	0.355872,	0.177936,	0.355872,	0.177936,	2.4911,	0.355872,	0.177936,	0.533808,	0.355872,	0.533808,	0,	0,	0.533808,	0.177936,	0,	0.533808,	0.355872,	0.88968,	1.42349,	0.711744,	1.60142,	0,	0,	0.711744,	0,	0.355872,	0.711744,	1.60142,	1.06762,	1.9573,	0,	0.177936,	1.06762,	1.06762,	8.00712,	1.06762,	0.533808,	0.533808,	0.533808,	0.177936,	0.88968,	0.177936,	0,	0.177936,	0,	0,	0,	0.177936,	0.355872,	0.177936,	0,	0.533808,	0,	0.533808,	2.31317,	0.177936,	0.533808,	0,	2.13523,	0.88968,	0.711744,	0.88968,	0,	0.177936,	1.9573,	0,	0.88968,	0,	0.177936,	0,	0.177936,	0,	1.60142,	0.711744,	0,	0,	0,	0,	0.177936,	0.88968,	
HAEpiC,	0.374532,	30.5243,	3.93258,	4.30712,	1.49813,	0,	0.374532,	0.749064,	0.561798,	0,	0,	0.187266,	0.749064,	0,	0.561798,	0.374532,	0.374532,	1.1236,	0.749064,	0.187266,	0,	0.561798,	1.31086,	1.31086,	1.68539,	0.187266,	0.187266,	0.561798,	0.749064,	0.187266,	0,	0.374532,	1.1236,	0.749064,	0.749064,	0.374532,	0,	1.1236,	0.93633,	0.561798,	0.749064,	1.1236,	0,	0.749064,	0,	0,	1.1236,	0.561798,	0.93633,	2.80899,	0,	0,	0.749064,	0.561798,	6.55431,	0.93633,	0.749064,	0,	0.187266,	0.187266,	2.05993,	0.561798,	0,	0,	0,	0.374532,	0.187266,	0,	0.187266,	0.374532,	0,	0.187266,	0,	0,	3.74532,	0,	1.68539,	0,	1.1236,	1.49813,	0.749064,	1.1236,	0,	0.374532,	1.1236,	0.187266,	0.374532,	0,	0,	0,	0.187266,	0.187266,	3.18352,	0.93633,	0,	0,	0,	0,	0.374532,	1.87266,	
HCF,	0.553506,	29.3358,	2.58303,	4.42804,	1.66052,	0.184502,	0.553506,	0.369004,	0.184502,	0,	0.184502,	0.738007,	1.10701,	0,	0.184502,	0,	0.369004,	1.29151,	0.738007,	0.369004,	0,	0.553506,	0.553506,	1.29151,	3.13653,	0,	0.738007,	1.66052,	0.553506,	0.553506,	0,	0.369004,	1.47601,	0.369004,	0.553506,	0,	0,	0.922509,	0.922509,	0.369004,	2.02952,	0.369004,	0,	0.922509,	0,	0,	0.922509,	1.66052,	0.553506,	0.922509,	0,	0.184502,	1.10701,	0.738007,	5.90406,	0.922509,	0.184502,	0,	0.184502,	0,	0.738007,	0.184502,	0,	0.184502,	0,	0.369004,	0,	0.369004,	0,	0.553506,	0.184502,	0.553506,	0,	0.184502,	3.69004,	0.184502,	2.76753,	0,	2.21402,	0.369004,	0.369004,	0.922509,	0,	0.369004,	1.47601,	0.184502,	0.738007,	0.369004,	0,	0.184502,	0,	0,	2.21402,	0.922509,	0.553506,	0.369004,	0.369004,	0.369004,	0.553506,	2.02952,	
HCM,	0.555556,	34.0741,	4.25926,	5.55556,	1.66667,	0,	0,	0.37037,	0.185185,	0.185185,	0.185185,	0.740741,	0.185185,	0,	0.37037,	0.555556,	0.185185,	1.48148,	1.2963,	0.555556,	0.185185,	0,	1.11111,	0.555556,	3.14815,	0.185185,	0.555556,	0.555556,	0.185185,	0,	0,	0.740741,	0.37037,	0,	0.37037,	0,	0,	0.740741,	0.740741,	0.185185,	1.48148,	0.37037,	0,	0.740741,	0,	0,	1.48148,	0.555556,	0.37037,	1.2963,	0,	0,	1.85185,	1.11111,	6.66667,	1.48148,	0,	0.37037,	0,	0.185185,	0.925926,	0.37037,	0,	0,	0,	0,	0.185185,	0.37037,	0.185185,	0.37037,	0.185185,	0.555556,	0,	0.185185,	3.88889,	0,	0.185185,	0,	0.740741,	1.48148,	0.925926,	0.555556,	0,	0.185185,	0.925926,	0.185185,	1.11111,	0.185185,	0,	0,	0.185185,	0,	2.77778,	1.48148,	0.185185,	0.185185,	0,	0,	0.37037,	1.11111,	
