cell ,	0,	1,	2,	3,	4,	5,	6,	7,	8,	9,	10,	11,	12,	13,	14,	15,	16,	17,	18,	19,	20,	21,	22,	23,	24,	25,	26,	27,	28,	29,	30,	31,	32,	33,	34,	35,	36,	37,	38,	39,	40,	41,	42,	43,	44,	45,	46,	47,	48,	49,	50,	51,	52,	53,	54,	55,	56,	57,	58,	59,	60,	61,	62,	63,	64,	65,	66,	67,	68,	69,	70,	71,	72,	73,	74,	75,	76,	77,	78,	79,	80,	81,	82,	83,	84,	85,	86,	87,	88,	89,	90,	91,	92,	93,	94,	95,	96,	97,	98,	99,	
AG10803,	0.121902,	27.2247,	3.37261,	1.13775,	1.13775,	0.609508,	0.162536,	1.30028,	0.812678,	0.203169,	0.934579,	0.975213,	1.54409,	0.284437,	1.82853,	0.568874,	1.58472,	0.609508,	0.284437,	0.609508,	1.38155,	0.284437,	0.365705,	0.284437,	0.203169,	0.325071,	1.46282,	0.406339,	0.365705,	0.203169,	1.30028,	1.01585,	0.650142,	0.73141,	0.365705,	0.162536,	2.23486,	0.690776,	0.772044,	2.19423,	1.54409,	0.203169,	0.121902,	0.73141,	0.0812678,	0.406339,	0.0406339,	0.0812678,	0.893946,	0.406339,	0.0812678,	0.0406339,	0.325071,	2.03169,	1.78789,	0.893946,	0.203169,	0.284437,	0.284437,	0.284437,	0.365705,	3.57578,	0.73141,	0.934579,	0.162536,	0.203169,	0.0812678,	2.43803,	0.528241,	0.162536,	0.73141,	1.46282,	0,	0.0812678,	0.528241,	0.690776,	0.568874,	0.284437,	1.82853,	0.690776,	1.42219,	0.650142,	0.0812678,	0.365705,	1.62536,	0.893946,	2.5193,	0.243803,	0.690776,	0.325071,	0.0406339,	0.446973,	0.203169,	0.162536,	0,	0.0812678,	0.934579,	0.284437,	0.284437,	1.25965,	
AoAF,	0.161812,	27.0227,	3.19579,	1.41586,	0.889968,	0.930421,	0.202265,	1.21359,	0.52589,	0.0809062,	1.17314,	0.647249,	0.970874,	0.283172,	2.14401,	0.364078,	2.22492,	0.323625,	0.283172,	0.849515,	1.65858,	0.52589,	0.202265,	0.283172,	0.444984,	0.202265,	1.25405,	0.0809062,	0.404531,	0.121359,	0.606796,	0.768608,	0.161812,	0.687702,	0.283172,	0.121359,	1.3754,	0.889968,	1.09223,	2.46764,	1.17314,	0.161812,	0.161812,	0.970874,	0.121359,	0.283172,	0.121359,	0.0809062,	0.687702,	0.283172,	0.0809062,	0,	0.364078,	2.589,	1.2945,	0.889968,	0.202265,	0.404531,	0.444984,	0.323625,	0.242718,	4.28803,	0.444984,	0.889968,	0.121359,	0.242718,	0,	2.14401,	0.647249,	0.242718,	1.21359,	1.61812,	0.0404531,	0.202265,	0.768608,	0.647249,	0.52589,	0.242718,	2.38673,	0.728155,	2.22492,	1.01133,	0.0809062,	0.323625,	1.53722,	0.930421,	2.42718,	0.323625,	0.849515,	0.323625,	0,	0.202265,	0.121359,	0.202265,	0.121359,	0.0404531,	0.849515,	0.242718,	0,	1.3754,	
CD20+,	0.517104,	22.4741,	4.05728,	1.3922,	1.31265,	0.318218,	0.278441,	1.07399,	0.994431,	0.0795545,	1.15354,	0.397772,	1.27287,	0.159109,	1.7502,	0.596659,	1.47176,	0.556881,	0.318218,	0.875099,	1.3922,	0.477327,	0.397772,	0.238663,	0.318218,	0.238663,	1.43198,	0.198886,	0.596659,	0.119332,	1.23309,	0.676213,	0.875099,	0.556881,	0.238663,	0.278441,	1.3922,	0.954654,	1.11376,	2.22753,	1.03421,	0.119332,	0.159109,	0.676213,	0.318218,	0.517104,	0,	0.119332,	0.755768,	0.159109,	0.0795545,	0.119332,	0.357995,	3.10263,	1.43198,	0.954654,	0.556881,	0.318218,	0.835322,	0.43755,	0.636436,	3.85839,	0.795545,	1.82975,	0.198886,	0.159109,	0,	1.51154,	0.596659,	0.198886,	1.07399,	1.35243,	0,	0.0397772,	0.755768,	0.994431,	0.43755,	0.238663,	1.86953,	1.03421,	1.63087,	0.875099,	0.0397772,	0.71599,	2.10819,	0.795545,	2.74463,	0.159109,	0.755768,	0.119332,	0,	0.477327,	0.357995,	0.0795545,	0.119332,	0.318218,	1.07399,	0.357995,	0.198886,	1.43198,	
GM06990,	0.241643,	25.4531,	2.01369,	3.94684,	1.77205,	0.886025,	0.281917,	0.644382,	0.0805477,	0.281917,	0.281917,	3.10109,	1.00685,	0.644382,	1.08739,	0.281917,	0.886025,	0.281917,	0.886025,	0.886025,	0.966573,	0.201369,	0.402739,	1.73178,	0.161095,	0.886025,	0.684656,	0.765203,	0.0402739,	0.281917,	0.966573,	0.966573,	0.765203,	1.53041,	1.32904,	0.644382,	0.52356,	0.845751,	1.16794,	0.604108,	1.32904,	0.322191,	0.120822,	1.24849,	0.0805477,	0.0805477,	0.402739,	0.241643,	0.483286,	1.73178,	0.281917,	0.120822,	0.483286,	4.99396,	1.61095,	1.00685,	0.0402739,	0.563834,	0.0402739,	1.8526,	0.281917,	1.53041,	0.322191,	1.49013,	0.161095,	0.604108,	0.120822,	1.24849,	0.72493,	0.0805477,	0.0402739,	1.44986,	0.161095,	1.12767,	1.28876,	0.604108,	0.563834,	0.241643,	0.443013,	0.644382,	0.644382,	0.161095,	0.161095,	0.52356,	2.45671,	0.72493,	0.443013,	0.0805477,	1.40959,	0.362465,	0.0402739,	0,	0.72493,	0.241643,	0.0805477,	0.120822,	0.161095,	0.0805477,	0.281917,	0.72493,	
GM12865,	0.198649,	28.089,	2.94001,	1.47,	1.15217,	0.437028,	0.11919,	0.834327,	0.516488,	0.0397298,	1.15217,	0.675407,	1.03298,	0.437028,	1.62892,	0.317839,	1.90703,	0.595948,	0.397298,	0.635677,	1.74811,	0.397298,	0.317839,	0.158919,	0.198649,	0.238379,	1.74811,	0.516488,	0.556218,	0,	1.23162,	0.675407,	0.238379,	0.675407,	0.11919,	0.11919,	1.62892,	0.953516,	1.03298,	1.98649,	0.874056,	0.238379,	0.198649,	0.595948,	0.198649,	0.516488,	0.0397298,	0.0794597,	0.913786,	0.198649,	0.0794597,	0.11919,	0.238379,	3.09893,	1.31108,	0.874056,	0.437028,	0.317839,	0.357569,	0.437028,	0.397298,	4.25109,	0.437028,	1.15217,	0.11919,	0.0794597,	0,	1.94676,	0.556218,	0.278109,	0.953516,	1.23162,	0,	0.0397298,	0.754867,	0.794597,	0.635677,	0.278109,	1.74811,	1.31108,	2.2646,	0.635677,	0,	0.516488,	0.993246,	0.635677,	2.74136,	0.11919,	0.953516,	0.11919,	0,	0.437028,	0.0794597,	0.238379,	0.0397298,	0.158919,	0.834327,	0.278109,	0.158919,	1.58919,	
H7-hESC,	0.200481,	23.0152,	3.64876,	1.24298,	1.32318,	0.842021,	0.280674,	1.56375,	0.521251,	0.280674,	1.44346,	0.681636,	0.681636,	0.360866,	1.36327,	0.441059,	2.04491,	0.681636,	0.120289,	0.801925,	1.88452,	0.441059,	0.0400962,	0.521251,	0.240577,	0.240577,	1.72414,	0.521251,	0.721732,	0.0400962,	0.842021,	0.842021,	0.0801925,	0.441059,	0.360866,	0.240577,	1.76423,	1.20289,	0.882117,	1.60385,	1.40337,	0.360866,	0.360866,	1.20289,	0,	0.240577,	0.160385,	0.280674,	1.00241,	0.400962,	0.160385,	0.360866,	0.280674,	1.96472,	1.48356,	1.24298,	0.160385,	0.280674,	0.561347,	0.441059,	0.200481,	3.96953,	0.64154,	0.601443,	0.32077,	0.400962,	0.120289,	2.085,	1.00241,	0.200481,	1.16279,	0.922213,	0.0801925,	0.120289,	0.922213,	0.521251,	0.481155,	0.200481,	2.72654,	1.20289,	2.04491,	1.0826,	0,	0.561347,	1.72414,	0.761828,	1.92462,	0.120289,	0.761828,	0.240577,	0.0801925,	0.32077,	0.0801925,	0.240577,	0.0400962,	0.280674,	1.0425,	0.400962,	0.160385,	1.72414,	
HA-h,	0.196773,	20.0708,	5.19481,	1.57418,	0.550964,	0.550964,	0.0787092,	1.10193,	0.747737,	0.118064,	0.865801,	0.94451,	1.25935,	0.275482,	2.1645,	0.236127,	1.81031,	0.629673,	0.550964,	0.393546,	1.57418,	0.708383,	0.275482,	0.196773,	0.590319,	0.393546,	1.65289,	0.196773,	0.629673,	0.118064,	2.08579,	0.629673,	0.669028,	0.393546,	0.393546,	0.354191,	1.77096,	0.51161,	1.45612,	2.75482,	1.49547,	0.472255,	0.0787092,	0.590319,	0.157418,	0.747737,	0,	0.196773,	0.787092,	0.236127,	0.0393546,	0.196773,	0.275482,	3.06966,	1.33806,	0.826446,	0.314837,	0.157418,	1.25935,	0.196773,	0.51161,	4.2503,	0.747737,	1.49547,	0.236127,	0.118064,	0.0787092,	1.77096,	0.275482,	0.314837,	0.51161,	0.94451,	0.0787092,	0.0393546,	0.629673,	1.10193,	0.590319,	0.275482,	1.10193,	0.747737,	2.36127,	0.905155,	0,	0.629673,	1.41677,	0.747737,	3.42385,	0.393546,	0.787092,	0.157418,	0,	0.708383,	0.314837,	0.0393546,	0.0393546,	0.354191,	1.06257,	0.354191,	0.157418,	1.21999,	
HAEpiC,	0,	26.4151,	3.73257,	1.4356,	1.14848,	0.902379,	0.0410172,	1.06645,	0.492207,	0.0410172,	1.51764,	0.984413,	0.984413,	0.123052,	1.88679,	0.45119,	2.21493,	0.656276,	0.533224,	0.697293,	1.4356,	0.45119,	0.164069,	0.205086,	0.246103,	0.164069,	1.31255,	0.246103,	0.410172,	0.0820345,	0.984413,	0.73831,	0.45119,	0.574241,	0.328138,	0.0820345,	1.06645,	1.31255,	0.574241,	2.09188,	0.779327,	0.287121,	0.246103,	0.902379,	0.164069,	0.492207,	0.0820345,	0.164069,	1.1895,	0.0820345,	0.205086,	0.0410172,	0.0820345,	2.66612,	1.68171,	1.31255,	0.410172,	0.287121,	0.164069,	0.246103,	0.205086,	4.5119,	0.328138,	0.656276,	0.0820345,	0.164069,	0.0410172,	2.42002,	0.533224,	0.205086,	1.1895,	1.39459,	0,	0.164069,	0.984413,	0.73831,	0.574241,	0.0820345,	2.54307,	0.574241,	2.05086,	0.697293,	0.164069,	0.533224,	1.14848,	0.820345,	2.54307,	0.0820345,	0.697293,	0.287121,	0,	0.369155,	0.0820345,	0.0410172,	0.123052,	0.0820345,	0.656276,	0.369155,	0.369155,	1.76374,	
HCF,	0.27933,	27.8931,	3.83081,	1.47646,	1.51636,	0.27933,	0,	1.35674,	0.917797,	0,	1.27694,	0.798085,	1.19713,	0.199521,	1.19713,	0.359138,	1.8755,	0.319234,	0.319234,	0.399042,	1.59617,	0.359138,	0.239425,	0.159617,	0.319234,	0.199521,	1.67598,	0.27933,	0.438947,	0.119713,	1.15722,	0.997606,	0.359138,	0.598563,	0.518755,	0.159617,	1.63607,	0.718276,	1.07741,	2.07502,	1.19713,	0.359138,	0.239425,	0.558659,	0.239425,	0.438947,	0,	0.199521,	0.837989,	0.199521,	0.119713,	0.0798085,	0.239425,	2.39425,	0.877893,	0.917797,	0.27933,	0.478851,	0.678372,	0.27933,	0.399042,	3.07263,	0.558659,	1.23703,	0.199521,	0.319234,	0.0798085,	2.35435,	0.359138,	0.119713,	1.03751,	0.997606,	0.0399042,	0.199521,	0.518755,	0.558659,	0.718276,	0.239425,	2.23464,	1.19713,	1.99521,	0.798085,	0.0399042,	0.678372,	1.51636,	0.798085,	2.19473,	0,	0.558659,	0.119713,	0,	0.239425,	0.27933,	0.199521,	0,	0.239425,	0.997606,	0.399042,	0.199521,	1.51636,	
