cell ,	0,	1,	2,	3,	4,	5,	6,	7,	8,	9,	10,	11,	12,	13,	14,	15,	16,	17,	18,	19,	20,	21,	22,	23,	24,	25,	26,	27,	28,	29,	30,	31,	32,	33,	34,	35,	36,	37,	38,	39,	40,	41,	42,	43,	44,	45,	46,	47,	48,	49,	50,	51,	52,	53,	54,	55,	56,	57,	58,	59,	60,	61,	62,	63,	64,	65,	66,	67,	68,	69,	70,	71,	72,	73,	74,	75,	76,	77,	78,	79,	80,	81,	82,	83,	84,	85,	86,	87,	88,	89,	90,	91,	92,	93,	94,	95,	96,	97,	98,	99,	
AG10803,	1.04769,	13.8728,	1.91474,	1.91474,	1.11994,	1.62572,	0.0722543,	1.48121,	0.541907,	0.578035,	0.180636,	1.80636,	6.28613,	0.903179,	0.397399,	0.939306,	0.289017,	0,	0.397399,	0.108382,	0.614162,	0.0361272,	1.22832,	0.578035,	0.0361272,	0.108382,	0.144509,	0.361272,	0.25289,	0.361272,	0.216763,	1.87861,	1.84249,	1.1922,	0.25289,	1.66185,	1.11994,	1.91474,	1.37283,	3.28757,	0.0361272,	0.325144,	0.180636,	0,	0,	0.289017,	0,	0.0361272,	0.433526,	0.25289,	0.180636,	0.0361272,	0,	2.23988,	0.397399,	0.397399,	0,	0.541907,	0.758671,	1.37283,	1.11994,	0.433526,	1.84249,	1.11994,	0.50578,	0.50578,	0.108382,	1.26445,	7.0448,	0.469653,	0.614162,	1.30058,	0.108382,	0.289017,	0.433526,	0.180636,	9.06792,	0.144509,	2.89017,	0.0361272,	0.541907,	0.216763,	0.108382,	1.22832,	0.216763,	0.433526,	0.541907,	0,	0.433526,	0.0722543,	0.180636,	0.289017,	0.144509,	0.361272,	0,	0.325144,	1.55347,	0,	1.33671,	1.11994,	
AoAF,	0.924658,	11.0959,	2.08904,	1.9863,	0.993151,	1.60959,	0.10274,	1.26712,	0.479452,	0.547945,	0.10274,	1.81507,	8.15068,	0.650685,	0.582192,	0.616438,	0.136986,	0.0342466,	0.342466,	0.410959,	0.684932,	0.0684932,	1.16438,	0.684932,	0.0684932,	0.0684932,	0.342466,	0.10274,	0.479452,	0.513699,	0.239726,	1.74658,	2.60274,	0.684932,	0.239726,	1.67808,	1.0274,	2.84247,	1.81507,	4.79452,	0.0342466,	0.239726,	0.308219,	0.0684932,	0.0342466,	0.205479,	0.0342466,	0.0342466,	0.787671,	0.171233,	0.0684932,	0,	0.0342466,	2.26027,	0.410959,	0.273973,	0.171233,	0.719178,	0.547945,	1.57534,	0.684932,	0.582192,	2.12329,	1.81507,	0.445205,	0.342466,	0.10274,	1.60959,	6.91781,	0.308219,	0.616438,	0.753425,	0.205479,	0.10274,	0.513699,	0.273973,	8.69863,	0.0684932,	2.39726,	0.0342466,	0.171233,	0.376712,	0.171233,	1.09589,	0.273973,	0.308219,	0.513699,	0.10274,	0.308219,	0.0684932,	0.136986,	0.445205,	0.171233,	0.376712,	0.0342466,	0.273973,	0.958904,	0,	1.19863,	0.650685,	
CD20+,	0.678372,	22.2666,	2.8731,	1.23703,	1.39665,	1.07741,	0.119713,	0.997606,	0.319234,	0.27933,	0.159617,	2.03512,	5.10774,	0.558659,	0.598563,	0.877893,	0.0798085,	0,	0.27933,	0.239425,	0.399042,	0.0399042,	0.75818,	0.27933,	0.0798085,	0.199521,	0.438947,	0.239425,	0.438947,	0.558659,	0.199521,	1.03751,	1.35674,	1.99521,	0.199521,	1.19713,	0.917797,	2.39425,	1.27694,	3.47167,	0,	0.399042,	0.0798085,	0.0399042,	0.0399042,	0.27933,	0.0399042,	0.0399042,	0.598563,	0.159617,	0,	0,	0.0798085,	1.9154,	0.27933,	0.518755,	0,	0.678372,	0.518755,	1.43655,	0.678372,	0.518755,	1.15722,	0.957702,	0.359138,	0.478851,	0.0798085,	1.55626,	6.38468,	0.27933,	0.478851,	1.83559,	0.199521,	0.199521,	0.518755,	0.0798085,	7.46209,	0,	3.63128,	0,	0.27933,	0.399042,	0.0798085,	0.678372,	0.199521,	0.75818,	0.638468,	0,	0.199521,	0.0798085,	0.119713,	0.27933,	0.0798085,	0.239425,	0,	0.159617,	0.678372,	0,	1.15722,	1.35674,	
GM06990,	1.37685,	24.7833,	3.11066,	1.07088,	2.24375,	0.101989,	0.356961,	0.101989,	0.203978,	0,	0.203978,	2.09077,	5.35441,	0.101989,	0.560938,	0.764916,	0.305966,	0.0509944,	0.560938,	1.22387,	0.560938,	0.305966,	0.560938,	3.00867,	0.101989,	0.152983,	0.407955,	0.509944,	0.356961,	0.764916,	0.305966,	0.152983,	0.968893,	0.917899,	1.58083,	0.101989,	0.152983,	5.4564,	0.305966,	2.03978,	0.254972,	0.152983,	0.254972,	0.356961,	0.0509944,	0.0509944,	0.0509944,	0.152983,	2.14176,	0.611933,	0.0509944,	0.0509944,	0.305966,	0.764916,	0.356961,	0.45895,	0.356961,	0.305966,	0.0509944,	0.509944,	0.611933,	0.662927,	0.203978,	1.32585,	0.0509944,	0.305966,	0,	1.12188,	0.560938,	0.101989,	0.0509944,	1.7848,	0,	1.01989,	2.24375,	0.101989,	3.26364,	0.101989,	6.83325,	0.0509944,	0.611933,	0.509944,	0.0509944,	0.356961,	0.0509944,	0.45895,	1.12188,	0.101989,	0.407955,	0.152983,	0,	0.0509944,	1.98878,	0.764916,	0.356961,	0.101989,	0,	0,	0.254972,	1.68281,	
GM12865,	0.452148,	18.3497,	1.6202,	1.16805,	1.69555,	0.979653,	0.113037,	0.979653,	0.640543,	0.339111,	0.188395,	2.11002,	6.33007,	0.489827,	0.678222,	1.01733,	0.263753,	0,	0.188395,	0.150716,	0.414469,	0.037679,	0.678222,	1.39412,	0.150716,	0.075358,	0.226074,	0.263753,	0.37679,	0.263753,	0.113037,	1.4318,	1.46948,	1.4318,	0.301432,	0.791258,	0.753579,	2.82592,	0.791258,	3.35343,	0.037679,	0.414469,	0.150716,	0,	0,	0.226074,	0,	0.113037,	0.791258,	0.226074,	0.150716,	0.037679,	0.075358,	2.29842,	0.263753,	0.452148,	0.037679,	0.602864,	0.414469,	1.35644,	0.828937,	0.301432,	1.77091,	1.01733,	0.113037,	0.414469,	0,	1.50716,	7.64883,	0.075358,	0.565185,	1.69555,	0.075358,	0.263753,	0.904295,	0.188395,	8.36473,	0,	2.71289,	0.113037,	0.565185,	0.226074,	0.037679,	0.640543,	0.226074,	0.715901,	1.05501,	0,	0.37679,	0.188395,	0.113037,	0.075358,	0.150716,	0.565185,	0,	0.075358,	0.715901,	0,	1.50716,	1.65787,	
H7-hESC,	1.16361,	12.7645,	2.08039,	2.22144,	0.705219,	1.05783,	0.141044,	1.69252,	0.423131,	0.458392,	0.246827,	2.00987,	7.01693,	0.669958,	0.775741,	0.352609,	0.317348,	0,	0.564175,	0.246827,	0.74048,	0.0705219,	0.846262,	0.74048,	0.141044,	0.105783,	0.317348,	0.246827,	0.352609,	0.352609,	0.352609,	0.987306,	3.34979,	0.987306,	0.246827,	1.09309,	0.493653,	3.34979,	1.51622,	4.54866,	0.0705219,	0.211566,	0.176305,	0.0705219,	0,	0.317348,	0,	0.141044,	0.634697,	0.0352609,	0.105783,	0.105783,	0.0705219,	2.46827,	0.282087,	0.458392,	0.176305,	0.528914,	0.846262,	1.90409,	0.705219,	0.705219,	2.15092,	1.65726,	0.352609,	0.38787,	0.0705219,	1.86883,	5.78279,	0.317348,	0.74048,	1.23413,	0.0705219,	0.105783,	0.282087,	0.317348,	7.26375,	0.0352609,	2.96192,	0,	0.317348,	0.352609,	0.141044,	1.19887,	0.282087,	0.423131,	0.599436,	0,	0.282087,	0,	0.141044,	0.141044,	0.317348,	0.211566,	0.0352609,	0.246827,	1.26939,	0,	1.79831,	0.881523,	
HA-h,	1.46228,	10.9006,	2.85809,	1.96078,	1.03024,	1.89432,	0.0664673,	1.19641,	0.299103,	0.598205,	0.398804,	1.76138,	5.88235,	0.598205,	1.06348,	0.498504,	0.432037,	0,	0.199402,	0.398804,	0.697906,	0.0997009,	0.797607,	0.332336,	0.0664673,	0.166168,	0.299103,	0.232635,	0.531738,	0.531738,	0.299103,	1.62845,	2.16019,	1.19641,	0.199402,	1.79462,	1.62845,	1.29611,	2.19342,	2.35959,	0.199402,	0.299103,	0.199402,	0.0664673,	0.0332336,	0.432037,	0.0664673,	0.0664673,	0.598205,	0.199402,	0.0997009,	0.166168,	0.0332336,	2.42606,	0.664673,	0.531738,	0.0664673,	0.797607,	1.19641,	1.36258,	1.16318,	0.432037,	2.55899,	1.59521,	0.631439,	0.36557,	0.265869,	0.897308,	5.08475,	0.664673,	0.664673,	0.73114,	0.432037,	0.232635,	0.498504,	0.332336,	8.27517,	0.0332336,	2.19342,	0.132935,	0.664673,	0.332336,	0.0997009,	1.09671,	0.432037,	0.797607,	0.73114,	0.0332336,	0.265869,	0.0664673,	0.199402,	0.531738,	0.166168,	0.631439,	0,	0.332336,	1.79462,	0.0664673,	1.89432,	1.16318,	
HAEpiC,	1.45296,	13.8758,	1.74355,	2.21576,	1.08972,	0.9081,	0.072648,	1.70723,	0.435888,	0.690156,	0.254268,	1.99782,	9.37159,	0.617508,	0.871776,	0.54486,	0.18162,	0,	0.508536,	0.18162,	0.653832,	0.072648,	0.944424,	0.217944,	0.036324,	0,	0.072648,	0.108972,	0.472212,	0.36324,	0.290592,	1.74355,	2.39738,	1.19869,	0.254268,	1.45296,	0.690156,	2.47003,	2.07047,	5.19433,	0,	0.072648,	0.145296,	0,	0,	0.145296,	0.036324,	0.072648,	0.435888,	0.254268,	0.036324,	0.072648,	0.108972,	1.85252,	0.36324,	0.326916,	0.036324,	0.690156,	1.01707,	1.12604,	0.980748,	0.290592,	1.92517,	1.34399,	0.145296,	0.399564,	0,	1.63458,	6.02979,	0.217944,	0.690156,	1.08972,	0.18162,	0.036324,	0.254268,	0.326916,	7.62804,	0,	3.05122,	0,	0.18162,	0.36324,	0.145296,	0.799128,	0.399564,	0.472212,	0.581184,	0.072648,	0.399564,	0.072648,	0.036324,	0.18162,	0.326916,	0.36324,	0,	0.217944,	1.23502,	0.036324,	0.871776,	0.799128,	
HCF,	1.03683,	12.6207,	2.00215,	2.07365,	0.750804,	1.3586,	0.178763,	1.21559,	0.536289,	0.500536,	0.178763,	1.50161,	6.29246,	0.786557,	0.429031,	0.858062,	0.250268,	0.0357526,	0.464784,	0.357526,	0.500536,	0.107258,	0.858062,	0.679299,	0.0715052,	0.107258,	0.357526,	0.214516,	0.286021,	0.357526,	0.250268,	1.32285,	2.46693,	1.17984,	0.286021,	1.39435,	1.21559,	2.50268,	2.21666,	3.50375,	0,	0.178763,	0.214516,	0,	0.0715052,	0.178763,	0.0715052,	0.0357526,	0.715052,	0.0715052,	0.178763,	0.0715052,	0,	2.60994,	0.679299,	0.715052,	0,	0.858062,	0.643547,	1.82338,	0.96532,	0.393279,	1.78763,	1.71612,	0.464784,	0.429031,	0.14301,	0.715052,	7.32928,	0.429031,	0.643547,	1.14408,	0.0357526,	0.214516,	0.858062,	0.464784,	8.47336,	0.0357526,	2.25241,	0.107258,	0.286021,	0.14301,	0.14301,	1.03683,	0.14301,	0.429031,	0.643547,	0.0715052,	0.214516,	0.107258,	0.107258,	0.286021,	0.250268,	0.572041,	0,	0.250268,	1.71612,	0.0357526,	1.64462,	0.893815,	
HCM,	0.713521,	14.5915,	1.81948,	1.99786,	0.99893,	1.21299,	0.0713521,	1.42704,	0.356761,	0.642169,	0.214056,	1.24866,	6.74278,	0.784873,	0.570817,	0.570817,	0.428113,	0,	0.321085,	0.249732,	0.784873,	0.0356761,	0.99893,	0.713521,	0.0356761,	0.0713521,	0.17838,	0.321085,	0.214056,	0.321085,	0.214056,	1.7838,	2.21192,	1.07028,	0.214056,	1.85516,	0.963254,	2.21192,	1.67677,	3.96004,	0.0713521,	0.321085,	0.214056,	0.107028,	0.0356761,	0.535141,	0.107028,	0.17838,	0.428113,	0.142704,	0.142704,	0.0356761,	0.0713521,	2.03354,	0.392437,	0.428113,	0.0356761,	0.642169,	0.856225,	1.60542,	0.820549,	0.642169,	2.74706,	1.42704,	0.463789,	0.321085,	0.0356761,	0.570817,	7.13521,	0.463789,	0.428113,	0.891902,	0.214056,	0.142704,	0.499465,	0.321085,	8.45523,	0.0356761,	2.3903,	0.0713521,	0.463789,	0.142704,	0.107028,	1.32001,	0.214056,	0.214056,	0.535141,	0,	0.214056,	0.0713521,	0.285408,	0.463789,	0.214056,	0.392437,	0,	0.249732,	1.53407,	0,	1.10596,	1.21299,	
