cell ,	0,	1,	2,	3,	4,	5,	6,	7,	8,	9,	10,	11,	12,	13,	14,	15,	16,	17,	18,	19,	20,	21,	22,	23,	24,	25,	26,	27,	28,	29,	30,	31,	32,	33,	34,	35,	36,	37,	38,	39,	40,	41,	42,	43,	44,	45,	46,	47,	48,	49,	50,	51,	52,	53,	54,	55,	56,	57,	58,	59,	60,	61,	62,	63,	64,	65,	66,	67,	68,	69,	70,	71,	72,	73,	74,	75,	76,	77,	78,	79,	80,	81,	82,	83,	84,	85,	86,	87,	88,	89,	90,	91,	92,	93,	94,	95,	96,	97,	98,	99,	
AG10803,	0,	28.1511,	2.55027,	1.22609,	2.59931,	0.686611,	0.245218,	0.392349,	0.147131,	0.343306,	0.196175,	0.931829,	0.392349,	0.196175,	0.490436,	0.833742,	0.588524,	1.27513,	0.686611,	0.441393,	0.833742,	0.833742,	0.686611,	1.07896,	0.196175,	0.588524,	0.490436,	0.392349,	0.0980873,	0,	0.53948,	2.55027,	0,	0.343306,	0.196175,	0.784698,	1.07896,	0.784698,	0.833742,	0.588524,	2.05983,	1.52035,	0.0980873,	1.17705,	0.0490437,	0.0490437,	1.07896,	0.735655,	0.735655,	0.882786,	0.490436,	0.0980873,	0.686611,	2.50123,	4.75723,	2.74644,	0.147131,	0.441393,	0.147131,	0.882786,	0.0490437,	0.931829,	0.53948,	0.196175,	0.294262,	0.343306,	0.0490437,	1.17705,	1.22609,	0.0980873,	0.441393,	2.94262,	0.294262,	0.294262,	2.6974,	0.686611,	1.02992,	0.245218,	0.441393,	0.882786,	0.441393,	0,	0.0980873,	0.196175,	0.392349,	1.66748,	1.76557,	0.0980873,	0.147131,	0.441393,	0.196175,	0,	0.196175,	0.686611,	0.0980873,	0,	0.0980873,	0.245218,	0.392349,	1.42227,	
AoAF,	0,	30.7282,	2.23301,	0.776699,	2.3301,	0.679612,	0.38835,	0.533981,	0.145631,	0.242718,	0.0970874,	0.436893,	0.242718,	0.339806,	0.631068,	0.485437,	1.06796,	1.60194,	0.533981,	0.436893,	0.825243,	0.970874,	0.533981,	0.631068,	0.145631,	0.339806,	0.291262,	0.436893,	0.0485437,	0,	0.631068,	2.96117,	0.0485437,	0.873786,	0.291262,	0.436893,	1.16505,	0.38835,	1.26214,	0.291262,	2.42718,	1.01942,	0.38835,	0.873786,	0.0485437,	0,	0.582524,	0.38835,	0.436893,	0.825243,	0.631068,	0.194175,	0.631068,	2.18447,	4.70874,	2.86408,	0,	0.436893,	0,	0.631068,	0,	0.776699,	0.533981,	0.436893,	0.242718,	0.38835,	0,	1.60194,	0.631068,	0.0970874,	0.38835,	3.64078,	0.194175,	0.145631,	3.25243,	1.01942,	0.776699,	0.194175,	0.242718,	1.06796,	0.485437,	0.145631,	0,	0.631068,	0.631068,	1.40777,	2.08738,	0,	0.291262,	0.145631,	0.0485437,	0,	0.0970874,	0.485437,	0.0485437,	0,	0.339806,	0.145631,	0.145631,	1.45631,	
CD20+,	0.0477099,	24.5706,	1.38359,	2.00382,	1.62214,	0.667939,	0.0954198,	0.524809,	0.0954198,	0,	0.0954198,	0.333969,	0.572519,	0.477099,	0.858779,	0.477099,	0.572519,	1.81298,	0.429389,	0.477099,	0.572519,	0.858779,	0.906489,	1.24046,	0.333969,	0.572519,	0.524809,	0.429389,	0.0477099,	0.0954198,	0.28626,	2.09924,	0.381679,	0.477099,	0.620229,	0.667939,	1.14504,	0.954198,	1.28817,	0.620229,	2.95802,	1.62214,	0.524809,	1.76527,	0.0477099,	0.0477099,	2.57634,	0.524809,	0.477099,	1.4313,	1.4313,	0.381679,	0.811069,	1.9084,	5.91603,	2.3855,	0,	0.524809,	0.14313,	0.667939,	0.0954198,	0.906489,	0.858779,	0.381679,	0.19084,	0.381679,	0.0954198,	1.33588,	1.33588,	0.14313,	0.28626,	2.57634,	0.477099,	0.333969,	2.05153,	1.04962,	1.28817,	0.572519,	0.381679,	0.858779,	0.429389,	0.23855,	0.14313,	0.333969,	0.572519,	1.00191,	0.620229,	0.0477099,	0.28626,	0.381679,	0.23855,	0.0954198,	0.14313,	0.572519,	0.0477099,	0.0477099,	0.429389,	0.19084,	0.28626,	0.906489,	
GM06990,	0.200401,	32.8657,	0.951904,	1.95391,	1.30261,	0.551102,	0.551102,	2.70541,	0.200401,	0.150301,	0.450902,	1.85371,	1.30261,	0.350701,	1.0521,	0.751503,	1.1022,	0.150301,	0.300601,	0.300601,	0.450902,	0.400802,	0,	0.701403,	0.1002,	0.350701,	0.951904,	0.200401,	0.501002,	0.501002,	0.801603,	0.651303,	0.300601,	3.05611,	0.300601,	0.250501,	1.002,	0.601202,	0.501002,	0.801603,	1.45291,	0.601202,	0.1002,	1.2525,	0.150301,	0.450902,	0.0501002,	0.150301,	0.701403,	0.801603,	0.150301,	0.200401,	0.150301,	2.45491,	1.70341,	1.30261,	0.250501,	0.350701,	0.150301,	0.250501,	0.450902,	1.35271,	0.250501,	0.551102,	0.1002,	1.35271,	0.1002,	1.95391,	0.501002,	0.1002,	0.400802,	1.60321,	0.1002,	0.601202,	1.70341,	0.751503,	0.951904,	0.0501002,	1.60321,	0.200401,	1.30261,	0.150301,	0.0501002,	0.551102,	2.50501,	0.901804,	1.65331,	0.150301,	1.40281,	0.450902,	0.0501002,	0.150301,	0.300601,	0.0501002,	0.250501,	0.300601,	0.350701,	0.200401,	0.1002,	0.300601,	
GM12865,	0,	25.736,	1.94682,	0.759734,	2.94397,	0.569801,	0.332384,	0.902184,	0.14245,	0.189934,	0.2849,	0.807217,	0.522317,	0.189934,	0.474834,	0.522317,	0.807217,	1.37702,	0.617284,	0.237417,	0.854701,	1.28205,	0.42735,	0.712251,	0.42735,	0.712251,	0.189934,	0.379867,	0.0474834,	0,	0.759734,	2.42165,	0.189934,	0.712251,	0.332384,	0.522317,	1.1396,	0.712251,	0.854701,	0.42735,	2.61159,	1.61443,	0.617284,	1.32953,	0,	0.0474834,	1.32953,	0.807217,	0.42735,	0.949668,	0.902184,	0.189934,	0.807217,	2.849,	6.31529,	2.61159,	0,	0.237417,	0.0474834,	0.902184,	0.0949668,	0.664767,	0.617284,	0.14245,	0.0949668,	0.2849,	0.0474834,	1.04463,	0.997151,	0.0949668,	0.379867,	3.94112,	0.237417,	0.14245,	2.65907,	0.759734,	1.04463,	0.237417,	0.522317,	0.997151,	0.237417,	0.0474834,	0.0474834,	0.237417,	0.2849,	1.66192,	1.28205,	0.0474834,	0.2849,	0.2849,	0.14245,	0.0474834,	0.0949668,	0.332384,	0.189934,	0,	0.2849,	0.189934,	0.14245,	2.08927,	
H7-hESC,	0.141643,	28.423,	2.92729,	0.519358,	2.78565,	0.661001,	0.141643,	0.377715,	0.0944287,	0.236072,	0.141643,	0.849858,	0.424929,	0.188857,	0.613787,	0.377715,	0.566572,	1.69972,	0.3305,	0.188857,	0.708215,	1.03872,	0.566572,	0.3305,	0.0472144,	0.566572,	0.424929,	0.188857,	0,	0,	0.802644,	2.12465,	0.236072,	0.802644,	0.424929,	0.236072,	1.18036,	0.472144,	1.27479,	0.424929,	2.88008,	1.46364,	0.424929,	1.03872,	0.0944287,	0,	1.41643,	0.519358,	0.424929,	1.08593,	0.613787,	0.283286,	0.519358,	3.54108,	5.47686,	3.72993,	0,	0.188857,	0,	0.708215,	0.0472144,	1.36922,	0.3305,	0.377715,	0.141643,	0.3305,	0.0944287,	1.41643,	0.519358,	0.0472144,	0.3305,	2.69122,	0.188857,	0.0472144,	2.9745,	0.708215,	0.424929,	0.0472144,	0.141643,	0.991501,	0.236072,	0.141643,	0.0944287,	0.424929,	0.613787,	1.22757,	1.46364,	0.141643,	0.236072,	0.3305,	0.0472144,	0,	0.0944287,	0.283286,	0.188857,	0,	0.188857,	0.472144,	0.0472144,	2.59679,	
HA-h,	0.371747,	20.3067,	1.95167,	1.34758,	1.34758,	0.789963,	0.0464684,	0.511152,	0.0464684,	0.27881,	0.139405,	0.418216,	0.650558,	0.743494,	0.743494,	0.8829,	0.697026,	1.9052,	0.789963,	0.604089,	1.20818,	0.789963,	1.62639,	1.0223,	0.371747,	0.697026,	0.371747,	0.464684,	0,	0,	0.929368,	2.50929,	0.27881,	0.418216,	0.464684,	0.604089,	1.0223,	0.557621,	1.57993,	0.371747,	3.20632,	1.57993,	0.325279,	1.71933,	0.0464684,	0.139405,	2.50929,	1.0223,	0.27881,	1.81227,	1.11524,	0.418216,	1.30112,	2.46283,	5.99442,	2.50929,	0.0929368,	0.27881,	0.0929368,	0.8829,	0.139405,	0.697026,	1.0223,	0.232342,	0.232342,	0.418216,	0.185874,	0.975836,	0.650558,	0.139405,	0.371747,	3.06691,	0.418216,	0.185874,	1.25465,	1.20818,	1.20818,	0.511152,	0.789963,	1.11524,	0.371747,	0.232342,	0.0929368,	0.325279,	0.789963,	0.975836,	0.697026,	0.0464684,	0.139405,	0.464684,	0.185874,	0.0929368,	0.185874,	0.650558,	0.232342,	0.0464684,	0.418216,	0.27881,	0.325279,	0.975836,	
HAEpiC,	0,	27.0548,	2.25049,	0.978474,	3.18004,	0.92955,	0.195695,	0.489237,	0,	0.293542,	0.195695,	0.587084,	0.391389,	0.195695,	0.684932,	0.636008,	1.17417,	1.36986,	0.391389,	0.293542,	0.733855,	0.782779,	0.733855,	1.07632,	0.146771,	0.733855,	0.391389,	0.342466,	0.0489237,	0,	0.440313,	1.66341,	0.244618,	0.684932,	0.342466,	0.440313,	1.12524,	0.587084,	1.12524,	0.636008,	2.6908,	1.36986,	0.440313,	1.17417,	0,	0,	0.587084,	0.440313,	0.684932,	0.92955,	0.440313,	0.195695,	0.489237,	3.13112,	5.33268,	3.76712,	0,	0.342466,	0.0978474,	0.92955,	0,	1.0274,	0.440313,	0.195695,	0.146771,	0.53816,	0,	1.51663,	0.684932,	0,	0.440313,	2.83757,	0.195695,	0.146771,	2.98434,	1.32094,	1.0274,	0.244618,	0.342466,	0.636008,	0.53816,	0.391389,	0,	0.489237,	0.636008,	1.22309,	1.36986,	0.0489237,	0.195695,	0.391389,	0.0489237,	0.0489237,	0.293542,	0.587084,	0,	0,	0.195695,	0.244618,	0.146771,	1.81018,	
HCF,	0.0958773,	25.8869,	2.06136,	1.15053,	2.92426,	0.527325,	0.0958773,	0.479386,	0.0958773,	0.191755,	0.0479386,	0.575264,	0.623202,	0.33557,	0.431448,	0.383509,	0.910834,	1.4861,	0.287632,	0.239693,	0.767018,	1.19847,	0.767018,	0.623202,	0.143816,	0.623202,	0.191755,	0.431448,	0,	0.0958773,	0.71908,	2.15724,	0.0958773,	0.623202,	0.33557,	0.479386,	1.43816,	0.479386,	1.10259,	0.479386,	2.68456,	1.39022,	0.527325,	1.10259,	0,	0.0958773,	1.10259,	0.767018,	0.239693,	0.910834,	0.814957,	0.479386,	0.71908,	3.5954,	5.75264,	2.92426,	0.0479386,	0.33557,	0.0479386,	0.71908,	0,	0.910834,	0.623202,	0.527325,	0.287632,	0.479386,	0.0958773,	1.29434,	1.10259,	0.0479386,	0.287632,	3.40364,	0.239693,	0.143816,	2.54075,	0.862895,	0.958773,	0.431448,	0.527325,	0.814957,	0.527325,	0.191755,	0.143816,	0.671141,	0.383509,	1.2464,	1.43816,	0.0958773,	0.287632,	0.479386,	0.0479386,	0.0479386,	0.239693,	0.383509,	0.239693,	0.0479386,	0.287632,	0.143816,	0.143816,	1.53404,	
HCM,	0,	24.3553,	2.72206,	1.43266,	2.48329,	0.620821,	0.143266,	0.573066,	0,	0.143266,	0.0477555,	0.811843,	0.191022,	0.573066,	0.477555,	0.764088,	0.764088,	1.91022,	0.477555,	0.191022,	0.620821,	0.811843,	0.811843,	0.668577,	0.334288,	0.477555,	0.238777,	0.429799,	0.095511,	0.0477555,	0.907354,	2.81757,	0.0477555,	0.573066,	0.238777,	0.573066,	1.43266,	0.429799,	1.7192,	0.668577,	2.72206,	1.86246,	0.477555,	1.43266,	0,	0.0477555,	1.2894,	0.429799,	0.382044,	1.09838,	0.52531,	0.334288,	0.907354,	2.38777,	6.25597,	3.10411,	0.0477555,	0.429799,	0.095511,	0.620821,	0,	1.14613,	0.429799,	0.286533,	0.191022,	0.52531,	0.143266,	1.52818,	1.05062,	0.095511,	0.334288,	3.53391,	0.286533,	0.143266,	2.34002,	0.907354,	0.859599,	0.191022,	0.191022,	0.764088,	0.429799,	0.238777,	0.0477555,	0.429799,	0.52531,	1.2894,	0.95511,	0.191022,	0.191022,	0.286533,	0.143266,	0,	0.191022,	0.429799,	0.0477555,	0.0477555,	0.334288,	0.095511,	0.286533,	1.81471,	
HCPEpiC,	0.0956938,	27.3684,	1.81818,	1.48325,	2.44019,	0.478469,	0.239234,	0.76555,	0.143541,	0.430622,	0.239234,	0.813397,	0.574163,	0.334928,	0.574163,	0.669856,	0.909091,	1.5311,	0.62201,	0.526316,	0.861244,	0.526316,	0.430622,	0.813397,	0.191388,	0.526316,	0.191388,	0.334928,	0,	0.0956938,	0.287081,	2.82297,	0.143541,	0.430622,	0.239234,	0.526316,	1.57895,	0.526316,	1.19617,	0.334928,	2.15311,	1.43541,	0.239234,	1.43541,	0,	0.0478469,	1.43541,	0.430622,	0.861244,	1.5311,	0.430622,	0.287081,	0.669856,	2.67943,	6.65072,	2.87081,	0.0478469,	0.239234,	0.0956938,	0.62201,	0.0478469,	0.909091,	0.76555,	0.0956938,	0.191388,	0.334928,	0.143541,	1.48325,	1.00478,	0.0478469,	0.287081,	2.82297,	0.239234,	0.143541,	2.53589,	1.05263,	0.813397,	0.287081,	0.382775,	0.813397,	0.382775,	0.0956938,	0.0478469,	0.382775,	0.382775,	1.5311,	1.19617,	0.0478469,	0.0478469,	0.191388,	0.143541,	0.0478469,	0.0956938,	0.382775,	0.191388,	0.0478469,	0.239234,	0.287081,	0.143541,	1.43541,	
HEEpiC,	0,	24.7515,	2.50828,	1.04117,	2.50828,	0.709891,	0.0946522,	0.331283,	0.0473261,	0.141978,	0.0473261,	0.804543,	0.378609,	0.331283,	0.331283,	0.473261,	1.04117,	1.23048,	0.520587,	0.425935,	0.946522,	0.899195,	0.662565,	0.899195,	0.615239,	0.709891,	0.473261,	0.567913,	0.0946522,	0.0473261,	0.378609,	2.46096,	0.23663,	0.804543,	0.331283,	0.567913,	1.41978,	0.425935,	0.993848,	0.425935,	2.27165,	1.51443,	0.23663,	1.51443,	0,	0.0473261,	1.79839,	0.473261,	0.567913,	1.23048,	0.520587,	0.331283,	0.709891,	2.50828,	6.15239,	3.31283,	0.0473261,	0.615239,	0,	0.993848,	0.0946522,	1.13583,	0.520587,	0.283956,	0.0473261,	0.283956,	0.0473261,	1.70374,	0.757217,	0,	0.189304,	3.12352,	0.141978,	0.283956,	2.55561,	0.899195,	1.32513,	0.378609,	0.378609,	0.804543,	0.378609,	0.189304,	0.0946522,	0.520587,	0.567913,	1.60909,	1.41978,	0,	0.141978,	0.425935,	0.0946522,	0.0473261,	0.331283,	0.473261,	0.141978,	0,	0.189304,	0.283956,	0.23663,	1.37246,	
HFF,	0.187178,	22.9761,	1.45063,	1.26345,	1.54422,	0.842302,	0.327562,	0.748713,	0.140384,	0.421151,	0.327562,	0.467946,	0.51474,	0.561535,	0.655124,	0.608329,	0.327562,	1.77819,	0.701919,	0.327562,	0.935891,	0.935891,	0.982686,	0.982686,	0.374357,	0.608329,	0.327562,	0.327562,	0.0935891,	0.140384,	0.561535,	2.5737,	0.140384,	0.655124,	0.327562,	0.561535,	1.21666,	1.02948,	1.35704,	0.51474,	2.76088,	1.63781,	0.327562,	1.7314,	0.0467946,	0.0467946,	2.15255,	0.795508,	0.374357,	1.40384,	0.889097,	0.0935891,	0.982686,	2.6205,	6.69162,	2.10576,	0,	0.233973,	0.140384,	0.51474,	0.140384,	0.795508,	0.935891,	0.327562,	0.140384,	0.842302,	0.0935891,	0.982686,	0.889097,	0.0467946,	0.421151,	2.71409,	0.327562,	0.187178,	2.24614,	0.561535,	1.12307,	0.842302,	0.467946,	0.374357,	0.374357,	0.233973,	0.0935891,	0.421151,	0.374357,	1.12307,	1.40384,	0.421151,	0.233973,	0.561535,	0.233973,	0.0467946,	0.467946,	0.51474,	0.233973,	0.0467946,	0.51474,	0.0935891,	0.421151,	1.35704,	
HIPEpiC,	0.0951022,	25.2496,	1.9496,	0.951022,	2.90062,	0.570613,	0.237756,	0.475511,	0.190204,	0.0475511,	0.0951022,	0.85592,	0.665716,	0.475511,	0.951022,	0.570613,	0.760818,	1.66429,	0.570613,	0.570613,	1.04612,	0.760818,	0.998573,	0.951022,	0.237756,	0.285307,	0.332858,	0.475511,	0,	0,	0.665716,	2.61531,	0.142653,	0.713267,	0.380409,	0.618165,	1.90204,	0.570613,	1.09368,	0.523062,	1.80694,	1.66429,	0.237756,	1.18878,	0,	0.142653,	1.23633,	0.618165,	0.570613,	1.09368,	0.570613,	0.285307,	0.713267,	2.28245,	5.18307,	2.42511,	0.0475511,	0.0951022,	0,	0.998573,	0.190204,	1.09368,	0.380409,	0.285307,	0.285307,	0.237756,	0.0475511,	1.42653,	1.09368,	0.190204,	0.332858,	3.13837,	0.142653,	0.285307,	2.75796,	1.33143,	0.760818,	0.285307,	0.42796,	0.951022,	0.570613,	0.190204,	0.0475511,	0.570613,	0.570613,	1.42653,	1.56919,	0.142653,	0.142653,	0.42796,	0.142653,	0.0475511,	0.237756,	0.475511,	0.190204,	0,	0.475511,	0.237756,	0.237756,	1.33143,	
HMF,	0,	28.6689,	2.87665,	1.02389,	2.09654,	0.536324,	0.29254,	0.731351,	0.0975134,	0.14627,	0.14627,	0.682594,	0.58508,	0.14627,	0.29254,	0.633837,	0.926377,	1.21892,	0.43881,	0.43881,	0.682594,	0.975134,	0.29254,	0.780107,	0.29254,	0.536324,	0.243784,	0.731351,	0.0487567,	0,	0.633837,	2.29156,	0.14627,	0.975134,	0.243784,	0.487567,	1.26767,	0.633837,	0.780107,	0.58508,	2.34032,	1.4627,	0.43881,	1.1214,	0,	0,	0.682594,	0.536324,	1.17016,	1.02389,	0.633837,	0.14627,	0.487567,	2.73038,	5.02194,	3.51048,	0,	0.487567,	0,	0.536324,	0.0975134,	1.1214,	0.341297,	0.243784,	0.14627,	0.731351,	0.0487567,	1.41394,	0.780107,	0,	0.195027,	3.31546,	0.243784,	0.195027,	3.65675,	0.58508,	0.633837,	0.29254,	0.487567,	1.02389,	0.195027,	0.0487567,	0.0487567,	0.43881,	0.43881,	1.07265,	1.95027,	0.0975134,	0.390054,	0.29254,	0.0487567,	0.0487567,	0.195027,	0.29254,	0.0487567,	0.0975134,	0.14627,	0.243784,	0.14627,	1.26767,	
HMVEC-dBl-Ad,	0,	27.4233,	1.70482,	0.828057,	2.6303,	0.779347,	0.487092,	0.828057,	0.146128,	0.292255,	0.0487092,	0.63322,	0.535801,	0.487092,	0.438383,	0.730638,	1.0716,	1.94837,	0.779347,	0.146128,	0.828057,	1.12031,	0.779347,	0.438383,	0.146128,	0.438383,	0.194837,	0.438383,	0.0974184,	0,	0.584511,	2.24062,	0.194837,	0.389674,	0.584511,	0.340964,	1.31515,	0.876766,	1.21773,	0.438383,	2.53288,	1.70482,	0.584511,	1.6074,	0.0487092,	0.0974184,	0.974184,	0.487092,	0.535801,	1.12031,	0.681929,	0.0974184,	0.63322,	2.87384,	4.43254,	2.43546,	0,	0.243546,	0,	0.779347,	0,	0.974184,	0.876766,	0.389674,	0.0974184,	0.487092,	0.0487092,	1.65611,	1.21773,	0.194837,	0.340964,	3.36094,	0.243546,	0.194837,	3.06868,	0.730638,	0.828057,	0.146128,	0.146128,	0.828057,	0.389674,	0.146128,	0,	0.779347,	0.438383,	1.0716,	1.26644,	0.0974184,	0.292255,	0.146128,	0.194837,	0.0487092,	0.0487092,	0.340964,	0,	0,	0.389674,	0.292255,	0.146128,	1.6074,	
HPAF,	0,	26.3107,	2.7898,	1.0101,	3.1265,	1.1063,	0.1443,	0.721501,	0.0481001,	0.1924,	0.3848,	0.4329,	0.4329,	0.2405,	0.4329,	0.865801,	1.2025,	1.3468,	0.1924,	0.3367,	0.865801,	1.0582,	0.625301,	0.913901,	0.2886,	0.3367,	0.3848,	0.3848,	0,	0.0481001,	0.3848,	2.6455,	0.1924,	0.625301,	0.2886,	0.1924,	1.924,	0.769601,	1.3949,	0.529101,	2.7898,	1.443,	0.4329,	0.817701,	0.0962001,	0,	1.0582,	0.625301,	0.769601,	0.721501,	0.817701,	0.0962001,	0.625301,	3.2227,	4.8581,	3.1265,	0,	0.2405,	0,	0.673401,	0.3367,	0.817701,	0.3367,	0.481,	0.0481001,	0.481,	0.0962001,	0.962001,	1.1544,	0.0962001,	0.2886,	2.9822,	0.0481001,	0.2405,	3.4632,	0.913901,	0.769601,	0.1924,	0.3367,	0.769601,	0.481,	0.1443,	0,	0.481,	0.481,	1.0582,	1.5873,	0.0481001,	0.1443,	0.481,	0.1443,	0,	0.0481001,	0.0481001,	0.0962001,	0.0481001,	0.2405,	0.2405,	0.0962001,	1.7316,	
HPdLF,	0.0500751,	29.4442,	2.45368,	0.901352,	2.60391,	0.600901,	0.2003,	0.600901,	0,	0.0500751,	0.0500751,	0.801202,	0.751127,	0.300451,	0.901352,	0.951427,	1.25188,	1.25188,	0.250376,	0.400601,	0.550826,	1.05158,	0.450676,	0.701052,	0.350526,	0.500751,	0.350526,	0.450676,	0,	0,	0.300451,	2.45368,	0.10015,	0.851277,	0.350526,	0.550826,	1.30195,	0.650976,	0.801202,	0.500751,	2.85428,	1.35203,	0.350526,	1.30195,	0,	0.0500751,	0.801202,	0.650976,	0.650976,	0.851277,	0.350526,	0.550826,	0.650976,	2.003,	4.05608,	2.55383,	0.10015,	0.300451,	0,	0.400601,	0.0500751,	0.701052,	0.701052,	0.350526,	0.10015,	0.350526,	0.0500751,	1.65248,	1.2018,	0,	0.600901,	3.15473,	0.250376,	0.150225,	3.55533,	0.951427,	0.650976,	0.0500751,	0.2003,	0.701052,	0.250376,	0.0500751,	0,	0.400601,	0.600901,	1.25188,	2.2033,	0.10015,	0.400601,	0.450676,	0,	0,	0.150225,	0.350526,	0.150225,	0.0500751,	0.300451,	0.300451,	0.2003,	1.45218,	
HepG2,	0.1,	35.9,	1.2,	2.1,	1.15,	0.4,	0.3,	2,	0.15,	0.1,	0.2,	2.15,	0.65,	0.35,	1.4,	0.55,	1,	0.2,	0.1,	0.35,	0.8,	0.55,	0.1,	0.5,	0.3,	0.5,	1.25,	0.25,	0.45,	0.25,	0.6,	0.55,	0.15,	2.95,	0.1,	0.4,	0.65,	0.8,	0.2,	0.9,	0.95,	0.6,	0.15,	1.15,	0.15,	0.6,	0.05,	0.1,	0.75,	1,	0.1,	0.2,	0.4,	2.15,	1.25,	0.85,	0.15,	0.35,	0.15,	0.3,	0.5,	1.2,	0.15,	0.6,	0.1,	1.25,	0,	1.8,	0.6,	0.2,	0.2,	2,	0.15,	0.65,	1.6,	0.6,	0.8,	0.05,	1.6,	0.15,	1.35,	0.25,	0,	0.35,	3.6,	0.65,	1.3,	0.1,	1.7,	0.25,	0.05,	0.1,	0.05,	0.1,	0.35,	0.25,	0.45,	0.45,	0,	0.45,	
NHDF-neo,	0.0475285,	26.2357,	2.61407,	1.09316,	2.75665,	1.23574,	0.237643,	0.712928,	0.142586,	0.237643,	0.237643,	0.475285,	0.427757,	0.3327,	0.712928,	0.570342,	0.522814,	1.94867,	0.760456,	0.3327,	0.807985,	0.903042,	0.522814,	0.998099,	0.3327,	0.475285,	0.285171,	0.380228,	0,	0.0475285,	0.617871,	2.56654,	0.142586,	0.617871,	0.285171,	0.903042,	0.998099,	0.760456,	0.760456,	0.380228,	2.23384,	0.855513,	0.570342,	1.09316,	0,	0.095057,	1.09316,	0.665399,	0.522814,	1.28327,	0.570342,	0.190114,	0.665399,	2.80418,	4.3251,	3.18441,	0.095057,	0.190114,	0,	1.28327,	0.095057,	1.09316,	0.475285,	0.427757,	0.190114,	0.570342,	0.0475285,	1.6635,	1.04563,	0.0475285,	0.190114,	2.85171,	0.237643,	0.095057,	2.6616,	1.28327,	1.04563,	0.190114,	0.570342,	0.95057,	0.285171,	0.285171,	0.0475285,	0.522814,	0.427757,	1.71103,	1.47338,	0.0475285,	0.142586,	0.427757,	0.0475285,	0.095057,	0.095057,	0.190114,	0.237643,	0,	0.190114,	0.190114,	0.190114,	1.52091,	
