cell ,	0,	1,	2,	3,	4,	5,	6,	7,	8,	9,	10,	11,	12,	13,	14,	15,	16,	17,	18,	19,	20,	21,	22,	23,	24,	25,	26,	27,	28,	29,	30,	31,	32,	33,	34,	35,	36,	37,	38,	39,	40,	41,	42,	43,	44,	45,	46,	47,	48,	49,	50,	51,	52,	53,	54,	55,	56,	57,	58,	59,	60,	61,	62,	63,	64,	65,	66,	67,	68,	69,	70,	71,	72,	73,	74,	75,	76,	77,	78,	79,	80,	81,	82,	83,	84,	85,	86,	87,	88,	89,	90,	91,	92,	93,	94,	95,	96,	97,	98,	99,	
AG10803,	0.0557414,	26.8116,	0.445931,	1.44928,	1.05909,	0.111483,	0.445931,	2.22965,	0.39019,	0.0557414,	0.39019,	1.28205,	0.613155,	0.780379,	1.11483,	0.445931,	0.613155,	0.167224,	0.278707,	0,	0.83612,	0.445931,	0.0557414,	0.334448,	0.222965,	1.00334,	1.00334,	0.111483,	1.44928,	0.557414,	0.278707,	1.56076,	0.111483,	4.1806,	0.0557414,	0.111483,	1.05909,	0.668896,	0.222965,	0.445931,	1.39353,	1.05909,	0.111483,	0.39019,	0.334448,	0.445931,	0.111483,	0.0557414,	1.78372,	0.278707,	0,	0.0557414,	0.278707,	2.34114,	1.22631,	0.445931,	0.39019,	0.557414,	0.222965,	0.39019,	1.56076,	0.724638,	0.222965,	0.278707,	0.334448,	1.67224,	0,	0.613155,	0.724638,	0.334448,	1.00334,	0.83612,	0,	0.222965,	2.5641,	0.334448,	0.501672,	0,	3.9019,	0.111483,	1.83946,	0.724638,	0.111483,	0.724638,	7.58082,	1.22631,	2.17391,	0.167224,	1.56076,	0.724638,	0.0557414,	0.278707,	0.111483,	0.111483,	0.222965,	0.501672,	0.0557414,	0.167224,	0,	0.39019,	
AoAF,	0.109589,	28.8219,	0.383562,	1.0411,	0.547945,	0.273973,	0.60274,	2.63014,	0.328767,	0.164384,	0.383562,	1.53425,	0.547945,	0.383562,	1.47945,	0.328767,	0.767123,	0.164384,	0.164384,	0.164384,	0.712329,	0.493151,	0.164384,	0.164384,	0.109589,	0.931507,	1.0411,	0,	2.24658,	0.383562,	0.493151,	1.31507,	0.109589,	4.71233,	0.0547945,	0.0547945,	1.42466,	0.493151,	0.219178,	0.712329,	0.931507,	0.712329,	0.164384,	0.164384,	0.0547945,	0.273973,	0.0547945,	0.0547945,	1.36986,	0.328767,	0,	0.0547945,	0.383562,	1.53425,	0.60274,	0.164384,	0.60274,	0.328767,	0.219178,	0.273973,	1.15068,	0.60274,	0.0547945,	0.219178,	0.0547945,	2.30137,	0,	0.60274,	0.931507,	0.109589,	1.15068,	1.09589,	0,	0.383562,	2.13699,	0.657534,	0.328767,	0,	4.38356,	0.109589,	2.46575,	0.273973,	0,	1.15068,	7.23288,	1.31507,	2.46575,	0.219178,	2.24658,	0.383562,	0.0547945,	0.164384,	0,	0.109589,	0.109589,	0.219178,	0.109589,	0.109589,	0,	0.164384,	
CD20+,	0.109349,	31.1099,	0.984144,	1.31219,	0.601422,	0.109349,	0.328048,	1.20284,	0.492072,	0.109349,	0.492072,	1.64024,	0.984144,	0.382723,	1.69492,	0.601422,	0.437397,	0.0546747,	0.328048,	0.109349,	0.656096,	0.218699,	0.164024,	0.218699,	0.218699,	0.601422,	0.765446,	0.218699,	2.18699,	0.492072,	0.328048,	1.36687,	0.328048,	3.06178,	0.109349,	0.0546747,	0.765446,	0.765446,	0.164024,	0.656096,	0.382723,	0.382723,	0.164024,	0.164024,	0.437397,	1.03882,	0.109349,	0.164024,	1.31219,	0.273373,	0.0546747,	0.164024,	0.328048,	1.09349,	0.710771,	0.710771,	0.656096,	0.382723,	0.601422,	0.328048,	1.14817,	0.82012,	0.382723,	0.328048,	0,	0.710771,	0,	0.765446,	0.218699,	0.328048,	0.656096,	0.82012,	0,	0.109349,	2.02296,	0.437397,	0.656096,	0,	2.51504,	0.656096,	2.07764,	0.492072,	0,	1.25752,	10.3882,	0.765446,	2.13231,	0.218699,	1.09349,	1.14817,	0.0546747,	0.273373,	0.109349,	0.0546747,	0.218699,	0.656096,	0.109349,	0.218699,	0.109349,	0.164024,	
GM06990,	0.113701,	31.2109,	0.909608,	1.81922,	1.81922,	0.227402,	0.795907,	1.02331,	0.170551,	0,	0.284252,	0.341103,	0.625355,	1.19386,	0.284252,	1.08016,	0.852757,	0.625355,	0.170551,	0.397953,	1.25071,	0.568505,	0.454804,	0.625355,	0.0568505,	1.53496,	0.284252,	0.113701,	0.113701,	0,	0.284252,	2.38772,	0.397953,	1.02331,	0.682206,	0.568505,	2.33087,	1.19386,	0.852757,	0.341103,	1.81922,	1.59181,	0.454804,	1.64866,	0,	0.0568505,	0.625355,	0,	0.454804,	1.59181,	0.568505,	0.0568505,	0.511654,	1.13701,	4.32064,	0.682206,	0,	0.341103,	0,	0.511654,	0.0568505,	0.284252,	0.170551,	0.113701,	0.0568505,	0.341103,	0,	0.682206,	2.67197,	0.0568505,	0.568505,	1.87607,	0.284252,	0.170551,	4.20694,	0.795907,	0.739056,	0.0568505,	1.02331,	0.397953,	1.08016,	0,	0,	0.113701,	1.53496,	1.98977,	1.98977,	0.113701,	0.966458,	0.739056,	0.113701,	0.113701,	0.113701,	0.113701,	0,	0,	0.170551,	0.0568505,	0.227402,	0.625355,	
GM12865,	0.0541712,	26.4897,	0.541712,	0.758397,	0.595883,	0.270856,	0.487541,	1.62514,	0.216685,	0.216685,	0.433369,	1.19177,	0.541712,	0.433369,	1.62514,	0.325027,	0.704225,	0.0541712,	0.325027,	0,	0.325027,	0.650054,	0.108342,	0.108342,	0.325027,	0.92091,	1.08342,	0.162514,	1.73348,	0.866739,	0.216685,	1.46262,	0.162514,	4.71289,	0,	0.0541712,	1.13759,	0.812568,	0.162514,	0.541712,	0.704225,	0.812568,	0.162514,	0.325027,	0.433369,	0.92091,	0,	0.108342,	1.51679,	0.379198,	0,	0.270856,	0.433369,	1.51679,	0.92091,	0.379198,	0.270856,	0.433369,	0.270856,	0.162514,	1.35428,	0.595883,	0,	0.379198,	0,	1.62514,	0.108342,	0.487541,	0.487541,	0.541712,	1.02925,	1.08342,	0.0541712,	0.650054,	2.11268,	0.487541,	0.433369,	0.0541712,	4.17118,	0.216685,	2.60022,	0.541712,	0.108342,	0.595883,	11.3759,	0.650054,	2.00433,	0.216685,	1.46262,	0.595883,	0,	0.216685,	0,	0.108342,	0.108342,	0.433369,	0.162514,	0.108342,	0.0541712,	0.325027,	
H7-hESC,	0,	29.7735,	0.701187,	1.07875,	0.593312,	0.485437,	0.539374,	2.1575,	0.269687,	0.161812,	0.539374,	1.61812,	0.21575,	0.539374,	1.77994,	0.161812,	0.809062,	0.269687,	0.107875,	0,	0.647249,	0.593312,	0.0539374,	0.0539374,	0.107875,	1.13269,	1.18662,	0,	0.970874,	0.647249,	0.21575,	1.18662,	0.107875,	3.66775,	0.107875,	0.107875,	1.13269,	0.431499,	0.161812,	0.269687,	1.34844,	1.13269,	0.21575,	0.377562,	0.269687,	0.539374,	0,	0.161812,	1.34844,	0.323625,	0.0539374,	0.21575,	0.323625,	1.07875,	0.970874,	0.539374,	0.593312,	0.539374,	0.323625,	0.0539374,	0.539374,	0.755124,	0.107875,	0.107875,	0,	1.83387,	0.0539374,	0.809062,	0.431499,	0.21575,	0.755124,	1.13269,	0.107875,	0.269687,	2.21143,	0.647249,	0.269687,	0,	4.47681,	0.21575,	2.64293,	0.161812,	0.0539374,	1.13269,	8.84574,	1.24056,	2.04962,	0.161812,	1.45631,	0.755124,	0.0539374,	0.107875,	0.0539374,	0.0539374,	0.269687,	0.377562,	0.161812,	0.161812,	0.107875,	0.21575,	
HA-h,	0.106045,	23.807,	0.742312,	1.32556,	0.424178,	0.159067,	0.4772,	1.27253,	0.742312,	0.0530223,	1.00742,	1.59067,	0.530223,	0.848356,	1.74973,	0.4772,	0.901379,	0.0530223,	0.318134,	0.0530223,	0.954401,	0.583245,	0.106045,	0.0530223,	0.265111,	1.11347,	1.37858,	0.159067,	2.17391,	0.530223,	0.0530223,	1.27253,	0.4772,	2.49205,	0.159067,	0.106045,	1.11347,	0.265111,	0.106045,	0.4772,	0.530223,	0.848356,	0.265111,	0.318134,	0.583245,	1.69671,	0,	0.424178,	1.32556,	0.106045,	0,	0.0530223,	0.848356,	1.96182,	0.954401,	0.424178,	0.68929,	0.68929,	0.901379,	0.424178,	1.48462,	1.06045,	0.424178,	0.530223,	0.106045,	0.901379,	0,	0.4772,	0.68929,	0.424178,	0.636267,	0.901379,	0.212089,	0.212089,	1.48462,	0.795334,	0.530223,	0,	1.85578,	0.530223,	2.12089,	0.795334,	0,	1.27253,	10.2863,	0.68929,	2.70414,	0.371156,	1.11347,	0.742312,	0,	0.530223,	0.106045,	0.159067,	0.371156,	1.32556,	0.212089,	0.106045,	0.0530223,	0.265111,	
HAEpiC,	0.0552181,	30.5356,	0.773054,	1.32523,	0.828272,	0.165654,	0.220872,	1.71176,	0.220872,	0.0552181,	0.220872,	1.38045,	0.552181,	0.662617,	2.26394,	0.386527,	0.828272,	0.0552181,	0.276091,	0.0552181,	0.441745,	0.441745,	0.110436,	0.165654,	0.220872,	0.607399,	1.2148,	0.0552181,	0.88349,	0.441745,	0.386527,	1.38045,	0.0552181,	4.14136,	0.0552181,	0.165654,	1.15958,	0.331309,	0.441745,	0.386527,	1.32523,	0.993926,	0.220872,	0.110436,	0.276091,	0.441745,	0,	0.0552181,	1.76698,	0,	0,	0.0552181,	0.110436,	1.76698,	1.10436,	0.441745,	0.331309,	0.717835,	0.0552181,	0.496963,	0.662617,	0.993926,	0.276091,	0.165654,	0,	1.71176,	0,	0.773054,	0.441745,	0.386527,	0.773054,	1.15958,	0.0552181,	0.552181,	1.98785,	0.662617,	0.220872,	0,	3.25787,	0.386527,	2.4296,	0.276091,	0.0552181,	1.10436,	7.28879,	0.993926,	3.037,	0.110436,	1.87742,	0.88349,	0,	0.220872,	0.0552181,	0.0552181,	0.165654,	0.607399,	0.165654,	0.220872,	0.0552181,	0,	
HCF,	0.0540833,	25.6896,	0.648999,	1.298,	0.3245,	0.0540833,	0.540833,	2.37966,	0.3245,	0.0540833,	0.3245,	2.21741,	0.3245,	0.865333,	1.24392,	0.378583,	0.594916,	0,	0.270416,	0.0540833,	0.703083,	0.757166,	0.108167,	0.378583,	0.378583,	0.540833,	1.13575,	0.16225,	1.6225,	0.378583,	0.216333,	1.13575,	0.216333,	4.81341,	0.0540833,	0.16225,	1.02758,	0.432666,	0,	0.378583,	0.919416,	0.973499,	0.108167,	0.540833,	0.432666,	1.13575,	0,	0.108167,	1.02758,	0.0540833,	0,	0,	0.432666,	1.51433,	0.811249,	0.378583,	0.811249,	0.48675,	0.3245,	0.108167,	0.973499,	0.919416,	0.16225,	0.108167,	0.0540833,	2.75825,	0,	0.540833,	0.703083,	0.432666,	1.02758,	0.919416,	0.0540833,	0.378583,	2.65008,	0.432666,	0.378583,	0,	3.5695,	0.3245,	2.86641,	0.865333,	0,	0.648999,	10.0595,	0.648999,	2.37966,	0.108167,	1.78475,	0.648999,	0.0540833,	0.16225,	0.108167,	0.0540833,	0,	0.216333,	0.216333,	0.0540833,	0.108167,	0.216333,	
HCM,	0.218341,	28.4934,	0.764192,	0.927948,	0.818777,	0.545852,	0.327511,	1.8559,	0.436681,	0.163755,	0.327511,	1.63755,	0.545852,	0.600437,	1.31004,	0.545852,	1.14629,	0,	0.272926,	0,	0.163755,	0.709607,	0.163755,	0.10917,	0.272926,	0.927948,	0.982533,	0.163755,	1.41921,	0.927948,	0.163755,	1.0917,	0.218341,	3.93013,	0.0545852,	0.163755,	0.873362,	0.327511,	0.218341,	0.382096,	0.982533,	0.873362,	0.10917,	0.491266,	0.709607,	0.491266,	0.0545852,	0,	1.4738,	0.10917,	0.0545852,	0.163755,	0.491266,	1.36463,	0.927948,	0.545852,	0.436681,	0.655022,	0.272926,	0,	1.20087,	0.436681,	0.272926,	0.10917,	0.10917,	1.74672,	0,	0.327511,	0.600437,	0.436681,	1.0917,	1.14629,	0.0545852,	0.218341,	1.91048,	0.545852,	0.327511,	0.0545852,	3.22052,	0.163755,	3.11135,	0.600437,	0,	0.818777,	9.66157,	0.873362,	2.29258,	0.10917,	1.69214,	0.655022,	0,	0.272926,	0.10917,	0.10917,	0.163755,	0.545852,	0.272926,	0.163755,	0,	0.163755,	
