cell ,	0,	1,	2,	3,	4,	5,	6,	7,	8,	9,	10,	11,	12,	13,	14,	15,	16,	17,	18,	19,	20,	21,	22,	23,	24,	25,	26,	27,	28,	29,	30,	31,	32,	33,	34,	35,	36,	37,	38,	39,	40,	41,	42,	43,	44,	45,	46,	47,	48,	49,	50,	51,	52,	53,	54,	55,	56,	57,	58,	59,	60,	61,	62,	63,	64,	65,	66,	67,	68,	69,	70,	71,	72,	73,	74,	75,	76,	77,	78,	79,	80,	81,	82,	83,	84,	85,	86,	87,	88,	89,	90,	91,	92,	93,	94,	95,	96,	97,	98,	99,	
AG10803,	0.133422,	24.4163,	3.13542,	2.13476,	3.26885,	0.400267,	0.466978,	1.33422,	0.333556,	0,	0.466978,	1.06738,	0.733823,	0.466978,	0.933956,	0.867245,	0.533689,	0.6004,	0.800534,	0.466978,	1.13409,	0.400267,	0.133422,	0.800534,	0.133422,	0.667111,	0.400267,	0.400267,	0.6004,	0.200133,	0.667111,	1.06738,	0.466978,	1.8012,	0.533689,	0.200133,	1.60107,	1.60107,	1.26751,	0.800534,	1.06738,	0.667111,	0.200133,	0.933956,	0.0667111,	0.200133,	0.933956,	0.200133,	1.40093,	0.800534,	0.266845,	0.333556,	0.200133,	2.80187,	1.46765,	1.60107,	0.200133,	0.400267,	0.0667111,	0.400267,	0.266845,	1.26751,	0.200133,	0.133422,	0.200133,	0.867245,	0.0667111,	0.667111,	1.00067,	0.0667111,	0.867245,	2.00133,	0.133422,	0.466978,	2.86858,	1.46765,	0.800534,	0.0667111,	2.60173,	0.733823,	1.26751,	0.466978,	0,	0.400267,	1.40093,	1.33422,	2.20147,	0.333556,	0.266845,	0.333556,	0.133422,	0.133422,	0.333556,	0.0667111,	0.133422,	0.0667111,	0.400267,	0.200133,	0.133422,	2.00133,	
AoAF,	0,	25.0329,	4.07359,	1.44547,	2.56242,	0.591327,	0.065703,	2.1025,	0.394218,	0,	0.788436,	1.11695,	1.05125,	0.459921,	0.919842,	0.722733,	0.788436,	0.788436,	1.11695,	0.459921,	1.44547,	0.328515,	0,	0.328515,	0.131406,	0.394218,	1.11695,	0.525624,	0.328515,	0.065703,	0.788436,	0.985545,	0.394218,	1.70828,	0.591327,	0.525624,	2.29961,	0.985545,	1.57687,	0.459921,	0.919842,	0.591327,	0.262812,	0.854139,	0,	0.197109,	0.394218,	0,	0.854139,	0.65703,	0.197109,	0.197109,	0.065703,	2.69382,	1.18265,	1.44547,	0.394218,	0.459921,	0.065703,	0.197109,	0.525624,	1.24836,	0.394218,	0.328515,	0,	0.591327,	0.065703,	1.05125,	0.985545,	0.065703,	0.722733,	2.43101,	0.065703,	0.197109,	2.95664,	1.18265,	0.985545,	0,	2.2339,	1.11695,	1.44547,	0.459921,	0,	0.525624,	0.788436,	1.90539,	2.29961,	0.197109,	0.328515,	0.262812,	0,	0.328515,	0.197109,	0.328515,	0.065703,	0,	0.262812,	0.197109,	0.262812,	1.90539,	
CD20+,	0.254615,	19.5417,	2.92807,	2.6098,	1.71865,	0.190961,	0.254615,	1.655,	0.190961,	0.0636537,	0.572884,	1.14577,	0.572884,	0.763845,	1.14577,	0.954806,	0.50923,	0.572884,	0.700191,	0.954806,	1.01846,	0.572884,	0.763845,	0.827498,	0.254615,	0.254615,	0.763845,	0.700191,	0.318269,	0.190961,	0.318269,	1.08211,	0.700191,	1.655,	1.33673,	0.381922,	1.84596,	1.20942,	1.655,	0.445576,	1.59134,	0.954806,	0.381922,	1.27307,	0.318269,	0.0636537,	0.572884,	0.254615,	1.20942,	1.27307,	0.572884,	0.50923,	0.445576,	1.52769,	2.92807,	1.20942,	0.190961,	0.636537,	0.190961,	0.445576,	0.445576,	1.01846,	0.190961,	0.445576,	0.254615,	0.827498,	0.318269,	0.891152,	1.01846,	0.636537,	0.891152,	3.05538,	0.190961,	0.127307,	2.80076,	1.14577,	1.14577,	0,	1.52769,	0.891152,	0.827498,	0.700191,	0.127307,	0.318269,	2.16423,	1.20942,	1.08211,	0.318269,	0.318269,	0.572884,	0.318269,	0.254615,	0.572884,	0.381922,	0.0636537,	0.254615,	0.254615,	0.445576,	0.445576,	1.40038,	
GM06990,	0.0700771,	21.5837,	2.24247,	2.80308,	1.68185,	1.12123,	0.49054,	1.61177,	0,	0.280308,	0.210231,	2.38262,	2.59285,	0.350385,	2.17239,	0.840925,	1.61177,	0.350385,	0.840925,	0.420463,	1.26139,	0.911002,	0.350385,	0.700771,	0.210231,	1.05116,	0.140154,	0.210231,	0.140154,	0.280308,	0.630694,	1.47162,	0.770848,	2.52277,	0.350385,	0.49054,	0.911002,	1.96216,	0.700771,	0.981079,	1.40154,	1.5417,	0.210231,	0.280308,	0.210231,	0.350385,	0.140154,	0.210231,	1.12123,	0.840925,	0.0700771,	0.280308,	0.840925,	2.94324,	1.822,	2.66293,	0.350385,	0.280308,	0.210231,	0.840925,	0.140154,	1.33146,	0.350385,	0.280308,	0.0700771,	0.911002,	0,	1.61177,	1.47162,	0.0700771,	0.210231,	1.822,	0.210231,	0.140154,	2.80308,	0.420463,	1.89208,	0.0700771,	1.26139,	0.140154,	0.350385,	0.210231,	0,	1.68185,	1.12123,	0.700771,	1.75193,	0,	0.350385,	0.420463,	0,	0.420463,	0,	0.140154,	0,	0.210231,	0.0700771,	0.0700771,	0.350385,	0.630694,	
GM12865,	0,	22.9445,	2.67686,	1.91205,	2.80433,	0.446144,	0.446144,	1.21096,	0.191205,	0.254939,	0.637349,	1.33843,	0.956023,	0.509879,	0.828553,	0.509879,	1.08349,	0.637349,	1.08349,	0.573614,	1.33843,	0.318674,	0.382409,	0.637349,	0.12747,	0.701083,	0.573614,	0.191205,	0.509879,	0.12747,	0.509879,	1.59337,	0.382409,	2.9318,	0.892288,	0.382409,	1.59337,	1.2747,	1.72084,	0.828553,	1.59337,	1.08349,	0.573614,	0.573614,	0.12747,	0.0637349,	0.701083,	0.0637349,	1.2747,	0.764818,	0.254939,	0.254939,	0.254939,	1.97578,	1.33843,	1.78458,	0.12747,	0.446144,	0.12747,	0.509879,	0.382409,	0.828553,	0.509879,	0.828553,	0,	0.701083,	0.12747,	1.14723,	1.40217,	0.12747,	0.573614,	2.7406,	0.0637349,	0.318674,	2.35819,	1.33843,	1.08349,	0,	2.23072,	0.701083,	1.21096,	0.382409,	0.191205,	0.318674,	1.40217,	1.01976,	1.65711,	0.12747,	0.446144,	0.0637349,	0.0637349,	0.12747,	0.12747,	0.254939,	0.12747,	0.0637349,	0.446144,	0.318674,	0.191205,	2.03952,	
H7-hESC,	0.0645161,	24.7097,	4.06452,	2,	2.64516,	0.516129,	0.129032,	2.3871,	0.193548,	0.129032,	0.516129,	0.774194,	0.451613,	0.451613,	0.774194,	1.09677,	1.35484,	0.83871,	0.645161,	0.516129,	1.09677,	0.258065,	0.451613,	0.645161,	0.193548,	0.580645,	0.774194,	0.322581,	0.258065,	0.0645161,	0.451613,	1.54839,	0.258065,	2.51613,	0.258065,	0.258065,	1.16129,	2.06452,	1.22581,	0.451613,	0.774194,	0.967742,	0.322581,	0.129032,	0.0645161,	0.129032,	0.129032,	0.258065,	1.16129,	0.645161,	0.129032,	0.516129,	0.193548,	3.35484,	1.87097,	2,	0.0645161,	0.451613,	0.129032,	0.451613,	0.387097,	0.903226,	0.193548,	0.516129,	0,	0.774194,	0,	1.09677,	1.22581,	0.0645161,	0.516129,	2.58065,	0.129032,	0.451613,	3.6129,	1.54839,	0.709677,	0,	1.16129,	0.967742,	0.967742,	0.580645,	0.0645161,	0.451613,	1.35484,	0.645161,	2.06452,	0.129032,	0.709677,	0.129032,	0,	0.129032,	0.322581,	0.0645161,	0.193548,	0.0645161,	0.451613,	0.451613,	0,	1.54839,	
HA-h,	0.243457,	15.9464,	3.65186,	2.37371,	1.82593,	0.730371,	0.304321,	1.64334,	0.304321,	0.182593,	0.669507,	0.791236,	0.547778,	0.973828,	2.06939,	0.730371,	0.486914,	0.730371,	1.03469,	0.912964,	1.03469,	0.42605,	0.486914,	0.608643,	0.243457,	0.669507,	0.486914,	0.608643,	0.365186,	0.182593,	0.730371,	1.33901,	0.669507,	1.82593,	1.46074,	0.365186,	1.03469,	1.15642,	1.82593,	0.365186,	1.27815,	0.730371,	0.547778,	1.09556,	0.304321,	0.0608643,	1.15642,	0.365186,	1.15642,	0.547778,	0.243457,	0.365186,	0.669507,	1.82593,	2.37371,	1.27815,	0.0608643,	0.912964,	0.243457,	0.669507,	0.669507,	1.46074,	0.42605,	0.973828,	0.243457,	0.8521,	0.42605,	1.03469,	1.15642,	0.42605,	0.669507,	2.13025,	0.304321,	0.669507,	3.04321,	1.39988,	0.912964,	0.121729,	1.46074,	0.730371,	1.82593,	0.304321,	0.121729,	0.486914,	2.49544,	0.8521,	1.46074,	0.182593,	0.669507,	0.304321,	0.243457,	0.182593,	0.365186,	0.182593,	0.365186,	0.365186,	0.304321,	0.243457,	0.42605,	1.58247,	
HAEpiC,	0.135318,	24.9662,	3.04466,	1.55616,	1.82679,	0.405954,	0.270636,	2.23275,	0.067659,	0.067659,	1.01488,	0.879567,	0.473613,	0.473613,	1.01488,	0.879567,	0.744249,	0.811908,	0.879567,	0.473613,	1.08254,	0.608931,	0.067659,	1.21786,	0.202977,	0.405954,	0.879567,	0.541272,	0.473613,	0.067659,	0.338295,	1.42084,	0.135318,	1.55616,	0.473613,	0.405954,	1.82679,	2.23275,	1.69147,	0.405954,	1.4885,	0.541272,	0.270636,	1.1502,	0,	0,	0.473613,	0.202977,	0.879567,	0.744249,	0.135318,	0.202977,	0.135318,	2.23275,	1.75913,	1.28552,	0.338295,	0.338295,	0.135318,	0.67659,	0.405954,	1.1502,	0.405954,	0.608931,	0,	0.338295,	0,	0.879567,	1.08254,	0,	0.744249,	2.6387,	0.202977,	0.135318,	2.84168,	1.1502,	0.811908,	0.067659,	2.77402,	0.744249,	1.69147,	0.608931,	0.067659,	0.473613,	1.28552,	1.62382,	1.75913,	0.067659,	0.338295,	0.67659,	0.067659,	0.202977,	0.067659,	0.338295,	0,	0.135318,	0.135318,	0.270636,	0.202977,	1.75913,	
HCF,	0,	23.8491,	3.45269,	2.10997,	1.91816,	0.383632,	0.127877,	2.17391,	0.127877,	0,	0.44757,	1.08696,	0.511509,	0.703325,	0.575448,	0.703325,	0.703325,	0.895141,	0.895141,	0.767263,	1.34271,	0.575448,	0.319693,	0.511509,	0.255754,	0.383632,	0.255754,	0.191816,	0.255754,	0.255754,	0.959079,	1.85422,	0.191816,	2.74936,	0.319693,	0.255754,	1.85422,	1.6624,	1.91816,	0.319693,	0.831202,	0.575448,	0.44757,	0.959079,	0.0639386,	0,	0.44757,	0.0639386,	1.1509,	0.383632,	0.319693,	0.255754,	0.831202,	2.55754,	2.23785,	1.85422,	0.127877,	0.319693,	0.191816,	0.639386,	0.44757,	1.1509,	0.255754,	0.511509,	0.0639386,	0.383632,	0.127877,	0.831202,	0.831202,	0.191816,	0.639386,	2.30179,	0.0639386,	0.383632,	2.55754,	1.72634,	0.639386,	0.127877,	1.79028,	0.575448,	1.79028,	0.127877,	0,	0.639386,	1.40665,	1.47059,	1.6624,	0.319693,	0.703325,	0.255754,	0.127877,	0.127877,	0.319693,	0.255754,	0.0639386,	0,	0.44757,	0.255754,	0.383632,	1.91816,	
