cell ,	0,	1,	2,	3,	4,	5,	6,	7,	8,	9,	10,	11,	12,	13,	14,	15,	16,	17,	18,	19,	20,	21,	22,	23,	24,	25,	26,	27,	28,	29,	30,	31,	32,	33,	34,	35,	36,	37,	38,	39,	40,	41,	42,	43,	44,	45,	46,	47,	48,	49,	50,	51,	52,	53,	54,	55,	56,	57,	58,	59,	60,	61,	62,	63,	64,	65,	66,	67,	68,	69,	70,	71,	72,	73,	74,	75,	76,	77,	78,	79,	80,	81,	82,	83,	84,	85,	86,	87,	88,	89,	90,	91,	92,	93,	94,	95,	96,	97,	98,	99,	
AG10803,	0.3663,	26.0073,	1.73993,	2.5641,	3.57143,	0.274725,	0,	0.641026,	0.457875,	1.00733,	0.0915751,	1.55678,	1.00733,	0.549451,	0.457875,	0.915751,	1.64835,	0.274725,	1.00733,	0.824176,	0.824176,	0.18315,	1.0989,	1.92308,	0.274725,	0.457875,	0.549451,	0.18315,	0.0915751,	0.274725,	0.274725,	0.457875,	0.915751,	2.47253,	0.549451,	0.274725,	0.274725,	1.92308,	0.457875,	1.55678,	0.915751,	0.18315,	0.0915751,	0.549451,	0.18315,	0.18315,	0.18315,	0.274725,	1.19048,	0.3663,	0,	0.274725,	0.732601,	3.20513,	1.19048,	1.4652,	0.0915751,	0.274725,	0.274725,	0.457875,	0.732601,	1.00733,	1.64835,	0.549451,	0.18315,	0.549451,	0,	2.9304,	0.824176,	0.274725,	0.824176,	1.55678,	0.0915751,	0.824176,	1.64835,	0.824176,	3.02198,	0.0915751,	1.00733,	0,	0.915751,	0.0915751,	0.18315,	0.457875,	0.732601,	0.915751,	1.73993,	0,	0.732601,	0.457875,	0.274725,	0.274725,	0.457875,	0.18315,	0.274725,	0.274725,	0.18315,	0,	0.274725,	0.915751,	
AoAF,	0.168067,	21.0924,	2.26891,	3.27731,	3.10924,	0.588235,	0.252101,	0.588235,	0.420168,	0.420168,	0.0840336,	1.42857,	2.26891,	0.0840336,	0.756303,	0.588235,	2.01681,	0.0840336,	0.504202,	0.588235,	0.840336,	0.336134,	1.51261,	1.51261,	0.252101,	0.504202,	0.252101,	0.672269,	0,	0.504202,	0.0840336,	0.336134,	0.756303,	2.18487,	0.92437,	0.168067,	0.504202,	2.77311,	1.59664,	1.59664,	0.336134,	0.420168,	0.252101,	0.420168,	0.0840336,	0.420168,	0.252101,	0.588235,	1.09244,	0.588235,	0.168067,	0.0840336,	0.252101,	4.36975,	1.84874,	1.0084,	0.168067,	0.168067,	0,	0.420168,	0.336134,	1.76471,	1.34454,	0.92437,	0.0840336,	1.09244,	0.0840336,	3.44538,	0.504202,	0.0840336,	0.92437,	1.0084,	0.0840336,	0.588235,	0.672269,	0.756303,	3.61345,	0.0840336,	0.672269,	0.756303,	0.504202,	0.336134,	0.168067,	1.17647,	0.756303,	1.0084,	1.34454,	0,	1.17647,	0.336134,	0,	0.336134,	0.336134,	0.252101,	0,	0.0840336,	0.672269,	0.168067,	0.756303,	0.92437,	
CD20+,	0.181653,	25.8856,	1.54405,	2.54314,	2.54314,	0.544959,	0.27248,	0.635786,	0.544959,	0.817439,	0.0908265,	2.08901,	1.99818,	0.454133,	0.635786,	1.18074,	0.908265,	0.0908265,	0.908265,	0.544959,	0.999092,	0.363306,	0.454133,	2.54314,	0.181653,	0.363306,	0.363306,	0.454133,	0.0908265,	0.27248,	0,	0.363306,	0.454133,	2.17984,	1.08992,	0.27248,	0.635786,	2.99728,	0.454133,	1.99818,	0.999092,	0.544959,	0,	0.817439,	0.0908265,	0.0908265,	0,	0.0908265,	0.817439,	1.08992,	0.0908265,	0.181653,	0.0908265,	1.81653,	1.7257,	1.45322,	0.181653,	0.454133,	0.27248,	0.817439,	0.454133,	1.08992,	1.18074,	0.726612,	0.0908265,	0.726612,	0,	0.999092,	0.999092,	0.27248,	0.27248,	1.3624,	0.181653,	1.08992,	2.08901,	0.544959,	3.99637,	0,	1.45322,	0.0908265,	0.635786,	0.544959,	0.181653,	0.27248,	0.908265,	1.27157,	1.45322,	0.0908265,	0.454133,	0.27248,	0.27248,	0.0908265,	0.27248,	0.27248,	0.181653,	0.27248,	0.363306,	0.181653,	0.726612,	1.08992,	
GM06990,	0.229621,	28.3582,	3.90356,	2.75545,	1.72216,	0.459242,	0.229621,	1.49254,	0.229621,	0.459242,	0.114811,	2.41102,	2.64064,	0,	0.803674,	0.574053,	1.26292,	0.229621,	0.229621,	1.0333,	1.26292,	0.803674,	0.574053,	2.75545,	0,	0.459242,	0.114811,	0.574053,	0.574053,	0.459242,	0.344432,	0.114811,	0.918484,	1.26292,	0.459242,	0.114811,	0.344432,	1.49254,	0.688863,	1.37773,	0.229621,	0.803674,	0.229621,	1.14811,	0,	0.114811,	0.114811,	0.114811,	1.37773,	0.459242,	0,	0.229621,	0.688863,	2.98507,	0.803674,	0.574053,	0,	0.344432,	0.229621,	1.0333,	0,	0.344432,	0.344432,	0.918484,	0,	0.344432,	0.229621,	1.26292,	1.37773,	0.344432,	0.229621,	1.49254,	0.114811,	0.918484,	2.1814,	0.229621,	3.78875,	0.229621,	1.26292,	0.229621,	0.229621,	0.229621,	0,	1.0333,	0.574053,	1.49254,	1.37773,	0.114811,	0.114811,	0.114811,	0.114811,	0.229621,	0.574053,	0.229621,	0.229621,	0,	0.114811,	0,	0.688863,	1.37773,	
GM12865,	0.0897666,	27.289,	2.78276,	2.78276,	2.60323,	0.359066,	0.179533,	0.807899,	0.0897666,	0.2693,	0.2693,	1.6158,	1.6158,	0.448833,	0.897666,	0.987433,	1.43627,	0.179533,	0.897666,	0.807899,	0.628366,	0.179533,	1.3465,	2.24417,	0,	0.448833,	0.179533,	0.5386,	0,	0.359066,	0,	0.359066,	0.628366,	2.9623,	1.16697,	0.0897666,	0.359066,	2.693,	0.718133,	1.6158,	0.807899,	0.179533,	0.448833,	0.359066,	0,	0.179533,	0.179533,	0.179533,	1.16697,	0.807899,	0,	0.179533,	0.5386,	3.32136,	1.16697,	1.25673,	0,	0.179533,	0.179533,	0.897666,	0.448833,	0.448833,	1.0772,	0.807899,	0,	1.6158,	0,	1.6158,	0.987433,	0.359066,	0.628366,	1.25673,	0.0897666,	0.448833,	2.1544,	0.2693,	3.2316,	0.0897666,	1.6158,	0.2693,	0.0897666,	0,	0.0897666,	0.359066,	0.359066,	0.897666,	1.6158,	0.0897666,	0.897666,	0.359066,	0,	0.448833,	0.179533,	0.718133,	0.179533,	0,	0.2693,	0,	0.359066,	0.718133,	
H7-hESC,	0,	24.7027,	3.01921,	3.1107,	2.47027,	0.365965,	0.182983,	0.274474,	0.365965,	0.274474,	0.182983,	2.01281,	1.82983,	0.182983,	0.914913,	0.640439,	1.64684,	0.0914913,	0.640439,	0.640439,	0.640439,	0.182983,	0.640439,	1.55535,	0,	0.914913,	0.457457,	0.457457,	0,	0.548948,	0.640439,	0.457457,	1.0979,	2.92772,	1.46386,	0.0914913,	0.365965,	2.47027,	0.914913,	2.92772,	0.0914913,	0.365965,	0.182983,	0.365965,	0.365965,	0.274474,	0,	0.182983,	0.640439,	0.823422,	0.182983,	0.0914913,	0.548948,	3.75114,	1.0979,	1.0979,	0.0914913,	0.274474,	0,	0.73193,	0.365965,	1.28088,	1.73833,	0.640439,	0.0914913,	1.0979,	0,	2.47027,	0.274474,	0.274474,	0.823422,	1.73833,	0,	0.457457,	0.914913,	0.457457,	3.38518,	0.0914913,	0.640439,	0.365965,	0.73193,	0.0914913,	0.182983,	0.274474,	1.28088,	1.28088,	1.28088,	0,	0.548948,	0.457457,	0.182983,	0.457457,	0.457457,	0.365965,	0,	0.0914913,	0.274474,	0,	0.457457,	1.0064,	
HA-h,	0.396511,	19.7462,	2.06186,	2.77557,	2.61697,	0.713719,	0.158604,	1.18953,	0.396511,	0.475813,	0.396511,	1.42744,	1.26883,	0.634417,	1.18953,	0.634417,	2.06186,	0,	0.634417,	0.555115,	1.42744,	0.237906,	0.475813,	1.58604,	0.0793021,	0.555115,	0.555115,	0.317209,	0.237906,	0.396511,	0.396511,	0.793021,	1.03093,	2.53767,	1.34814,	0.555115,	0.634417,	2.37906,	1.11023,	1.03093,	1.18953,	0.713719,	0.237906,	1.03093,	0.237906,	0.237906,	0.396511,	0.237906,	0.872324,	1.18953,	0.0793021,	0.158604,	0.555115,	2.61697,	2.06186,	1.66535,	0,	0.317209,	0.237906,	0.475813,	0.475813,	1.26883,	0.872324,	0.555115,	0.0793021,	1.18953,	0.0793021,	2.45837,	0.872324,	0.317209,	0.634417,	1.03093,	0.317209,	0.793021,	1.34814,	0.713719,	3.40999,	0.158604,	1.34814,	0.158604,	1.03093,	0.396511,	0.317209,	0.713719,	0.951626,	0.713719,	1.26883,	0,	0.793021,	0.158604,	0.396511,	0.396511,	0.713719,	0.475813,	0.158604,	0.0793021,	0.396511,	0.158604,	0.237906,	1.03093,	
HAEpiC,	0.0903342,	28.0036,	2.25836,	3.79404,	2.80036,	0.451671,	0.0903342,	0.451671,	0.180668,	0.63234,	0.0903342,	1.80668,	1.35501,	0.0903342,	0.63234,	0.993677,	1.53568,	0.180668,	1.35501,	1.08401,	0.903342,	0.180668,	1.35501,	2.34869,	0.0903342,	0.180668,	0.271003,	0.271003,	0.180668,	0.271003,	0.271003,	0.63234,	0.722674,	1.98735,	0.542005,	0.271003,	0.180668,	1.80668,	0.542005,	1.26468,	0.993677,	0.361337,	0,	0.451671,	0.271003,	0,	0.451671,	0.0903342,	0.542005,	0.903342,	0.180668,	0,	0.361337,	2.34869,	1.44535,	1.89702,	0,	0.0903342,	0.271003,	0.542005,	0.542005,	1.71635,	0.722674,	0.542005,	0,	0.722674,	0,	2.52936,	0.361337,	0.271003,	0.813008,	1.80668,	0,	0.63234,	1.71635,	0.271003,	2.43902,	0,	1.26468,	0.180668,	0.361337,	0.271003,	0.813008,	0.722674,	0.993677,	1.08401,	1.35501,	0.0903342,	1.08401,	0.542005,	0,	0.180668,	0.180668,	0.451671,	0,	0.0903342,	0.361337,	0.0903342,	0.361337,	1.08401,	
HCF,	0.25663,	23.9521,	2.22412,	2.5663,	3.59281,	0.25663,	0.342173,	0.427716,	0.427716,	0.171086,	0.171086,	1.79641,	2.39521,	0.342173,	0.598802,	0.342173,	1.71086,	0.0855432,	1.02652,	0.342173,	0.513259,	0.342173,	1.11206,	0.940975,	0.171086,	0.513259,	0.513259,	0.513259,	0,	0.25663,	0.513259,	0.513259,	0.25663,	1.96749,	0.513259,	0.427716,	0.684346,	2.13858,	0.598802,	1.62532,	0.940975,	0.427716,	0.171086,	1.02652,	0.0855432,	0.342173,	0.0855432,	0.342173,	0.940975,	1.53978,	0.171086,	0.171086,	0.25663,	3.59281,	1.96749,	1.45423,	0,	0.171086,	0.0855432,	0.769889,	0.342173,	1.62532,	1.62532,	1.02652,	0,	1.02652,	0,	2.73738,	0.342173,	0.342173,	0.598802,	1.02652,	0.171086,	0.598802,	1.11206,	0.684346,	2.82293,	0.25663,	1.28315,	0.427716,	0.940975,	0.25663,	0.342173,	0.598802,	1.1976,	1.36869,	1.36869,	0,	1.02652,	0.25663,	0,	0.598802,	0.342173,	0.171086,	0,	0.342173,	0.25663,	0.342173,	0.342173,	0.513259,	
HCM,	0.0860585,	24.2685,	2.40964,	2.40964,	2.32358,	0.344234,	0.258176,	0.516351,	0.344234,	0.430293,	0.0860585,	1.37694,	1.80723,	0.516351,	1.0327,	0.774527,	2.15146,	0.0860585,	1.11876,	0.258176,	0.860585,	0.60241,	1.11876,	2.23752,	0.0860585,	0.258176,	0.172117,	0.172117,	0.0860585,	0.172117,	0.172117,	0.516351,	0.430293,	3.01205,	0.516351,	0.0860585,	0.688468,	2.32358,	1.29088,	2.23752,	0.946644,	0.258176,	0,	1.11876,	0,	0.344234,	0.172117,	0.172117,	1.0327,	1.0327,	0.0860585,	0,	0.172117,	3.27022,	2.23752,	1.20482,	0.172117,	0.172117,	0.0860585,	0.430293,	0.258176,	2.15146,	1.11876,	0.688468,	0,	0.860585,	0,	2.66781,	1.37694,	0.344234,	0.774527,	1.29088,	0.0860585,	0.60241,	1.11876,	0.516351,	2.75387,	0.258176,	1.29088,	0.172117,	0.860585,	0.344234,	0.60241,	0.430293,	1.0327,	0.688468,	1.72117,	0,	0.774527,	0.258176,	0.172117,	0.258176,	0.344234,	0.430293,	0,	0,	0.430293,	0.0860585,	0.258176,	0.430293,	
