cell ,	0,	1,	2,	3,	4,	5,	6,	7,	8,	9,	10,	11,	12,	13,	14,	15,	16,	17,	18,	19,	20,	21,	22,	23,	24,	25,	26,	27,	28,	29,	30,	31,	32,	33,	34,	35,	36,	37,	38,	39,	40,	41,	42,	43,	44,	45,	46,	47,	48,	49,	50,	51,	52,	53,	54,	55,	56,	57,	58,	59,	60,	61,	62,	63,	64,	65,	66,	67,	68,	69,	70,	71,	72,	73,	74,	75,	76,	77,	78,	79,	80,	81,	82,	83,	84,	85,	86,	87,	88,	89,	90,	91,	92,	93,	94,	95,	96,	97,	98,	99,	
AG10803,	0.593336,	21.3145,	3.51438,	2.05386,	2.19078,	0.136924,	0.502054,	0.0912825,	0.228206,	0.273848,	0.136924,	0.912825,	2.3277,	0.273848,	0.775901,	1.18667,	0.593336,	0.593336,	0.502054,	1.59744,	0.0456413,	0.410771,	0.73026,	2.64719,	0.73026,	0.228206,	0.273848,	0.912825,	0.410771,	0.182565,	0.0912825,	0.182565,	0.410771,	2.19078,	0.867184,	0.228206,	0.273848,	1.18667,	0.73026,	2.28206,	0.502054,	0.958466,	0.0456413,	0.684619,	0.0912825,	0.182565,	0.593336,	0.182565,	1.23231,	0.502054,	0,	0.273848,	0.456413,	0.638978,	1.78001,	0.958466,	0.502054,	0.0456413,	0.136924,	0.228206,	1.46052,	1.09539,	0.319489,	0.182565,	0.0456413,	0.73026,	0.319489,	1.09539,	0.867184,	0.502054,	0.456413,	2.37335,	0.0456413,	1.27796,	5.47695,	0.0456413,	2.28206,	0.136924,	3.05796,	0.410771,	0.73026,	1.18667,	0.273848,	0.228206,	0.638978,	0.912825,	0.775901,	0.0912825,	0.273848,	0.182565,	0.0456413,	0,	2.46463,	1.73437,	0.319489,	0.0912825,	0.182565,	0.136924,	0.0912825,	2.64719,	
AoAF,	0.463744,	19.0978,	3.07757,	2.02361,	2.61383,	0.168634,	0.674536,	0.210793,	0.210793,	0.337268,	0.379427,	1.18044,	2.44519,	0.29511,	0.548061,	1.09612,	0.590219,	0.632378,	0.463744,	1.26476,	0.379427,	0.421585,	0.548061,	2.9511,	1.18044,	0.337268,	0.168634,	0.927487,	0.29511,	0.590219,	0.210793,	0.29511,	0.379427,	2.02361,	1.43339,	0.210793,	0.590219,	1.13828,	0.548061,	1.47555,	0.674536,	1.26476,	0.0421585,	0.590219,	0,	0.084317,	0.674536,	0.168634,	1.64418,	0.885329,	0.126476,	0.252951,	0.29511,	0.885329,	1.51771,	0.885329,	0.421585,	0.252951,	0.379427,	0.252951,	1.34907,	0.463744,	0.084317,	0.252951,	0,	0.674536,	0.210793,	1.39123,	0.632378,	0.632378,	0.379427,	2.19224,	0.126476,	0.969646,	6.49241,	0.084317,	2.06577,	0,	2.90894,	0.337268,	0.758853,	1.09612,	0.168634,	0.168634,	1.34907,	0.758853,	1.0118,	0.0421585,	0.210793,	0.885329,	0.084317,	0.126476,	2.65599,	1.55987,	0.210793,	0.210793,	0.210793,	0.463744,	0.084317,	1.51771,	
CD20+,	1.0865,	15.2946,	3.42666,	1.50439,	1.92227,	0.167154,	0.459674,	0.417886,	0.167154,	0.417886,	0.167154,	0.87756,	2.88341,	0.250731,	0.710405,	0.376097,	0.793983,	0.29252,	0.58504,	1.25366,	0.167154,	0.501463,	0.752194,	2.88341,	2.79983,	0.250731,	0.125366,	1.4626,	1.0865,	0.710405,	0.0417885,	0.0417885,	0.668617,	1.75512,	1.21187,	0.125366,	0.29252,	0.961137,	0.501463,	3.05056,	0.752194,	1.04471,	0.0835771,	0.668617,	0,	0.167154,	0.459674,	0.125366,	1.42081,	0.752194,	0.125366,	0.58504,	0.58504,	0.668617,	0.87756,	0.58504,	0.58504,	0.543251,	0.250731,	0.167154,	1.54618,	1.0865,	0.208943,	0.334308,	0,	0.376097,	1.62975,	1.58797,	0.334308,	0.710405,	0.167154,	1.62975,	0,	0.626828,	4.72211,	0,	2.79983,	0.0417885,	3.17593,	0.208943,	0.752194,	1.17008,	0.167154,	0.208943,	1.54618,	0.543251,	0.543251,	0.0835771,	0.376097,	0.417886,	0.0417885,	0.167154,	5.39072,	2.00585,	0.250731,	0.167154,	0.0417885,	0.793983,	0.0835771,	1.17008,	
GM06990,	0.828864,	18.3813,	0.926377,	1.26767,	1.65773,	0.877621,	0.29254,	1.26767,	2.1453,	0.0975134,	0.29254,	1.1214,	0.926377,	2.58411,	0.243784,	2.19405,	0.43881,	0.0975134,	0.487567,	0.29254,	0.926377,	0.29254,	1.1214,	3.55924,	0.195027,	0.243784,	0.195027,	0.390054,	0.243784,	0.390054,	0.243784,	1.70648,	0.682594,	1.60897,	1.51146,	1.02389,	1.17016,	3.31546,	0.536324,	0.682594,	0.243784,	0.975134,	0.682594,	0.29254,	0.0975134,	0.0487567,	0.390054,	0.0487567,	1.17016,	0.780107,	0.58508,	0.0487567,	0,	0.975134,	0.828864,	0.536324,	0.243784,	0.390054,	0.0975134,	0.975134,	1.31643,	0.341297,	1.17016,	1.07265,	0.828864,	0.29254,	0,	0.43881,	3.21794,	0.14627,	0.14627,	1.90151,	0.975134,	1.1214,	1.51146,	0.195027,	5.16821,	0.0975134,	4.53437,	0,	0.780107,	0.195027,	0.0487567,	0.390054,	0.29254,	1.07265,	0.828864,	0,	0.390054,	0.43881,	0.633837,	0.633837,	0.243784,	1.17016,	0.0487567,	0,	0.195027,	0,	1.75524,	0.536324,	
GM12865,	0.760304,	14.3257,	2.80112,	2.44098,	1.7607,	0.120048,	0.680272,	0.440176,	0.20008,	0.360144,	0.080032,	0.880352,	2.0008,	0.280112,	0.560224,	1.12045,	0.920368,	0.560224,	0.520208,	1.60064,	0.080032,	0.60024,	0.760304,	2.88115,	2.2409,	0.160064,	0.320128,	1.28051,	0.60024,	0.60024,	0,	0.160064,	0.40016,	1.96078,	1.28051,	0.160064,	0.360144,	1.16046,	0.520208,	2.08083,	0.960384,	1.44058,	0.040016,	0.720288,	0.040016,	0.160064,	0.240096,	0.240096,	1.40056,	0.60024,	0.120048,	0.520208,	0.40016,	0.960384,	1.72069,	1.44058,	0.120048,	0.480192,	0.20008,	0.160064,	2.0008,	0.720288,	0.120048,	0.20008,	0,	0.640256,	0.880352,	0.840336,	0.680272,	1.20048,	0.520208,	1.48059,	0,	1.28051,	4.80192,	0.080032,	2.40096,	0.120048,	2.68107,	0.280112,	0.720288,	2.0008,	0.20008,	0.120048,	1.04042,	0.680272,	0.640256,	0.120048,	0.360144,	0.280112,	0.080032,	0.080032,	4.96199,	2.88115,	0.280112,	0.240096,	0.080032,	0.560224,	0.440176,	1.32053,	
H7-hESC,	0.963468,	11.9631,	1.88679,	2.00723,	1.68607,	0.0401445,	0.843035,	0.682457,	0.200723,	0.80289,	0.44159,	1.0839,	1.8065,	0.722601,	0.562023,	0.963468,	0.722601,	0.562023,	0.843035,	1.52549,	0.200723,	0.602168,	0.682457,	3.29185,	2.5291,	0.281012,	0.240867,	1.28462,	0.682457,	0.602168,	0.080289,	0.240867,	0.281012,	2.08752,	2.04737,	0.120434,	0.321156,	1.36491,	0.481734,	1.92694,	1.40506,	1.88679,	0.080289,	0.923324,	0,	0.281012,	0.722601,	0.361301,	1.32477,	1.16419,	0.160578,	0.401445,	0.521879,	0.562023,	2.32838,	1.28462,	0.321156,	0.321156,	0.240867,	0.160578,	1.96708,	0.883179,	0.200723,	0.120434,	0,	0.883179,	0.642312,	0.963468,	0.321156,	0.361301,	0.361301,	1.36491,	0.0401445,	1.8065,	4.73705,	0,	2.1678,	0.120434,	3.17142,	0.321156,	0.642312,	1.68607,	0.080289,	0.120434,	1.36491,	0.722601,	0.562023,	0.160578,	0.240867,	0.521879,	0.200723,	0,	4.65676,	2.12766,	0.481734,	0.160578,	0.120434,	0.481734,	0.120434,	1.00361,	
HA-h,	0.657386,	10.3635,	3.40294,	1.81748,	1.81748,	0.116009,	0.386698,	0.889404,	0.348028,	0.657386,	0.386698,	0.889404,	1.93349,	0.232019,	0.966744,	0.812065,	0.850735,	1.04408,	0.773395,	1.31477,	0.309358,	0.386698,	0.618716,	2.08817,	3.05491,	0.270688,	0.309358,	2.0495,	0.773395,	0.734725,	0.193349,	0.154679,	0.889404,	1.6628,	0.812065,	0.0386698,	0.425367,	1.04408,	0.889404,	2.39753,	0.657386,	1.19876,	0.0773395,	1.39211,	0.0386698,	0.0773395,	0.502707,	0.425367,	1.58546,	0.812065,	0.116009,	0.541377,	0.928074,	0.928074,	1.58546,	1.00541,	0.734725,	0.734725,	0.657386,	0.232019,	1.6628,	1.46945,	0.193349,	0.309358,	0,	0.580046,	0.966744,	1.54679,	0.425367,	1.50812,	0.425367,	1.12142,	0.193349,	1.08275,	3.67363,	0.0773395,	1.62413,	0.116009,	2.08817,	0.541377,	0.812065,	1.62413,	0.309358,	0.232019,	1.62413,	0.889404,	0.696056,	0.116009,	0.232019,	0.425367,	0.193349,	0.116009,	4.83372,	1.93349,	0.502707,	0.270688,	0.270688,	0.812065,	0.348028,	1.16009,	
HAEpiC,	0.488238,	19.3964,	3.50644,	1.68664,	2.21926,	0,	0.443853,	0.266312,	0.0887705,	0.665779,	0.355082,	1.06525,	1.73103,	0.221926,	0.177541,	1.10963,	0.577008,	0.665779,	0.75455,	1.46471,	0.266312,	0.665779,	0.443853,	2.84066,	0.932091,	0.221926,	0.310697,	1.37594,	0.443853,	0.532623,	0.133156,	0.310697,	0.399467,	2.17488,	1.1984,	0,	0.310697,	1.02086,	0.798935,	1.8198,	0.887705,	0.976476,	0.0443853,	1.1984,	0.0887705,	0.266312,	0.75455,	0.399467,	1.10963,	0.798935,	0.133156,	0.310697,	0.443853,	1.06525,	1.95295,	0.710164,	0.0887705,	0.443853,	0.133156,	0.221926,	1.1984,	0.932091,	0.177541,	0.266312,	0,	1.02086,	0.0443853,	1.8198,	0.443853,	0.887705,	0.355082,	1.77541,	0.0887705,	1.59787,	4.48291,	0.221926,	2.04172,	0.0443853,	2.88504,	0.577008,	0.621394,	1.55348,	0.266312,	0.177541,	1.95295,	0.710164,	0.798935,	0.0443853,	0.443853,	0.577008,	0.0887705,	0.221926,	2.26365,	1.8198,	0.266312,	0.221926,	0,	0.532623,	0.532623,	0.932091,	
HCF,	0.266312,	17.976,	3.59521,	1.68664,	2.3968,	0.177541,	0.488238,	0.443853,	0.266312,	0.577008,	0.221926,	0.932091,	2.30803,	0.355082,	0.399467,	0.798935,	0.443853,	0.577008,	0.577008,	1.64225,	0.177541,	0.532623,	0.266312,	3.19574,	1.37594,	0.266312,	0.310697,	1.02086,	0.443853,	0.443853,	0.133156,	0.133156,	0.443853,	2.08611,	1.33156,	0.0443853,	0.221926,	1.10963,	0.798935,	3.0182,	0.532623,	0.887705,	0.0443853,	1.02086,	0.0443853,	0.133156,	0.710164,	0.488238,	1.5091,	0.75455,	0.133156,	0.488238,	0.221926,	1.10963,	1.33156,	1.15402,	0.355082,	0.266312,	0.133156,	0.133156,	1.28717,	1.24279,	0.355082,	0.443853,	0.0443853,	0.577008,	0.266312,	1.55348,	0.355082,	0.665779,	0.266312,	2.21926,	0,	0.621394,	5.90324,	0.0887705,	2.61873,	0.177541,	3.0182,	0.310697,	0.532623,	1.37594,	0.0443853,	0.221926,	1.10963,	0.621394,	0.621394,	0.0443853,	0.355082,	0.266312,	0.177541,	0.133156,	2.88504,	2.13049,	0.266312,	0.0443853,	0.177541,	0.355082,	0.355082,	1.33156,	
HCM,	0.309324,	18.8688,	2.87229,	2.07689,	2.34202,	0.220946,	0.397702,	0.265135,	0.220946,	0.441891,	0.353513,	1.14892,	2.12108,	0.265135,	0.353513,	1.32567,	0.707026,	0.353513,	0.353513,	1.50243,	0.0441891,	0.176757,	0.751215,	2.60716,	1.14892,	0.265135,	0.265135,	1.2373,	0.795404,	0.48608,	0.176757,	0.309324,	0.618648,	2.51878,	1.28148,	0.176757,	0.176757,	0.927972,	0.707026,	1.76757,	0.662837,	0.883783,	0.0441891,	0.927972,	0.0441891,	0.309324,	0.839593,	0.353513,	1.45824,	0.618648,	0.0883783,	0.309324,	0.309324,	0.751215,	1.98851,	0.795404,	0.309324,	0.707026,	0.309324,	0.309324,	1.45824,	1.19311,	0.0441891,	0.441891,	0.0441891,	0.751215,	0.265135,	1.2373,	0.309324,	0.795404,	0.265135,	2.29783,	0.0441891,	0.618648,	4.63986,	0.0441891,	2.20946,	0,	3.18162,	0.397702,	0.618648,	1.50243,	0.265135,	0.176757,	1.01635,	0.839593,	0.972161,	0.132567,	0.220946,	0.220946,	0.0883783,	0,	2.73973,	2.4304,	0.220946,	0.132567,	0.220946,	0.618648,	0.618648,	1.76757,	
