cell ,	0,	1,	2,	3,	4,	5,	6,	7,	8,	9,	10,	11,	12,	13,	14,	15,	16,	17,	18,	19,	20,	21,	22,	23,	24,	25,	26,	27,	28,	29,	30,	31,	32,	33,	34,	35,	36,	37,	38,	39,	40,	41,	42,	43,	44,	45,	46,	47,	48,	49,	50,	51,	52,	53,	54,	55,	56,	57,	58,	59,	60,	61,	62,	63,	64,	65,	66,	67,	68,	69,	70,	71,	72,	73,	74,	75,	76,	77,	78,	79,	80,	81,	82,	83,	84,	85,	86,	87,	88,	89,	90,	91,	92,	93,	94,	95,	96,	97,	98,	99,	
AG10803,	0.27027,	16.8919,	1.28378,	2.04955,	1.32883,	0.427928,	0.495495,	1.03604,	0.112613,	0.112613,	0.045045,	2.95045,	4.05405,	0.585586,	1.44144,	1.66667,	0.765766,	0.0900901,	0.135135,	0.225225,	0.157658,	0.990991,	0.135135,	1.71171,	0.0225225,	0.337838,	1.14865,	0.337838,	1.95946,	1.62162,	0.157658,	0.990991,	0.540541,	2.83784,	1.08108,	0.0675676,	2.22973,	0.563063,	0.202703,	1.08108,	0.698198,	1.14865,	0.337838,	0.36036,	0.0225225,	0.518018,	0.0225225,	0.135135,	1.3964,	2.0045,	0.0225225,	0.315315,	0.36036,	2.0045,	0.585586,	0.585586,	0.315315,	3.06306,	0.202703,	1.91441,	0.45045,	0.743243,	0.0675676,	0.315315,	0.135135,	0.945946,	0.292793,	0.855856,	1.44144,	0.0675676,	0.540541,	1.98198,	0.202703,	2.92793,	1.77928,	0.18018,	0.855856,	0.135135,	3.24324,	0.135135,	0.585586,	0.225225,	0,	1.98198,	2.0045,	1.64414,	0.472973,	0.0900901,	0.810811,	1.37387,	0.0900901,	0,	1.37387,	0.225225,	0.315315,	0.405405,	0.135135,	0.045045,	0.0900901,	0.675676,	
AoAF,	0.454054,	15.4378,	0.994595,	1.64324,	1.05946,	0.497297,	0.67027,	1.05946,	0.302703,	0.194595,	0.0864865,	2.91892,	3.74054,	0.475676,	1.31892,	1.12432,	0.756757,	0.0864865,	0.0648649,	0.151351,	0.216216,	1.03784,	0.172973,	1.77297,	0.0648649,	0.237838,	1.23243,	0.281081,	1.83784,	1.72973,	0.172973,	1.12432,	0.518919,	2.91892,	1.01622,	0.216216,	2.16216,	0.410811,	0.302703,	0.8,	0.735135,	1.6,	0.410811,	0.540541,	0,	0.281081,	0.0216216,	0.108108,	1.27568,	2.29189,	0.0648649,	0.302703,	0.475676,	1.94595,	0.432432,	0.497297,	0.281081,	3.13513,	0.172973,	3.00541,	0.540541,	0.562162,	0.194595,	0.108108,	0.108108,	1.18919,	0.345946,	1.18919,	1.12432,	0.0864865,	0.497297,	1.27568,	0.194595,	3.76216,	1.66486,	0.216216,	0.778378,	0.108108,	3.2,	0.0432432,	0.735135,	0.108108,	0,	2.05405,	2.31351,	2.07568,	0.627027,	0.0216216,	0.92973,	1.34054,	0.108108,	0,	1.72973,	0.281081,	0.367568,	0.648649,	0.151351,	0.0432432,	0.0864865,	0.345946,	
CD20+,	0.125786,	24.9308,	1.30818,	0.981132,	1.30818,	0.352201,	0.503145,	0.779874,	0.0754717,	0.0754717,	0.0503145,	3.37107,	4.75472,	0.528302,	0.754717,	1.76101,	0.553459,	0.0251572,	0.0251572,	0.27673,	0.150943,	0.855346,	0.201258,	2.56604,	0.0503145,	0.251572,	0.503145,	0.125786,	1.15723,	1.03145,	0.125786,	0.654088,	0.477987,	4.12579,	0.90566,	0.327044,	1.25786,	0.503145,	0.201258,	1.10692,	0.553459,	1.03145,	0.100629,	0.402516,	0,	0.176101,	0.0251572,	0.251572,	1.73585,	1.28302,	0.0251572,	0.27673,	0.176101,	2.23899,	0.578616,	0.27673,	0.27673,	1.43396,	0.150943,	1.86164,	0.402516,	0.201258,	0.125786,	0.327044,	0.0251572,	0.830189,	0.125786,	0.830189,	1.81132,	0.100629,	0.301887,	1.98742,	0.226415,	2.06289,	2.96855,	0.352201,	1.40881,	0.0754717,	3.4717,	0.125786,	0.679245,	0.150943,	0.0251572,	1.03145,	1.40881,	1.71069,	1.33333,	0.0251572,	0.628931,	0.553459,	0.0251572,	0,	0.679245,	0.100629,	0.201258,	0.352201,	0.100629,	0.0503145,	0.100629,	1.10692,	
GM06990,	0.510041,	26.554,	1.08384,	0.988205,	3.4109,	0.892572,	0.701307,	0.92445,	0.159388,	0.510041,	0.0637552,	1.40261,	0.828817,	0.414409,	0.191266,	1.62576,	0.414409,	0.191266,	0.286898,	0.478164,	0.350653,	0.92445,	1.75327,	1.8489,	0.541919,	0.701307,	0.0956328,	0.382531,	0.12751,	0.12751,	0.0956328,	1.05196,	0.286898,	2.19955,	0.541919,	0.828817,	0.446286,	2.4227,	0.541919,	1.59388,	0.733185,	1.40261,	0.0318776,	0.318776,	0.191266,	0.12751,	0.223143,	0.12751,	2.07204,	0.541919,	0.255021,	0.12751,	0.350653,	1.05196,	1.49825,	0.988205,	0.0956328,	0.223143,	0.0956328,	0.191266,	0.541919,	0.541919,	0.478164,	0.223143,	0,	0.637552,	0.0637552,	1.24323,	2.4227,	0.255021,	0.255021,	2.4227,	0.286898,	0.223143,	4.2716,	0.159388,	5.06854,	0.382531,	2.39082,	0.12751,	0.478164,	0.191266,	0.12751,	0.0956328,	0.255021,	1.02008,	2.39082,	0.0637552,	0.382531,	0.191266,	0,	0.0956328,	0.255021,	0.765062,	0.0637552,	0.0318776,	0.382531,	0.318776,	0.510041,	1.24323,	
GM12865,	0.117014,	22.7241,	1.09993,	1.19354,	1.47437,	0.25743,	0.42125,	0.538263,	0.25743,	0.210625,	0.093611,	3.29979,	4.00187,	0.514861,	1.33396,	1.45097,	0.374444,	0.0702083,	0.210625,	0.304236,	0.187222,	0.748888,	0.0702083,	2.12965,	0.0702083,	0.25743,	1.02972,	0.468055,	1.52118,	1.19354,	0.140417,	0.912708,	0.397847,	3.58062,	0.912708,	0.234028,	2.10625,	0.585069,	0.210625,	1.09993,	0.491458,	1.00632,	0.304236,	0.187222,	0,	0.140417,	0.0702083,	0.117014,	1.42757,	1.54458,	0.0702083,	0.210625,	0.304236,	2.12965,	0.468055,	0.538263,	0.210625,	1.80201,	0.0468055,	1.685,	0.538263,	0.42125,	0.093611,	0.163819,	0.0468055,	0.93611,	0.093611,	1.00632,	1.7318,	0.0702083,	0.304236,	1.7084,	0.0234028,	2.43389,	2.38708,	0.187222,	1.52118,	0.093611,	3.60403,	0.0702083,	0.491458,	0.210625,	0.0234028,	1.35736,	1.59139,	2.27007,	1.21694,	0.0234028,	0.725486,	0.959513,	0.140417,	0,	1.12333,	0.234028,	0.374444,	0.280833,	0.0468055,	0.0234028,	0.093611,	0.819097,	
H7-hESC,	0.417053,	18.0259,	0.60241,	1.5987,	1.04263,	0.393883,	0.834106,	0.926784,	0.185357,	0.231696,	0.0926784,	3.03522,	4.14736,	0.55607,	1.13531,	1.45968,	0.393883,	0.0463392,	0.0695088,	0.254866,	0.324374,	0.787766,	0.0463392,	2.15477,	0.0231696,	0.185357,	0.949954,	0.301205,	1.66821,	1.64504,	0.162187,	1.43652,	0.463392,	2.98888,	1.39018,	0.301205,	2.29379,	0.60241,	0.139018,	0.810936,	0.393883,	1.43652,	0.347544,	0.463392,	0.0463392,	0.208526,	0.115848,	0.115848,	0.949954,	1.41335,	0.115848,	0.162187,	0.55607,	1.52919,	0.532901,	0.764597,	0.254866,	2.57183,	0.0926784,	1.8304,	0.417053,	0.671918,	0.115848,	0.231696,	0.0926784,	1.04263,	0.0695088,	0.857275,	1.78406,	0.185357,	0.55607,	1.85357,	0.278035,	2.82669,	2.40964,	0.139018,	1.5987,	0.0926784,	3.6608,	0.0695088,	0.60241,	0.162187,	0.0695088,	1.57553,	1.71455,	2.15477,	0.880445,	0.0695088,	1.04263,	1.0658,	0.162187,	0,	1.43652,	0.254866,	0.393883,	0.463392,	0.208526,	0,	0.162187,	0.60241,	
HA-h,	0.377438,	12.77,	1.42588,	1.82428,	0.985532,	0.650031,	0.545188,	1.40491,	0.272594,	0.251625,	0.0419375,	3.08241,	3.60663,	0.650031,	1.57266,	0.985532,	1.17425,	0.0629063,	0.0629063,	0.209688,	0.314531,	1.06941,	0.146781,	2.13881,	0.0419375,	0.524219,	1.342,	0.356469,	1.88719,	1.63556,	0.461313,	0.880688,	0.796813,	2.53722,	1.21619,	0.16775,	1.97106,	0.188719,	0.524219,	0.859719,	0.775844,	1.36297,	0.3355,	0.650031,	0.104844,	0.587125,	0.0209688,	0.251625,	1.21619,	1.99203,	0.104844,	0.566156,	0.440344,	2.36947,	0.796813,	0.859719,	0.587125,	2.55819,	0.188719,	2.22269,	0.482281,	0.566156,	0.146781,	0.440344,	0.125813,	0.943594,	0.230656,	0.83875,	1.23716,	0.125813,	0.629063,	1.42588,	0.293563,	2.93563,	1.97106,	0.230656,	0.964563,	0.16775,	3.08241,	0.251625,	0.754875,	0.146781,	0.0419375,	2.13881,	1.99203,	2.15978,	0.901657,	0.083875,	0.817782,	1.15328,	0.188719,	0,	1.02747,	0.419375,	0.461313,	0.566156,	0.230656,	0.083875,	0.125813,	0.608094,	
HAEpiC,	0.366133,	15.5149,	0.938215,	1.18993,	0.961098,	0.480549,	0.663616,	1.05263,	0.114416,	0.297483,	0,	3.20366,	3.72998,	0.594966,	1.2357,	1.57895,	0.800915,	0.114416,	0.0915332,	0.2746,	0.160183,	0.732265,	0.114416,	2.4714,	0.0686499,	0.366133,	1.39588,	0.183066,	1.73913,	1.73913,	0.1373,	0.572082,	0.457666,	2.81465,	1.30435,	0.251716,	2.21968,	0.594966,	0.20595,	1.25858,	0.755149,	1.39588,	0.480549,	0.526316,	0.0457666,	0.594966,	0.0457666,	0.160183,	0.983982,	2.31121,	0.1373,	0.228833,	0.434783,	1.80778,	0.549199,	0.411899,	0.114416,	3.84439,	0.114416,	2.12815,	0.526316,	0.366133,	0.0915332,	0.160183,	0.0457666,	1.48741,	0.228833,	1.16705,	0.709382,	0.20595,	0.457666,	1.67048,	0.251716,	4.32494,	1.46453,	0.20595,	0.800915,	0.0915332,	3.68421,	0.0228833,	0.755149,	0.160183,	0,	2.03661,	1.80778,	2.1968,	0.732265,	0,	1.05263,	1.14416,	0.114416,	0.0228833,	0.869565,	0.20595,	0.366133,	0.594966,	0.0915332,	0.0915332,	0.0457666,	0.686499,	
HCF,	0.177817,	16.9149,	0.911314,	1.93376,	1.08913,	0.488998,	0.555679,	0.955768,	0.244499,	0.111136,	0.222272,	2.97844,	4.17871,	0.46677,	1.51145,	0.977995,	0.644588,	0.0889086,	0.111136,	0.177817,	0.377862,	0.933541,	0.0444543,	1.73372,	0.0222272,	0.177817,	1.08913,	0.422316,	1.75595,	1.68926,	0.222272,	1.04468,	0.422316,	2.95621,	1.13359,	0.355635,	2.06713,	0.333407,	0.400089,	0.977995,	0.600133,	1.77817,	0.577906,	0.46677,	0.0444543,	0.533452,	0.0444543,	0.15559,	1.66704,	1.77817,	0.133363,	0.400089,	0.400089,	2.02267,	0.422316,	0.622361,	0.31118,	2.31162,	0.222272,	2.13381,	0.422316,	0.46677,	0.111136,	0.288953,	0.111136,	1.04468,	0.133363,	1.24472,	1.44477,	0.0444543,	0.377862,	1.42254,	0.222272,	3.24517,	1.64481,	0.266726,	1.26695,	0.0889086,	3.00067,	0.133363,	0.666815,	0.31118,	0.0222272,	2.22272,	2.0449,	1.68926,	0.577906,	0.0444543,	0.777951,	1.60036,	0.222272,	0.0222272,	1.37808,	0.288953,	0.288953,	0.622361,	0.15559,	0.0666815,	0.0444543,	0.444543,	
HCM,	0.405862,	17.5648,	1.10485,	1.78129,	1.21759,	0.405862,	0.698985,	0.766629,	0.293123,	0.293123,	0.0676437,	3.06652,	4.17136,	0.676437,	1.26268,	1.0823,	0.473506,	0.0901917,	0.0901917,	0.405862,	0.202931,	1.0823,	0.0450958,	1.80383,	0,	0.202931,	1.42052,	0.360767,	1.78129,	1.51071,	0.293123,	0.834273,	0.563698,	2.93123,	1.19504,	0.225479,	1.84893,	0.518602,	0.473506,	1.01466,	0.766629,	1.53326,	0.270575,	0.586246,	0.0901917,	0.518602,	0.0450958,	0.11274,	1.1274,	2.00676,	0.0676437,	0.315671,	0.383315,	1.82638,	0.496054,	0.473506,	0.180383,	2.52537,	0.0901917,	2.39008,	0.54115,	0.473506,	0.157835,	0.315671,	0.135287,	1.19504,	0.157835,	1.10485,	1.05975,	0.0676437,	0.608794,	1.33033,	0.270575,	3.40474,	1.646,	0.135287,	0.856821,	0.11274,	3.44983,	0.0676437,	0.744081,	0.157835,	0.0901917,	2.1646,	2.1646,	1.87148,	0.563698,	0.0676437,	0.789177,	1.46561,	0.0901917,	0,	0.992108,	0.135287,	0.383315,	0.54115,	0.0901917,	0.0450958,	0,	0.518602,	
