cell ,	0,	1,	2,	3,	4,	5,	6,	7,	8,	9,	10,	11,	12,	13,	14,	15,	16,	17,	18,	19,	20,	21,	22,	23,	24,	25,	26,	27,	28,	29,	30,	31,	32,	33,	34,	35,	36,	37,	38,	39,	40,	41,	42,	43,	44,	45,	46,	47,	48,	49,	50,	51,	52,	53,	54,	55,	56,	57,	58,	59,	60,	61,	62,	63,	64,	65,	66,	67,	68,	69,	70,	71,	72,	73,	74,	75,	76,	77,	78,	79,	80,	81,	82,	83,	84,	85,	86,	87,	88,	89,	90,	91,	92,	93,	94,	95,	96,	97,	98,	99,	
AG10803,	0.762573,	13.6719,	2.088,	1.86407,	1.83986,	1.20438,	0.236035,	1.44042,	0.175513,	0.683895,	0.290504,	0.950191,	4.93252,	0.5568,	1.43436,	0.671791,	1.2649,	0.369182,	0.072626,	0.284452,	0.254191,	0.0847304,	0.86546,	0.4176,	0.526539,	0.0968347,	0.538643,	0.351026,	0.738365,	0.593113,	0.175513,	3.09266,	1.17412,	1.59777,	0.127096,	0.810991,	1.56751,	0.229982,	2.18483,	3.08661,	0.290504,	0.689947,	0.0968347,	0.236035,	0.0423652,	0.296556,	0.151304,	0.145252,	2.06984,	0.114991,	0.0484174,	0.0786782,	0.574956,	1.05308,	1.1136,	1.1257,	0.114991,	1.18623,	2.15457,	0.538643,	1.21649,	2.03958,	0.490226,	0.387339,	0.187617,	0.702052,	0.393391,	1.47068,	2.73558,	0.653634,	0.756521,	1.48883,	0.205774,	0.121043,	1.37989,	0.193669,	3.31659,	0.036313,	2.24536,	0.217878,	0.992556,	0.653634,	0.0907825,	0.871512,	2.20299,	0.774678,	1.02887,	0.102887,	0.236035,	0.254191,	0.036313,	0.205774,	0.205774,	0.762573,	0,	1.01676,	2.86268,	0.181565,	0.248139,	1.60382,	
AoAF,	0.399038,	15.6916,	1.85435,	2.2886,	1.80741,	1.10909,	0.35796,	1.56094,	0.234728,	0.71592,	0.404906,	0.809812,	2.89889,	0.745261,	1.17951,	0.657238,	1.22059,	0.42251,	0.158441,	0.217123,	0.316883,	0.158441,	0.733525,	0.463588,	0.756998,	0.211255,	0.410774,	0.393169,	0.393169,	0.340356,	0.1291,	4.24858,	0.674843,	1.99519,	0.16431,	0.510533,	1.89543,	0.29341,	2.41183,	2.10082,	0.510533,	0.768734,	0.158441,	0.287542,	0.0410774,	0.275805,	0.205387,	0.176046,	1.81327,	0.152573,	0.058682,	0.0234728,	0.575084,	1.10322,	1.62549,	1.34382,	0.058682,	1.3849,	1.56094,	0.463588,	1.05041,	1.87196,	0.451851,	0.205387,	0.140837,	1.06214,	0.281674,	1.25579,	1.97172,	0.856757,	0.903703,	1.72525,	0.281674,	0.117364,	1.82501,	0.269937,	2.76979,	0,	1.62549,	0.299278,	1.05628,	0.516402,	0.111496,	0.856757,	2.85195,	0.862625,	1.43771,	0.123232,	0.29341,	0.240596,	0.0058682,	0.117364,	0.170178,	0.780471,	0.0352092,	0.850889,	2.63482,	0.181914,	0.316883,	1.66657,	
CD20+,	0.657772,	16.9966,	2.49457,	1.88024,	1.94229,	1.04871,	0.260627,	1.32796,	0.179957,	0.434378,	0.260627,	0.843934,	4.81539,	0.533664,	1.06112,	0.812907,	1.06112,	0.440583,	0.173751,	0.210984,	0.204778,	0.14893,	0.688799,	0.490227,	0.409556,	0.204778,	0.384735,	0.452994,	0.750853,	0.415762,	0.167546,	2.25256,	1.05492,	2.02917,	0.0868756,	0.670183,	1.24729,	0.31027,	1.87403,	2.97239,	0.210984,	0.558486,	0.117903,	0.210984,	0.062054,	0.235805,	0.155135,	0.186162,	2.08501,	0.105492,	0.0372324,	0.0496432,	0.372324,	0.775675,	0.695005,	1.22246,	0.0868756,	0.980453,	1.97332,	0.335092,	1.14179,	2.04778,	0.384735,	0.477816,	0.136519,	0.515048,	0.31027,	1.56997,	2.48836,	0.893577,	0.70121,	1.80577,	0.130313,	0.0992864,	1.61961,	0.186162,	3.86596,	0.0372324,	2.71176,	0.186162,	0.986658,	0.775675,	0.0806702,	0.53987,	1.91126,	0.943221,	1.14179,	0.105492,	0.285448,	0.204778,	0.0434378,	0.167546,	0.204778,	0.533664,	0.031027,	0.757059,	2.36426,	0.14893,	0.353708,	2.40149,	
GM06990,	0.655384,	22.6864,	1.38999,	1.4404,	1.426,	0.626575,	0.496939,	0.590565,	0.165646,	0.252071,	0.194454,	1.50522,	0.85704,	0.540151,	0.352899,	1.62766,	0.432121,	0.345697,	1.00828,	0.900252,	0.849838,	0.96507,	0.532949,	2.5135,	0.230465,	0.612171,	0.396111,	0.67699,	0.208858,	0.345697,	0.885848,	0.698596,	0.14404,	1.89413,	2.47029,	0.266475,	0.547353,	2.83039,	0.489737,	1.15952,	1.67087,	1.51963,	0.230465,	1.05149,	0.0720202,	0.115232,	0.511343,	0.187252,	1.10911,	1.02989,	1.02269,	0.187252,	0.561757,	1.65646,	1.7933,	0.878646,	0.115232,	0.216061,	0.014404,	0.89305,	0.288081,	0.417717,	0.561757,	0.640979,	0.158444,	0.504141,	0.021606,	1.28196,	1.59165,	0.158444,	0.230465,	2.20382,	0.266475,	0.979474,	4.68131,	0.230465,	2.24703,	0.85704,	1.83651,	0.14404,	0.388909,	0.244869,	0.136838,	0.18005,	0.432121,	1.00108,	1.66367,	0.0432121,	1.14512,	0.388909,	0.0720202,	0.0792222,	0.468131,	1.00828,	0.403313,	0.0288081,	0.136838,	0.18005,	0.756212,	0.89305,	
GM12865,	0.495169,	16.6787,	2.19807,	1.6244,	1.88406,	1.13527,	0.253623,	1.19565,	0.193237,	0.561594,	0.253623,	1.05072,	4.58333,	0.483092,	1.12319,	0.827295,	0.9843,	0.332126,	0.138889,	0.2657,	0.247585,	0.114734,	0.748792,	0.785024,	0.483092,	0.144928,	0.380435,	0.452899,	0.71256,	0.464976,	0.0905797,	2.64493,	0.960145,	1.93841,	0.277778,	0.694444,	1.54589,	0.688406,	1.90217,	2.83213,	0.247585,	0.634058,	0.0664251,	0.169082,	0.0301932,	0.235507,	0.108696,	0.102657,	1.87198,	0.138889,	0.0483092,	0.0483092,	0.404589,	1.11111,	0.923913,	1.06884,	0.0603865,	1.03865,	1.79348,	0.573672,	1.14734,	1.6244,	0.301932,	0.483092,	0.13285,	0.71256,	0.289855,	1.54589,	2.97101,	0.736715,	0.682367,	1.95048,	0.157005,	0.102657,	1.78744,	0.150966,	3.50845,	0.0120773,	2.64493,	0.253623,	1.02657,	0.567633,	0.0845411,	0.634058,	1.58213,	0.929952,	1.31643,	0.157005,	0.350242,	0.175121,	0.0241546,	0.187198,	0.229469,	0.730676,	0.0301932,	0.80314,	2.77174,	0.144928,	0.320048,	1.69082,	
H7-hESC,	0.200472,	16.9281,	2.14623,	2.04009,	1.74528,	1.04363,	0.365566,	1.17925,	0.153302,	0.67217,	0.383255,	0.813679,	2.47642,	0.683962,	1.23821,	0.754717,	1.36792,	0.589623,	0.112028,	0.229953,	0.318396,	0.112028,	0.554245,	0.330189,	0.71934,	0.21816,	0.613208,	0.365566,	0.377358,	0.3125,	0.153302,	3.56722,	0.660377,	2.06958,	0.141509,	0.542453,	2.38797,	0.26533,	2.35259,	1.91038,	0.642689,	0.790094,	0.141509,	0.436321,	0.0412736,	0.253538,	0.206368,	0.147406,	1.89269,	0.170991,	0.0825472,	0.053066,	0.566038,	1.48585,	1.97524,	1.5566,	0.100236,	1.28538,	0.961085,	0.353774,	0.908019,	1.93396,	0.501179,	0.21816,	0.141509,	1.12028,	0.336085,	1.49175,	1.875,	0.518868,	1.01415,	1.94575,	0.277123,	0.0825472,	2.38797,	0.288915,	2.28184,	0.0117925,	1.41509,	0.336085,	1.14387,	0.459906,	0.153302,	0.9375,	3.04835,	1.02594,	1.47406,	0.194575,	0.336085,	0.324292,	0.0412736,	0.129717,	0.0884434,	0.518868,	0.0353774,	0.778302,	2.14623,	0.247642,	0.235849,	1.35613,	
HA-h,	1.01307,	8.87996,	2.49024,	1.73751,	1.48848,	1.1772,	0.237704,	1.42623,	0.209406,	0.747071,	0.407493,	0.973456,	4.16549,	0.594261,	1.33001,	0.45843,	1.33001,	0.6169,	0.0679156,	0.237704,	0.288641,	0.141491,	0.888562,	0.396174,	1.09797,	0.175449,	0.588602,	0.46409,	0.877243,	0.503707,	0.15847,	3.16939,	1.42057,	1.40359,	0.124512,	0.837625,	1.50546,	0.186768,	2.7053,	2.63739,	0.373536,	0.701794,	0.164129,	0.339578,	0.107533,	0.498047,	0.254683,	0.198087,	1.94125,	0.141491,	0.0226385,	0.0848944,	0.718773,	0.882902,	1.14325,	1.31869,	0.107533,	1.40359,	3.17505,	0.339578,	1.69789,	2.63739,	0.492388,	0.628219,	0.192427,	0.809327,	0.509367,	1.2621,	1.91861,	1.36397,	0.837625,	1.06967,	0.192427,	0.14715,	1.35265,	0.237704,	2.94867,	0.0282981,	2.05445,	0.277322,	1.12061,	0.996095,	0.175449,	0.792348,	2.2016,	0.684815,	0.848944,	0.14715,	0.260343,	0.226385,	0.0396174,	0.282982,	0.232045,	0.814987,	0.0226385,	1.23946,	3.40144,	0.243364,	0.401834,	2.13368,	
HAEpiC,	0.297854,	16.1814,	2.39499,	2.12145,	2.15184,	1.21573,	0.291776,	1.26436,	0.121573,	0.668652,	0.382955,	0.978664,	2.65029,	0.541001,	1.16102,	0.747675,	1.19142,	0.626102,	0.0547079,	0.212753,	0.22491,	0.151966,	0.699046,	0.285697,	0.668652,	0.170202,	0.510607,	0.370798,	0.267461,	0.358641,	0.151966,	3.68975,	0.826697,	1.95733,	0.0790225,	0.753754,	1.64732,	0.127652,	2.96031,	1.90262,	0.504529,	0.705124,	0.127652,	0.249225,	0.0364719,	0.249225,	0.18236,	0.121573,	1.7081,	0.170202,	0.0486293,	0.0851012,	0.49845,	1.31299,	1.76889,	1.59261,	0.0486293,	1.2826,	1.4528,	0.541001,	0.978664,	1.85399,	0.516686,	0.346483,	0.151966,	0.9969,	0.267461,	1.1975,	2.164,	0.851012,	0.838855,	1.80536,	0.200596,	0.0851012,	1.93909,	0.279618,	3.00894,	0.0303933,	1.46496,	0.297854,	1.05161,	0.607866,	0.115494,	0.887484,	2.77187,	0.863169,	1.20357,	0.0972585,	0.243146,	0.243146,	0.0243146,	0.170202,	0.176281,	0.717282,	0,	0.778068,	2.63814,	0.176281,	0.285697,	1.92693,	
HCF,	0.74548,	11.3818,	2.03686,	2.06621,	1.7375,	1.17398,	0.275886,	1.53792,	0.246537,	0.73961,	0.416764,	0.956797,	5.52947,	0.569382,	1.37356,	0.540033,	1.09768,	0.457854,	0.111529,	0.234797,	0.240667,	0.0997887,	0.669171,	0.481334,	0.651561,	0.164358,	0.622212,	0.322846,	0.804179,	0.622212,	0.199577,	3.22259,	1.12116,	1.58488,	0.0880488,	0.862879,	1.48509,	0.293496,	2.34797,	3.35173,	0.399155,	0.575252,	0.0821789,	0.199577,	0.0234797,	0.340456,	0.111529,	0.187838,	2.13665,	0.170228,	0.0352195,	0.0528293,	0.675041,	0.933318,	1.00376,	1.25029,	0.111529,	1.48509,	2.24818,	0.598732,	1.30312,	2.14839,	0.405025,	0.487204,	0.146748,	0.75135,	0.358065,	1.30312,	2.94083,	0.886358,	0.73961,	1.33834,	0.228927,	0.117398,	1.27964,	0.170228,	3.16389,	0.0176098,	2.01925,	0.228927,	0.956797,	0.651561,	0.0704391,	1.02137,	2.166,	0.73374,	0.880488,	0.123268,	0.187838,	0.299366,	0.0410895,	0.176098,	0.199577,	0.76309,	0.0234797,	1.13289,	3.4163,	0.164358,	0.293496,	1.57901,	
HCM,	0.842316,	11.8572,	1.90846,	2.08517,	1.73765,	1.11916,	0.235613,	1.69641,	0.253284,	0.73629,	0.341639,	0.924781,	4.97732,	0.559581,	1.33121,	0.477116,	1.36066,	0.477116,	0.111916,	0.247394,	0.235613,	0.0883548,	0.812864,	0.376981,	0.706839,	0.117806,	0.577252,	0.353419,	0.606703,	0.471226,	0.100135,	3.55775,	1.2193,	1.45491,	0.123697,	0.795193,	1.77299,	0.241503,	2.48572,	2.99817,	0.37109,	0.594923,	0.170819,	0.223832,	0.0353419,	0.235613,	0.111916,	0.153148,	2.0086,	0.135477,	0.0589032,	0.0765742,	0.636155,	1.05437,	1.16039,	1.26642,	0.0706839,	1.22519,	2.45037,	0.583142,	1.20752,	2.23243,	0.429994,	0.435884,	0.170819,	0.72451,	0.323968,	1.25464,	2.64475,	1.2193,	0.636155,	1.36066,	0.1826,	0.0883548,	1.35477,	0.223832,	3.41639,	0.0235613,	1.73175,	0.229723,	1.07204,	0.665606,	0.153148,	0.789303,	2.1912,	0.571361,	0.90711,	0.0942452,	0.282735,	0.200271,	0.0647935,	0.300406,	0.247394,	0.753961,	0.017671,	0.966013,	3.68145,	0.153148,	0.376981,	1.61984,	
