cell ,	0,	1,	2,	3,	4,	5,	6,	7,	8,	9,	10,	11,	12,	13,	14,	15,	16,	17,	18,	19,	20,	21,	22,	23,	24,	25,	26,	27,	28,	29,	30,	31,	32,	33,	34,	35,	36,	37,	38,	39,	40,	41,	42,	43,	44,	45,	46,	47,	48,	49,	50,	51,	52,	53,	54,	55,	56,	57,	58,	59,	60,	61,	62,	63,	64,	65,	66,	67,	68,	69,	70,	71,	72,	73,	74,	75,	76,	77,	78,	79,	80,	81,	82,	83,	84,	85,	86,	87,	88,	89,	90,	91,	92,	93,	94,	95,	96,	97,	98,	99,	
AG10803,	0.274443,	11.5266,	3.80789,	0.857633,	3.32762,	0.480274,	0.240137,	0.0686106,	0.480274,	0.137221,	0.137221,	1.85249,	0.960549,	0.205832,	0.0686106,	0.411664,	0.445969,	0.171527,	7.89022,	2.05832,	1.68096,	0.548885,	0.308748,	2.81304,	0.102916,	0.548885,	0.0343053,	1.61235,	0,	0.308748,	1.50943,	0.51458,	0.343053,	1.40652,	5.00858,	0.308748,	0.308748,	9.36535,	0.343053,	0.411664,	0.548885,	0.205832,	0.205832,	0.411664,	0.480274,	0.0343053,	0.651801,	0.58319,	0.617496,	1.23499,	0.789022,	0.205832,	0.240137,	2.64151,	0.51458,	0.891938,	0.137221,	0.137221,	0,	2.50429,	0.102916,	1.09777,	0.343053,	2.81304,	0.171527,	0.411664,	0.205832,	0.651801,	0.926244,	0.205832,	0.102916,	0.789022,	0.0343053,	1.61235,	1.09777,	1.09777,	0.58319,	0.823328,	0.377358,	0.137221,	0,	0.274443,	0.137221,	0.343053,	0.171527,	1.16638,	0.445969,	0,	0.857633,	0.102916,	0.171527,	0.0343053,	2.95026,	0.377358,	0.205832,	0,	0.0686106,	0.0343053,	0.686106,	2.46998,	
AoAF,	0.197889,	9.79551,	4.74934,	1.31926,	2.37467,	0.131926,	0.395778,	0.0989446,	0.560686,	0.0659631,	0.197889,	2.80343,	0.725594,	0.230871,	0.296834,	0.329815,	0.131926,	0.263852,	8.5752,	2.37467,	1.781,	1.02243,	0.230871,	1.91293,	0.0329815,	0.461741,	0.0329815,	1.51715,	0,	0.0659631,	1.35224,	0.362797,	0.362797,	1.18734,	4.8153,	0.263852,	0.296834,	11.5765,	0.296834,	0.395778,	0.725594,	0.131926,	0.230871,	0.362797,	0.626649,	0.0989446,	0.659631,	0.659631,	0.560686,	0.824538,	0.758575,	0.263852,	0.0989446,	3.06728,	0.527704,	0.758575,	0.0329815,	0.0989446,	0,	2.90237,	0.0659631,	1.22032,	0.626649,	4.12269,	0.131926,	0.0659631,	0.0989446,	0.758575,	0.42876,	0.164908,	0.0989446,	0.692612,	0.0659631,	0.989446,	0.758575,	1.51715,	0.626649,	0.395778,	0.461741,	0.0989446,	0,	0.197889,	0.0659631,	0.42876,	0.197889,	1.08839,	0.494723,	0,	1.28628,	0.230871,	0.230871,	0.0989446,	2.60554,	0.230871,	0.0989446,	0,	0.0329815,	0.0659631,	0.659631,	1.6161,	
CD20+,	0.185322,	17.3091,	2.77984,	1.03781,	3.03929,	0.407709,	0.481838,	0.111193,	0.33358,	0.185322,	0.222387,	1.6679,	1.03781,	0.259451,	0.148258,	0.778354,	0.148258,	0.148258,	6.44922,	1.40845,	1.40845,	0.778354,	0.222387,	3.78058,	0.0370645,	0.74129,	0.222387,	0.593032,	0,	0.148258,	1.74203,	0.444774,	0.370645,	1.33432,	3.78058,	0.630096,	0.148258,	8.74722,	0.222387,	0.704225,	0.444774,	0.74129,	0.222387,	0.370645,	0.555967,	0.0370645,	1.00074,	0.407709,	0.815419,	1.40845,	1.07487,	0.444774,	0.222387,	2.92809,	0.555967,	0.963677,	0.0370645,	0.111193,	0.0370645,	1.59377,	0.111193,	0.555967,	0.555967,	2.44626,	0.222387,	0.111193,	0,	0.555967,	1.11193,	0.148258,	0.148258,	0.926612,	0.111193,	1.18606,	1.6679,	1.149,	0.74129,	0.555967,	0.815419,	0,	0.148258,	0.111193,	0.0370645,	0.148258,	0.259451,	0.555967,	0.815419,	0,	0.926612,	0.111193,	0.222387,	0.185322,	1.6679,	0.185322,	0.0370645,	0,	0,	0.148258,	0.704225,	2.44626,	
GM06990,	0.527241,	16.7838,	3.69069,	0.395431,	1.71353,	2.76801,	0.439367,	0.26362,	0.26362,	0.0439367,	0.0878735,	3.69069,	4.26186,	0.0439367,	1.49385,	0.746924,	1.01054,	0.219684,	0.351494,	0.483304,	0.26362,	0.219684,	0.746924,	1.18629,	0,	0.13181,	0.307557,	0.922671,	0.702988,	2.68014,	0.26362,	0.13181,	5.09666,	1.49385,	0.26362,	0.0878735,	0.307557,	3.38313,	0.615114,	6.28295,	0.307557,	0.26362,	0.219684,	0.0439367,	0.307557,	0.439367,	0.0439367,	0.175747,	1.40598,	0.0878735,	0.0878735,	0.0439367,	0.571178,	1.58172,	0.483304,	0.395431,	0.219684,	0.966608,	0.26362,	0.439367,	1.58172,	1.84534,	0.351494,	1.93322,	0.0439367,	0.26362,	0.0439367,	2.02109,	0.571178,	0.439367,	0.659051,	1.44991,	0,	0.175747,	1.3181,	0.219684,	3.471,	0,	1.6696,	0.0878735,	0.395431,	0.878735,	0.0878735,	0.351494,	1.09842,	0.922671,	0.351494,	0.0439367,	0.26362,	0.175747,	0,	0.219684,	0.351494,	0.219684,	0.0878735,	0.395431,	0.13181,	0.0878735,	0.571178,	2.50439,	
GM12865,	0.392157,	12.8699,	2.92335,	0.891266,	3.70766,	0.320856,	0.320856,	0.142602,	0.427808,	0.0713012,	0.142602,	2.56684,	1.49733,	0.178253,	0.249554,	0.713012,	0.106952,	0.106952,	7.77184,	1.88948,	1.63993,	0.57041,	0.463458,	3.60071,	0,	0.534759,	0.0356506,	1.49733,	0.0356506,	0.142602,	1.10517,	0.427808,	0.142602,	1.46168,	5.09804,	0.285205,	0.178253,	9.87522,	0.320856,	0.606061,	0.178253,	0.534759,	0.0713012,	0.178253,	0.463458,	0,	0.463458,	0.320856,	1.06952,	0.713012,	1.35472,	0.213904,	0.142602,	3.0303,	0.427808,	0.891266,	0.0356506,	0.0356506,	0,	2.13904,	0.0713012,	0.641711,	0.57041,	3.0303,	0.249554,	0.106952,	0.0356506,	0.713012,	1.17647,	0.142602,	0.178253,	0.998217,	0.0713012,	1.81818,	1.49733,	1.14082,	0.641711,	0.819964,	0.748663,	0.213904,	0,	0.213904,	0,	0.178253,	0.178253,	0.998217,	0.641711,	0,	0.819964,	0,	0.213904,	0.0356506,	2.03209,	0.356506,	0,	0.0713012,	0.106952,	0.0356506,	0.285205,	1.39037,	
H7-hESC,	0.0344353,	11.2603,	4.26997,	1.41185,	2.47934,	0.241047,	0.413223,	0,	0.378788,	0,	0.137741,	3.75344,	0.998623,	0.241047,	0.344353,	0.688705,	0.137741,	0.0688705,	7.78237,	1.96281,	1.23967,	1.2741,	0.172176,	2.85813,	0.103306,	0.447658,	0.0344353,	1.41185,	0,	0.0344353,	1.44628,	0.241047,	0.344353,	1.61846,	4.64876,	0.275482,	0.241047,	12.7755,	0.516529,	0.65427,	0.378788,	0.241047,	0.413223,	0.241047,	0.619835,	0,	0.344353,	0.413223,	0.895317,	0.619835,	0.72314,	0.275482,	0.137741,	3.44353,	0.413223,	0.516529,	0.172176,	0.0344353,	0.0344353,	2.54821,	0.0344353,	0.688705,	0.378788,	3.5124,	0.172176,	0.103306,	0.0344353,	0.860882,	0.482094,	0.103306,	0.103306,	0.619835,	0,	1.06749,	0.860882,	1.1708,	0.72314,	0.275482,	0.378788,	0.172176,	0.172176,	0.103306,	0.137741,	0.206612,	0.0344353,	1.23967,	0.792011,	0,	1.51515,	0.0688705,	0.0688705,	0.0688705,	2.03168,	0.103306,	0.0344353,	0.0688705,	0.0344353,	0.0344353,	0.447658,	1.68733,	
HA-h,	0.454103,	9.21181,	3.27603,	1.36231,	1.65423,	0.291923,	0.356795,	0.0324359,	0.324359,	0.16218,	0.16218,	1.39475,	1.10282,	0.389231,	0.486539,	0.486539,	0.227052,	0.194616,	7.29809,	2.04346,	1.58936,	0.713591,	0.291923,	3.21116,	0.0324359,	0.486539,	0.259488,	1.36231,	0.0324359,	0.227052,	2.01103,	0.356795,	0.486539,	1.13526,	4.5086,	0.973078,	0.291923,	8.56309,	0.389231,	0.583847,	0.616283,	0.518975,	0.291923,	0.227052,	0.810898,	0,	1.10282,	0.681155,	0.291923,	1.00551,	1.36231,	0.778463,	0.259488,	2.62731,	0.746027,	0.778463,	0.0648719,	0.129744,	0.0324359,	2.4327,	0.129744,	1.00551,	0.778463,	2.27052,	0.291923,	0.324359,	0.129744,	0.908206,	1.07039,	0.356795,	0.129744,	0.810898,	0.129744,	1.55693,	1.16769,	1.58936,	0.87577,	0.908206,	0.583847,	0,	0.16218,	0.129744,	0.227052,	0.583847,	0.0973078,	1.07039,	0.583847,	0,	1.39475,	0.227052,	0.356795,	0.16218,	3.17872,	0.324359,	0.0648719,	0.0324359,	0.129744,	0.0973078,	1.20013,	1.78398,	
HAEpiC,	0.240715,	11.1417,	3.78267,	1.06602,	2.68226,	0.171939,	0.240715,	0.0687758,	0.343879,	0.0687758,	0.103164,	2.5447,	0.756534,	0.137552,	0.309491,	0.206327,	0.103164,	0.103164,	7.87483,	2.33838,	1.71939,	1.06602,	0.137552,	2.61348,	0.0343879,	0.515818,	0.0343879,	1.20358,	0,	0.137552,	1.20358,	0.550206,	0.378267,	1.1348,	5.1238,	0.515818,	0.275103,	12.0014,	0.343879,	0.447043,	0.412655,	0.275103,	0.206327,	0.275103,	0.756534,	0,	0.859697,	0.343879,	0.687758,	0.687758,	0.997249,	0.309491,	0.206327,	3.6795,	0.412655,	1.06602,	0.0343879,	0.0343879,	0,	3.37001,	0.0687758,	0.962861,	0.378267,	3.6795,	0.103164,	0.137552,	0,	0.515818,	0.722146,	0.240715,	0.103164,	0.550206,	0.0343879,	1.54746,	0.825309,	1.51307,	0.722146,	0.378267,	0.343879,	0.171939,	0.103164,	0.206327,	0.0687758,	0.171939,	0.171939,	0.962861,	0.584594,	0,	1.16919,	0.103164,	0.240715,	0.0687758,	1.78817,	0.137552,	0.0687758,	0.0343879,	0,	0.0343879,	0.447043,	2.30399,	
HCF,	0.27137,	10.2103,	3.12076,	1.1194,	2.81547,	0.305292,	0.407056,	0.135685,	0.474898,	0.0339213,	0.135685,	1.39077,	0.644505,	0.169607,	0.237449,	0.440977,	0.407056,	0.135685,	8.85346,	2.57802,	1.42469,	0.678426,	0.440977,	2.81547,	0,	0.644505,	0.135685,	1.72999,	0,	0.237449,	1.62822,	0.237449,	0.474898,	1.05156,	5.39349,	0.339213,	0.237449,	10.0068,	0.339213,	0.440977,	0.644505,	0.440977,	0.135685,	0.305292,	0.644505,	0,	1.05156,	0.50882,	0.610583,	0.746269,	1.32293,	0.169607,	0.169607,	3.32429,	0.610583,	1.22117,	0.0678426,	0.0678426,	0,	2.20488,	0.0339213,	0.915875,	0.814111,	2.95115,	0.135685,	0.169607,	0.0678426,	0.474898,	0.848033,	0.203528,	0.169607,	1.08548,	0.101764,	1.45862,	0.949796,	1.1194,	0.983718,	0.678426,	0.339213,	0.101764,	0.169607,	0.237449,	0.135685,	0.27137,	0.0339213,	0.949796,	0.610583,	0.0339213,	1.01764,	0.203528,	0.339213,	0.339213,	2.64586,	0.440977,	0,	0,	0.0339213,	0,	0.644505,	1.89959,	
HCM,	0.339789,	9.37819,	3.66972,	1.05335,	2.99015,	0.30581,	0.407747,	0.101937,	0.407747,	0.101937,	0.0679579,	1.73293,	0.985389,	0.203874,	0.339789,	0.577642,	0.237853,	0.169895,	9.27625,	2.14067,	1.52905,	0.611621,	0.169895,	2.92219,	0,	0.577642,	0.169895,	1.90282,	0,	0.0679579,	0.95141,	0.509684,	0.441726,	0.883452,	5.47061,	0.373768,	0.135916,	9.48012,	0.339789,	0.475705,	0.679579,	0.407747,	0.339789,	0.509684,	0.6456,	0.0339789,	0.849473,	0.509684,	0.407747,	0.849473,	1.35916,	0.441726,	0.203874,	2.65036,	0.781515,	0.441726,	0.169895,	0.0679579,	0,	2.68434,	0.0679579,	1.01937,	0.543663,	3.39789,	0.271831,	0.169895,	0.0339789,	0.475705,	0.713558,	0.339789,	0.237853,	0.815494,	0.0339789,	1.46109,	1.32518,	1.05335,	0.713558,	0.815494,	0.339789,	0.339789,	0.135916,	0.135916,	0.0679579,	0.373768,	0.101937,	0.95141,	0.475705,	0,	0.815494,	0.169895,	0.271831,	0.135916,	2.95617,	0.475705,	0.0679579,	0,	0.0339789,	0.135916,	0.95141,	2.03874,	
