cell ,	0,	1,	2,	3,	4,	5,	6,	7,	8,	9,	10,	11,	12,	13,	14,	15,	16,	17,	18,	19,	20,	21,	22,	23,	24,	25,	26,	27,	28,	29,	30,	31,	32,	33,	34,	35,	36,	37,	38,	39,	40,	41,	42,	43,	44,	45,	46,	47,	48,	49,	50,	51,	52,	53,	54,	55,	56,	57,	58,	59,	60,	61,	62,	63,	64,	65,	66,	67,	68,	69,	70,	71,	72,	73,	74,	75,	76,	77,	78,	79,	80,	81,	82,	83,	84,	85,	86,	87,	88,	89,	90,	91,	92,	93,	94,	95,	96,	97,	98,	99,	
AG10803,	0.185529,	19.7279,	2.10266,	1.49969,	2.27273,	0.711194,	0.494743,	0.572047,	0.262832,	0.4329,	0.293754,	1.80891,	1.7316,	0.541126,	0.757576,	0.340136,	0.463822,	0.803958,	0.572047,	0.41744,	0.680272,	0.958565,	1.23686,	1.60792,	0.819419,	0.556586,	0.309215,	0.742115,	0.170068,	0.185529,	0.386518,	1.28324,	0.463822,	1.76252,	0.63389,	0.510204,	0.41744,	1.87075,	1.56153,	1.32962,	1.06679,	0.556586,	0.0618429,	0.927644,	0.185529,	0.262832,	0.525665,	0.401979,	1.6543,	0.664811,	0.463822,	0.170068,	0.494743,	2.19542,	1.99443,	1.51515,	0.262832,	0.262832,	0.108225,	1.36054,	0.4329,	1.02041,	0.974026,	0.510204,	0.262832,	1.11317,	0.0463822,	1.66976,	1.39147,	0.587508,	0.21645,	2.33457,	0.371058,	0.803958,	3.01484,	0.63389,	2.81385,	0.262832,	1.26778,	0.494743,	0.602968,	0.4329,	0.185529,	0.757576,	0.773036,	0.556586,	1.96351,	0.139147,	0.448361,	0.123686,	0.0309215,	0.170068,	0.309215,	1.39147,	0.170068,	0.123686,	0.309215,	0.41744,	0.742115,	1.51515,	
AoAF,	0.16241,	18.1603,	2.0375,	2.17038,	2.05227,	0.88587,	0.29529,	0.693932,	0.413406,	0.516758,	0.132881,	1.91939,	1.32881,	0.487229,	0.693932,	0.339584,	0.812048,	0.782519,	0.620109,	0.442935,	0.974457,	0.546287,	1.22545,	1.71268,	0.767754,	0.546287,	0.59058,	0.856341,	0.221468,	0.16241,	0.354348,	1.26975,	0.575816,	1.53551,	0.989222,	0.679167,	0.383877,	2.2885,	1.75698,	1.18116,	1.06304,	0.620109,	0.0738225,	1.09257,	0.206703,	0.354348,	0.280526,	0.442935,	1.43216,	0.797283,	0.310055,	0.147645,	0.383877,	1.99321,	2.50997,	1.74221,	0.206703,	0.103352,	0.280526,	1.50598,	0.767754,	1.18116,	0.75299,	0.531522,	0.118116,	0.871106,	0.132881,	1.40263,	1.50598,	0.531522,	0.221468,	2.11132,	0.250997,	1.01875,	2.52473,	0.472464,	3.07102,	0.250997,	1.43216,	0.516758,	0.428171,	0.546287,	0.339584,	0.664403,	0.88587,	0.428171,	1.74221,	0.206703,	0.4577,	0.118116,	0.0738225,	0.206703,	0.324819,	1.29928,	0.191939,	0.088587,	0.516758,	0.354348,	0.664403,	1.68315,	
CD20+,	0.148441,	22.662,	2.06169,	1.22052,	2.68844,	0.511298,	0.32987,	0.659739,	0.659739,	0.362857,	0.115454,	1.83078,	1.71532,	0.296883,	0.494805,	0.791687,	0.610259,	0.70922,	0.560778,	0.428831,	0.692726,	0.775194,	0.989609,	1.79779,	0.857661,	0.659739,	0.494805,	0.874155,	0.313376,	0.313376,	0.230909,	1.38545,	0.544285,	2.11117,	0.791687,	0.494805,	0.362857,	2.11117,	1.31948,	1.46792,	0.626752,	0.445324,	0.0659739,	0.494805,	0.0989609,	0.197922,	0.280389,	0.263896,	1.99571,	0.428831,	0.313376,	0.164935,	0.247402,	1.88026,	1.63286,	0.890648,	0.0659739,	0.0989609,	0.263896,	0.956622,	0.610259,	0.7587,	0.725713,	0.577272,	0.280389,	0.692726,	0.0659739,	1.23701,	2.2761,	0.610259,	0.197922,	2.40805,	0.214415,	0.610259,	3.38116,	0.461818,	3.2987,	0.181428,	1.81428,	0.280389,	0.659739,	0.395844,	0.197922,	0.577272,	0.643246,	0.692726,	1.71532,	0.0494805,	0.527792,	0.0164935,	0.0659739,	0.247402,	0.296883,	0.874155,	0.181428,	0.115454,	0.280389,	0.313376,	0.659739,	1.94623,	
GM06990,	0.349291,	27.2858,	1.06842,	1.25334,	2.75324,	0.493117,	0.328745,	1.33552,	0.143826,	0.0821861,	0.308198,	2.48613,	2.93815,	0.328745,	0.636943,	1.78755,	0.431477,	0.0821861,	1.02733,	0.369838,	1.02733,	0.410931,	0.328745,	1.60263,	0.0821861,	0.123279,	0.719129,	0.452024,	0.657489,	0.267105,	0.575303,	0.904048,	0.287652,	1.99301,	0.719129,	0.53421,	0.883501,	2.83542,	0.164372,	1.1917,	0.821862,	0.760222,	0.205465,	0.390384,	0.0616396,	0.226012,	0.205465,	0.0616396,	1.66427,	0.513663,	0.205465,	0.0616396,	0.308198,	1.64372,	0.821862,	1.33552,	0.143826,	0.267105,	0.0410931,	1.13006,	0.53421,	0.678036,	0.184919,	0.719129,	0.0616396,	0.410931,	0.123279,	0.821862,	2.54777,	0,	0.431477,	2.46558,	0.123279,	0.390384,	2.67105,	0.47257,	1.95192,	0.123279,	4.23259,	0.143826,	0.760222,	0.328745,	0.0410931,	0.369838,	0.616396,	1.39716,	1.10951,	0.246558,	0.53421,	0.452024,	0.0410931,	0.0821861,	0.678036,	0.287652,	0.102733,	0.0410931,	0.184919,	0.184919,	0.205465,	1.13006,	
GM12865,	0.157903,	22.2643,	2.13169,	1.3106,	2.57382,	0.489499,	0.331596,	0.50529,	0.315806,	0.300016,	0.173693,	2.06853,	1.7843,	0.50529,	0.331596,	0.600032,	0.378967,	0.426338,	0.489499,	0.552661,	0.53687,	0.678983,	1.10532,	1.92642,	0.868467,	0.50529,	0.394758,	0.615822,	0.300016,	0.221064,	0.252645,	1.24743,	0.489499,	2.10011,	0.947418,	0.52108,	0.410548,	2.58961,	1.3106,	1.20006,	0.694773,	0.52108,	0.0947418,	0.457919,	0.0947418,	0.189484,	0.331596,	0.189484,	1.6264,	0.663193,	0.315806,	0.126322,	0.347387,	2.2738,	1.70535,	1.61061,	0.252645,	0.110532,	0.205274,	1.21585,	0.584241,	0.647403,	0.647403,	0.473709,	0.157903,	0.900047,	0.0473709,	1.37376,	1.72114,	0.426338,	0.236855,	2.40013,	0.236855,	0.773725,	3.2528,	0.410548,	3.06332,	0.284225,	2.00537,	0.363177,	0.50529,	0.378967,	0.157903,	0.50529,	0.836886,	0.742144,	2.06853,	0.0947418,	0.426338,	0.189484,	0.0631612,	0.110532,	0.347387,	0.852677,	0.221064,	0.0789515,	0.315806,	0.315806,	0.805305,	2.03695,	
H7-hESC,	0.228484,	17.7152,	1.61462,	2.01066,	2.93983,	1.08149,	0.274181,	0.913938,	0.426504,	0.502666,	0.182788,	1.79741,	1.66032,	0.517898,	0.609292,	0.426504,	0.563595,	0.792079,	0.563595,	0.594059,	0.73115,	0.792079,	1.44707,	2.14775,	0.685453,	0.380807,	0.563595,	0.761615,	0.243717,	0.228484,	0.319878,	1.53846,	0.670221,	1.4166,	1.20335,	0.670221,	0.411272,	2.37624,	1.53846,	1.08149,	0.990099,	0.594059,	0.121858,	1.20335,	0.106626,	0.167555,	0.472201,	0.152323,	1.30998,	0.578827,	0.472201,	0.152323,	0.319878,	2.07159,	2.28484,	1.99543,	0.182788,	0.167555,	0.167555,	1.44707,	0.502666,	1.14242,	0.578827,	0.487433,	0.167555,	0.670221,	0.0456969,	1.37091,	1.75171,	0.578827,	0.152323,	1.9802,	0.274181,	0.746382,	3.06169,	0.304646,	2.9703,	0.350343,	2.17822,	0.319878,	0.792079,	0.319878,	0.152323,	0.639756,	0.670221,	0.365575,	1.85834,	0.19802,	0.380807,	0.0456969,	0.0609292,	0.243717,	0.441736,	1.18812,	0.167555,	0.121858,	0.380807,	0.33511,	0.822544,	1.59939,	
HA-h,	0.426197,	12.8143,	2.13098,	1.39224,	1.96051,	0.681915,	0.355164,	0.625089,	0.696122,	0.681915,	0.284131,	1.74741,	1.27859,	0.653502,	0.767154,	0.468817,	0.582469,	1.12232,	0.696122,	0.568263,	1.05129,	1.17914,	1.17914,	1.10811,	1.49169,	0.795568,	0.511436,	0.781361,	0.298338,	0.241512,	0.49723,	1.7332,	0.809774,	1.63375,	0.681915,	0.880807,	0.539849,	1.46328,	2.00313,	0.994459,	1.00867,	0.767154,	0.127859,	0.823981,	0.340958,	0.397784,	0.511436,	0.596676,	1.02287,	0.838187,	0.767154,	0.383577,	0.483023,	2.1594,	2.14519,	1.71899,	0.41199,	0.184685,	0.241512,	1.20756,	0.710328,	1.15073,	0.90922,	0.781361,	0.625089,	1.27859,	0.0994459,	1.5059,	1.34962,	1.09391,	0.170479,	1.33542,	0.440403,	0.809774,	2.72766,	0.696122,	2.52877,	0.41199,	1.59114,	0.539849,	0.838187,	0.653502,	0.127859,	0.8666,	0.937633,	0.582469,	1.86106,	0.142066,	0.610882,	0.170479,	0.127859,	0.255718,	0.326751,	1.5059,	0.170479,	0.269925,	0.653502,	0.426197,	1.09391,	1.67637,	
HAEpiC,	0.328793,	18.9604,	2.25458,	1.89447,	2.78691,	0.798497,	0.454047,	0.688899,	0.39142,	0.641929,	0.360106,	1.97276,	1.36214,	0.407077,	0.688899,	0.501018,	0.594959,	0.751527,	0.469704,	0.610615,	0.610615,	0.626272,	1.20557,	2.01973,	0.657586,	0.422734,	0.485361,	0.673243,	0.297479,	0.234852,	0.297479,	1.04901,	0.563645,	1.51871,	1.40911,	0.610615,	0.328793,	2.08235,	1.22123,	1.58134,	1.1586,	0.610615,	0.0626272,	1.33083,	0.0469704,	0.281822,	0.563645,	0.328793,	1.29951,	0.73587,	0.313136,	0.250509,	0.751527,	2.22327,	2.27024,	1.72225,	0.109598,	0.109598,	0.156568,	1.28386,	0.375763,	1.09598,	0.720213,	0.469704,	0.203538,	1.22123,	0.078284,	1.45608,	1.28386,	0.532331,	0.172225,	2.23892,	0.313136,	0.861124,	3.24096,	0.375763,	2.5364,	0.297479,	1.42477,	0.281822,	0.78284,	0.501018,	0.234852,	0.594959,	0.751527,	0.375763,	1.70659,	0.140911,	0.328793,	0.0626272,	0.078284,	0.187882,	0.219195,	1.31517,	0.266166,	0.172225,	0.297479,	0.469704,	0.610615,	1.29951,	
HCF,	0.227894,	18.11,	2.18778,	1.74719,	2.44607,	0.66849,	0.334245,	0.592525,	0.66849,	0.455789,	0.349438,	1.64084,	1.54968,	0.455789,	0.607718,	0.349438,	0.835612,	1.04831,	0.592525,	0.425403,	0.850805,	0.759647,	1.23063,	1.32179,	1.12428,	0.714069,	0.486174,	0.790033,	0.167122,	0.303859,	0.379824,	1.5041,	0.501367,	1.61045,	0.957156,	0.592525,	0.334245,	2.02066,	1.88393,	1.35217,	1.24582,	0.501367,	0.0911577,	0.77484,	0.151929,	0.227894,	0.501367,	0.303859,	1.24582,	0.759647,	0.379824,	0.197508,	0.546946,	1.89912,	2.14221,	1.68642,	0.121544,	0.167122,	0.167122,	1.24582,	0.577332,	1.20024,	0.759647,	0.41021,	0.288666,	1.20024,	0.167122,	1.20024,	1.45852,	0.759647,	0.243087,	1.86873,	0.334245,	0.790033,	3.16013,	0.622911,	2.53722,	0.319052,	1.58007,	0.470981,	0.729262,	0.51656,	0.182315,	1.00273,	0.881191,	0.486174,	1.70161,	0.0911577,	0.622911,	0.0911577,	0.0455789,	0.151929,	0.288666,	1.42814,	0.167122,	0.106351,	0.425403,	0.440596,	0.729262,	1.42814,	
HCM,	0.289414,	18.7966,	1.56893,	1.62986,	1.87357,	0.639756,	0.426504,	0.53313,	0.426504,	0.639756,	0.365575,	1.84311,	1.90404,	0.624524,	0.654989,	0.456969,	0.654989,	0.746382,	0.578827,	0.517898,	0.792079,	0.959634,	1.12719,	1.52323,	0.944402,	0.853008,	0.578827,	0.685453,	0.228484,	0.304646,	0.39604,	1.4166,	0.594059,	2.04113,	1.09673,	0.472201,	0.289414,	1.90404,	1.67555,	1.58416,	1.21858,	0.53313,	0.121858,	0.776847,	0.137091,	0.19802,	0.502666,	0.456969,	1.47753,	0.853008,	0.350343,	0.319878,	0.365575,	2.10206,	2.66565,	1.52323,	0.19802,	0.137091,	0.106626,	1.20335,	0.578827,	1.00533,	0.700686,	0.441736,	0.167555,	1.08149,	0.0304646,	1.37091,	1.27951,	0.715918,	0.289414,	2.04113,	0.365575,	0.715918,	3.25971,	0.487433,	2.77228,	0.182788,	1.02056,	0.365575,	0.563595,	0.411272,	0.258949,	0.807311,	0.868241,	0.487433,	1.64509,	0.167555,	0.365575,	0.19802,	0.152323,	0.213252,	0.441736,	1.27951,	0.19802,	0.106626,	0.517898,	0.548363,	0.639756,	1.37091,	
