cell ,	0,	1,	2,	3,	4,	5,	6,	7,	8,	9,	10,	11,	12,	13,	14,	15,	16,	17,	18,	19,	20,	21,	22,	23,	24,	25,	26,	27,	28,	29,	30,	31,	32,	33,	34,	35,	36,	37,	38,	39,	40,	41,	42,	43,	44,	45,	46,	47,	48,	49,	50,	51,	52,	53,	54,	55,	56,	57,	58,	59,	60,	61,	62,	63,	64,	65,	66,	67,	68,	69,	70,	71,	72,	73,	74,	75,	76,	77,	78,	79,	80,	81,	82,	83,	84,	85,	86,	87,	88,	89,	90,	91,	92,	93,	94,	95,	96,	97,	98,	99,	
AG10803,	0.311927,	16.7798,	1.09174,	1.24771,	2.17431,	0.366972,	1.16514,	0.192661,	0.376147,	0.651376,	0.0642202,	2.6055,	1.99083,	0.0917431,	0.477064,	0.706422,	0.229358,	0.53211,	1.19266,	0.211009,	0.697248,	1.12844,	3.12844,	0.458716,	0.348624,	0.0550459,	0.220183,	0.559633,	0.220183,	0.110092,	0.165138,	0.247706,	1.38532,	0.385321,	0.220183,	0.284404,	0.247706,	2.24771,	0.59633,	4.3578,	0.880734,	1.48624,	0.0458716,	0.165138,	0.0733945,	0.155963,	0.00917431,	0.541284,	0.798165,	0.110092,	0.321101,	0.00917431,	1.02752,	2.48624,	3.44037,	2.04587,	0.422018,	0.40367,	0.0550459,	0.559633,	0.321101,	0.853211,	0.93578,	0.688073,	0.0275229,	0.256881,	0.0183486,	2.47706,	1.0367,	0.348624,	0.183486,	1.3945,	0.00917431,	0.12844,	7.15596,	0.247706,	6.25688,	0.522936,	1.49541,	0.0642202,	0.321101,	0.165138,	0.0550459,	0.302752,	0.201835,	0.761468,	0.807339,	0.0917431,	0.12844,	0.0917431,	0,	0.266055,	0.266055,	5.01835,	0.0366972,	0.0275229,	0.275229,	0.247706,	1.3211,	0.633028,	
AoAF,	0.472773,	12.5201,	1.46053,	1.39299,	2.37231,	0.379907,	1.19882,	0.202617,	0.439004,	0.726045,	0.151963,	2.48206,	2.2119,	0.0253271,	0.67539,	0.658506,	0.312368,	0.53187,	1.24947,	0.109751,	0.734487,	1.13972,	3.94259,	0.430561,	0.287041,	0.0253271,	0.194175,	0.751372,	0.185732,	0.194175,	0.17729,	0.363022,	1.62938,	0.337695,	0.21106,	0.371465,	0.14352,	1.85732,	0.776699,	4.3225,	0.785141,	1.60405,	0.0590967,	0.109751,	0.0253271,	0.219502,	0.0253271,	0.658506,	0.607851,	0.151963,	0.32081,	0.0253271,	1.52807,	2.71845,	3.37695,	2.25412,	0.371465,	0.464331,	0.0928662,	0.67539,	0.287041,	1.19038,	1.04686,	0.776699,	0.0675391,	0.253271,	0.00844238,	2.74377,	0.768257,	0.287041,	0.151963,	1.08062,	0.00844238,	0.168848,	6.5935,	0.287041,	6.76235,	0.464331,	1.18193,	0.101309,	0.278599,	0.160405,	0.0253271,	0.565639,	0.126636,	0.74293,	0.633179,	0.0759814,	0.126636,	0.126636,	0.00844238,	0.160405,	0.4981,	5.65639,	0.0168848,	0.0422119,	0.219502,	0.413677,	1.62094,	0.548755,	
CD20+,	0.183943,	27.559,	1.33088,	0.898074,	2.59684,	0.389526,	0.595109,	0.173123,	0.248864,	0.270504,	0.151482,	2.38044,	2.87816,	0.0757412,	0.411166,	1.11448,	0.216403,	0.205583,	0.724951,	0.173123,	0.486908,	0.595109,	0.941355,	0.984635,	0.292145,	0.0541008,	0.183943,	0.692491,	0.248864,	0.108202,	0.0973815,	0.346245,	0.854793,	0.735771,	0.432807,	0.357066,	0.497728,	2.72668,	0.378706,	3.54902,	0.443627,	0.800692,	0.064921,	0.0973815,	0.0432807,	0.129842,	0.0108202,	0.270504,	1.15776,	0.194763,	0.129842,	0.0216403,	0.454447,	1.70959,	1.25514,	1.33088,	0.216403,	0.238044,	0.0216403,	0.486908,	0.183943,	0.692491,	0.562649,	0.573469,	0.0216403,	0.129842,	0,	2.15321,	1.61221,	0.108202,	0.281324,	2.32634,	0.0108202,	0.194763,	7.48756,	0.194763,	6.53538,	0.216403,	2.28306,	0.0973815,	0.346245,	0.194763,	0.0216403,	0.173123,	0.129842,	1.08202,	0.919714,	0.0324605,	0.216403,	0,	0.0216403,	0.119022,	0.411166,	1.95845,	0.0432807,	0.0216403,	0.183943,	0.248864,	0.843973,	1.14694,	
GM06990,	0.243763,	28.9791,	1.60597,	0.616576,	2.71007,	0.70261,	0.301118,	0.401491,	0.14339,	0.014339,	0.0860338,	3.62776,	7.55664,	0.401491,	0.630915,	0.946372,	0.301118,	0.0573559,	0.401491,	0.430169,	0.344135,	0.229424,	0.301118,	1.90708,	0.0286779,	0.172068,	0.172068,	0.315457,	0.387152,	0.659593,	0.286779,	0.97505,	0.645254,	2.83912,	0.458847,	0.616576,	0.372813,	3.08288,	0.243763,	1.90708,	0.0573559,	0.14339,	0.0860338,	0.0860338,	0.0430169,	0.100373,	0.129051,	0.129051,	2.32291,	0.243763,	0.100373,	0.0573559,	0.0716949,	1.4339,	0.114712,	0.329796,	0.0573559,	0.157729,	0.114712,	1.46258,	0.215085,	0.745627,	0.243763,	0.70261,	0.100373,	0.372813,	0.172068,	0.889016,	5.29108,	0.0860338,	0.14339,	3.36966,	0.114712,	0.329796,	1.34786,	0.14339,	2.22254,	0.0430169,	2.85346,	0.14339,	0.186407,	0.329796,	0.0430169,	0.430169,	0.401491,	0.573559,	1.21881,	0,	0.286779,	0.0860338,	0.100373,	0,	0.401491,	0.172068,	0.0430169,	0.0716949,	0.114712,	0.0430169,	0.315457,	2.30857,	
GM12865,	0.140944,	23.6384,	1.64099,	0.976543,	2.90949,	0.241619,	1.02688,	0.100675,	0.191282,	0.332226,	0.0704722,	2.537,	2.537,	0.0302024,	0.382563,	0.956408,	0.211416,	0.312091,	0.755059,	0.130877,	0.573845,	0.664452,	1.7014,	0.815464,	0.201349,	0.0503373,	0.161079,	0.493305,	0.281889,	0.151012,	0.140944,	0.412766,	1.00675,	0.654384,	0.382563,	0.231551,	0.463103,	2.94976,	0.573845,	3.94644,	0.372496,	1.17789,	0.0302024,	0.100675,	0.0302024,	0.0805396,	0.0201349,	0.352361,	1.09735,	0.0704722,	0.181214,	0.0201349,	0.654384,	1.7618,	1.39938,	1.33897,	0.201349,	0.211416,	0.0201349,	0.453035,	0.47317,	0.765126,	0.51344,	0.624182,	0.0100675,	0.110742,	0.0100675,	2.54707,	1.42958,	0.231551,	0.291956,	2.15443,	0,	0.161079,	8.1647,	0.0906071,	6.73513,	0.181214,	2.15443,	0.100675,	0.221484,	0.100675,	0.0100675,	0.201349,	0.0805396,	0.885936,	0.956408,	0.0201349,	0.120809,	0.0704722,	0,	0.100675,	0.392631,	2.97997,	0.0201349,	0.0100675,	0.100675,	0.171147,	1.05708,	1.19803,	
H7-hESC,	0.594961,	16.724,	1.36655,	1.17133,	2.28688,	0.632147,	1.05048,	0.223111,	0.371851,	0.343962,	0.120852,	2.67733,	2.84466,	0.0278888,	0.594961,	0.762294,	0.306777,	0.381147,	1.04118,	0.130148,	0.687924,	0.892442,	2.91903,	0.567073,	0.334666,	0.0557776,	0.195222,	0.62285,	0.195222,	0.260296,	0.176629,	0.343962,	1.81277,	0.39974,	0.241703,	0.427629,	0.464814,	2.11025,	0.529888,	4.32277,	0.641443,	1.45951,	0.0743702,	0.0743702,	0.0185925,	0.14874,	0.0464814,	0.455517,	0.641443,	0.139444,	0.260296,	0.0185925,	1.18992,	2.4914,	2.31477,	1.9987,	0.390443,	0.576369,	0.0464814,	0.743702,	0.343962,	1.004,	0.725109,	0.985405,	0.0929627,	0.130148,	0,	2.68662,	1.54318,	0.223111,	0.130148,	1.46881,	0.00929627,	0.204518,	6.35865,	0.250999,	7.2325,	0.381147,	1.4967,	0.0371851,	0.241703,	0.158037,	0.0278888,	0.557776,	0.0743702,	0.790183,	0.632147,	0.0836665,	0.14874,	0.0929627,	0.0185925,	0.14874,	0.316073,	3.96951,	0.0185925,	0.0371851,	0.223111,	0.269592,	1.14344,	0.799479,	
HA-h,	0.616872,	12.996,	1.80894,	1.34211,	2.009,	0.608536,	0.941981,	0.366789,	0.533511,	0.766922,	0.158386,	2.009,	2.13404,	0.0500167,	0.766922,	0.483494,	0.441814,	0.725242,	1.34211,	0.241747,	0.958653,	1.2004,	2.65088,	0.683561,	0.758586,	0.0916972,	0.308436,	0.691897,	0.258419,	0.183394,	0.408469,	0.491831,	1.33378,	0.366789,	0.325108,	0.491831,	0.475158,	2.17573,	0.833611,	3.46782,	0.941981,	1.70057,	0.0833611,	0.225075,	0.0666889,	0.233411,	0.0416806,	0.691897,	0.566856,	0.216739,	0.250083,	0.100033,	1.28376,	2.38413,	3.25108,	2.35078,	0.525175,	0.466822,	0.100033,	0.700233,	0.366789,	1.09203,	0.841947,	1.05035,	0.125042,	0.216739,	0.0250083,	2.95932,	1.01701,	0.416806,	0.325108,	1.27543,	0.0416806,	0.241747,	5.53518,	0.366789,	5.16839,	0.85862,	1.78393,	0.141714,	0.391797,	0.233411,	0.0583528,	0.508503,	0.175058,	0.783594,	0.691897,	0.141714,	0.208403,	0.116706,	0.00833611,	0.433478,	0.6002,	3.87629,	0.0333444,	0.0916972,	0.3001,	0.591864,	1.44215,	0.783594,	
HAEpiC,	0.370237,	14.9449,	1.00235,	1.12877,	2.47426,	0.469568,	1.25519,	0.126422,	0.243814,	0.686292,	0.117392,	2.64584,	2.26657,	0.0270905,	0.668232,	0.614051,	0.361206,	0.469568,	1.47192,	0.126422,	0.875926,	1.14683,	3.72043,	0.478599,	0.307025,	0.0361206,	0.126422,	0.740473,	0.171573,	0.207694,	0.162543,	0.334116,	1.80603,	0.406357,	0.216724,	0.614051,	0.261875,	1.94148,	0.749503,	4.2803,	0.830775,	1.49901,	0.0270905,	0.171573,	0.054181,	0.225754,	0.0361206,	0.58696,	0.686292,	0.171573,	0.270905,	0.0180603,	1.2281,	2.59166,	3.25086,	2.095,	0.415387,	0.487629,	0.0451508,	0.659202,	0.162543,	0.686292,	0.912046,	0.794654,	0.0361206,	0.135452,	0,	2.72711,	1.17392,	0.252845,	0.189633,	0.912046,	0,	0.225754,	6.94419,	0.325086,	6.45656,	0.424418,	1.00235,	0.0451508,	0.207694,	0.0722413,	0.00903016,	0.496659,	0.270905,	0.677262,	0.55987,	0.108362,	0.108362,	0.0451508,	0.00903016,	0.153513,	0.442478,	5.40004,	0.00903016,	0.0180603,	0.144483,	0.325086,	1.5261,	0.605021,	
HCF,	0.334116,	16.2724,	1.30937,	1.25519,	2.14918,	0.424418,	1.06556,	0.180603,	0.451508,	0.713383,	0.117392,	2.19433,	1.83312,	0.0270905,	0.595991,	0.686292,	0.243814,	0.460538,	1.0475,	0.126422,	0.677262,	1.21004,	3.19668,	0.55084,	0.352176,	0.0361206,	0.243814,	0.514719,	0.180603,	0.153513,	0.198664,	0.307025,	1.30937,	0.261875,	0.234784,	0.325086,	0.361206,	2.04985,	0.614051,	4.22612,	0.875926,	1.63446,	0.00903016,	0.180603,	0.054181,	0.216724,	0.0451508,	0.605021,	0.659202,	0.117392,	0.234784,	0.0180603,	1.3184,	2.30269,	3.24183,	2.12209,	0.487629,	0.325086,	0.0722413,	0.731443,	0.334116,	0.939137,	0.975257,	0.740473,	0.0632111,	0.198664,	0.0270905,	2.60069,	0.893986,	0.379267,	0.198664,	1.56222,	0.00903016,	0.135452,	6.60105,	0.225754,	6.57396,	0.614051,	1.60737,	0.0993318,	0.279935,	0.180603,	0.0361206,	0.352176,	0.117392,	0.722413,	0.677262,	0.0903016,	0.180603,	0.0451508,	0.0361206,	0.180603,	0.325086,	5.58064,	0.0361206,	0.0180603,	0.261875,	0.307025,	1.29131,	0.758533,	
HCM,	0.306122,	15.5937,	1.23377,	1.34508,	2.35622,	0.38961,	1.28942,	0.176252,	0.343228,	0.67718,	0.0742115,	2.50464,	2.25417,	0.0278293,	0.538033,	0.67718,	0.296846,	0.593692,	0.955473,	0.231911,	0.769944,	1.18738,	3.59926,	0.482375,	0.454545,	0,	0.176252,	0.705009,	0.204082,	0.102041,	0.12987,	0.426716,	1.17811,	0.445269,	0.176252,	0.41744,	0.371058,	2.05009,	0.593692,	4.04453,	0.797774,	1.53989,	0.0834879,	0.148423,	0.0463822,	0.148423,	0.00927644,	0.640074,	0.779221,	0.139147,	0.269017,	0.0278293,	1.35436,	2.17996,	3.19109,	1.81818,	0.510204,	0.380334,	0.0742115,	0.556586,	0.352505,	0.890538,	0.96475,	0.723562,	0.0834879,	0.0927644,	0.00927644,	2.51391,	0.890538,	0.278293,	0.194805,	1.21521,	0.00927644,	0.176252,	7.44898,	0.296846,	6.02968,	0.612245,	1.55844,	0.0927644,	0.241187,	0.12987,	0.0185529,	0.454545,	0.148423,	0.695733,	0.667904,	0.120594,	0.176252,	0.0371058,	0,	0.231911,	0.380334,	5.56586,	0.0278293,	0.0371058,	0.185529,	0.25974,	1.42857,	0.686456,	
