cell ,	0,	1,	2,	3,	4,	5,	6,	7,	8,	9,	10,	11,	12,	13,	14,	15,	16,	17,	18,	19,	20,	21,	22,	23,	24,	25,	26,	27,	28,	29,	30,	31,	32,	33,	34,	35,	36,	37,	38,	39,	40,	41,	42,	43,	44,	45,	46,	47,	48,	49,	50,	51,	52,	53,	54,	55,	56,	57,	58,	59,	60,	61,	62,	63,	64,	65,	66,	67,	68,	69,	70,	71,	72,	73,	74,	75,	76,	77,	78,	79,	80,	81,	82,	83,	84,	85,	86,	87,	88,	89,	90,	91,	92,	93,	94,	95,	96,	97,	98,	99,	
AG10803,	0.122911,	16.6421,	2.53196,	1.40118,	2.58112,	1.72075,	0.172075,	0.688299,	0.221239,	0.983284,	0.0737463,	0.811209,	3.73648,	0.614553,	0.762045,	1.13078,	0.762045,	0.58997,	0.245821,	0.46706,	0.516224,	0.147493,	1.52409,	0.516224,	0.319567,	0.196657,	0.0983284,	0.688299,	0.0491642,	0.270403,	0.196657,	3.58899,	0.811209,	1.57325,	0.270403,	1.45034,	1.49951,	0.58997,	2.26155,	2.63029,	0.368732,	0.639135,	0.393314,	0.344149,	0.147493,	0.270403,	0.393314,	0.319567,	1.03245,	0.368732,	0.122911,	0.0983284,	0.147493,	1.72075,	1.32743,	1.35202,	0,	0.884956,	0.0983284,	0.884956,	0.614553,	1.647,	1.84366,	0.663717,	0.368732,	0.958702,	0.221239,	1.52409,	3.44149,	0.712881,	0.860374,	1.647,	0.196657,	0.172075,	1.10619,	0.393314,	3.66273,	0.0491642,	0.663717,	0.221239,	0.417896,	0.245821,	0.270403,	1.30285,	0.737463,	1.10619,	1.47493,	0.0983284,	0.245821,	0.270403,	0.0983284,	0.442478,	0.0737463,	0.688299,	0.0737463,	0.0983284,	1.57325,	0.122911,	0.786627,	2.53196,	
AoAF,	0.164474,	16.0949,	3.00752,	1.92669,	2.5141,	1.9032,	0.164474,	0.469925,	0.234962,	1.17481,	0.140977,	0.728383,	3.1015,	0.798872,	0.657895,	0.75188,	0.916353,	0.56391,	0.37594,	0.446429,	0.634399,	0.164474,	1.10432,	0.587406,	0.352444,	0.352444,	0.211466,	0.587406,	0.0704887,	0.117481,	0.117481,	3.66541,	0.93985,	1.76222,	0.211466,	1.12782,	1.97368,	0.634399,	2.39662,	2.06767,	0.446429,	0.681391,	0.493421,	0.281955,	0.140977,	0.164474,	0.422932,	0.140977,	0.728383,	0.258459,	0.164474,	0.0469925,	0.140977,	1.78571,	1.50376,	1.50376,	0,	1.29229,	0.258459,	0.657895,	0.281955,	1.95019,	1.2688,	0.681391,	0.328947,	0.728383,	0.140977,	2.16165,	2.93703,	0.281955,	0.916353,	1.69173,	0.422932,	0.117481,	1.12782,	0.681391,	3.45395,	0.140977,	0.657895,	0.469925,	0.540413,	0.281955,	0.18797,	1.69173,	0.704887,	0.869361,	1.92669,	0.0234962,	0.469925,	0.258459,	0.117481,	0.422932,	0.18797,	0.446429,	0,	0.117481,	1.59774,	0.234962,	0.399436,	2.74906,	
CD20+,	0.336004,	21.0907,	2.81727,	1.36986,	2.66219,	1.47325,	0.103386,	0.542776,	0.0516929,	0.542776,	0.103386,	1.34402,	3.04988,	0.491083,	0.413544,	1.05971,	0.87878,	0.646162,	0.258465,	0.491083,	0.542776,	0.284311,	1.08555,	0.801241,	0.336004,	0.206772,	0.155079,	0.568622,	0.155079,	0.310158,	0.155079,	2.76557,	0.749548,	1.96433,	0.387697,	0.904626,	1.00801,	1.39571,	1.80925,	1.88679,	0.0775394,	0.749548,	0.387697,	0.206772,	0.129232,	0.0775394,	0.284311,	0.129232,	1.21478,	0.284311,	0.103386,	0.0516929,	0.180925,	1.65417,	0.723701,	1.4474,	0.0258465,	0.697855,	0.103386,	0.801241,	0.336004,	1.16309,	1.05971,	0.697855,	0.258465,	0.542776,	0.232618,	1.88679,	3.41173,	0.516929,	0.568622,	2.06772,	0.258465,	0.0775394,	1.57663,	0.284311,	5.32437,	0.129232,	1.03386,	0.206772,	0.284311,	0.361851,	0.232618,	0.775394,	0.697855,	1.08555,	1.65417,	0.0258465,	0.43939,	0.129232,	0.206772,	0.413544,	0.206772,	0.775394,	0,	0.103386,	0.904626,	0.103386,	0.827087,	2.61049,	
GM06990,	0.347661,	23.6094,	2.59166,	0.916561,	1.73831,	0.379267,	1.01138,	0.252845,	0.221239,	0.158028,	0.28445,	2.74968,	1.92794,	0.28445,	0.790139,	1.39064,	0.726928,	0.252845,	0.884956,	1.42225,	0.821745,	0.758533,	0.442478,	2.52845,	0.221239,	0.252845,	0.663717,	1.07459,	0.189633,	0.474083,	0.221239,	0.28445,	0.158028,	2.30721,	1.01138,	0.126422,	0.221239,	3.19216,	0.252845,	1.54867,	0.948167,	0.85335,	0.126422,	0.85335,	0.126422,	0.0316056,	0.28445,	0.410872,	1.51707,	0.790139,	0.252845,	0.410872,	0.85335,	2.11757,	1.1378,	0.821745,	0.347661,	0.158028,	0.0316056,	0.726928,	0.379267,	0.505689,	0.158028,	0.916561,	0.0632111,	0.600506,	0.0948167,	2.08597,	0.948167,	0.126422,	0.316056,	2.08597,	0.0632111,	0.916561,	4.89886,	0.28445,	1.92794,	0.126422,	1.58028,	0.28445,	0.410872,	0.379267,	0.0948167,	0.28445,	0.726928,	0.916561,	1.23262,	0.0316056,	1.07459,	0.379267,	0.0948167,	0.0632111,	1.04298,	1.1378,	0.221239,	0.126422,	0,	0.221239,	0.410872,	1.29583,	
GM12865,	0.0736377,	19.6613,	3.01915,	1.27639,	2.74914,	1.32548,	0.343643,	0.515464,	0.196367,	0.515464,	0.171821,	1.08002,	3.43643,	0.711831,	0.54001,	0.932744,	0.932744,	0.319097,	0.220913,	0.245459,	0.294551,	0.147275,	1.05547,	0.859107,	0.294551,	0.0981836,	0.220913,	0.490918,	0.0245459,	0.392734,	0.12273,	2.9946,	0.589102,	2.06186,	0.466372,	1.32548,	1.20275,	1.42366,	1.86549,	2.35641,	0.270005,	0.589102,	0.368189,	0.147275,	0.0245459,	0.147275,	0.41728,	0.0490918,	0.859107,	0.220913,	0.12273,	0.0245459,	0.220913,	1.47275,	0.95729,	1.25184,	0,	0.711831,	0.245459,	0.908198,	0.392734,	1.25184,	1.32548,	0.589102,	0.294551,	0.810015,	0.171821,	2.20913,	3.70643,	0.54001,	0.810015,	2.06186,	0.343643,	0.196367,	1.71821,	0.41728,	4.46735,	0.0736377,	1.25184,	0.270005,	0.171821,	0.343643,	0.12273,	0.932744,	0.392734,	1.42366,	1.54639,	0.0245459,	0.196367,	0.343643,	0.196367,	0.319097,	0.245459,	0.662739,	0,	0.0736377,	1.2273,	0.0981836,	0.760923,	2.45459,	
H7-hESC,	0.120715,	17.3588,	3.47658,	1.40029,	2.89715,	2.14872,	0.193143,	0.434573,	0.0965717,	0.845002,	0.193143,	1.13472,	3.23515,	0.555287,	1.03815,	0.845002,	0.796717,	0.507001,	0.193143,	0.507001,	0.57943,	0.144858,	0.869145,	0.41043,	0.313858,	0.338001,	0.169,	0.482859,	0.120715,	0.289715,	0.193143,	2.99372,	1.13472,	2.36601,	0.120715,	1.15886,	1.521,	0.651859,	2.63158,	2.17286,	0.41043,	0.676002,	0.57943,	0.0724288,	0.0724288,	0.169,	0.169,	0.144858,	0.893288,	0.313858,	0.0724288,	0.120715,	0.289715,	1.64172,	1.56929,	1.30372,	0.0482859,	1.15886,	0.120715,	0.603573,	0.338001,	1.83486,	1.42443,	0.362144,	0.362144,	0.555287,	0.169,	1.93143,	2.39015,	0.362144,	1.014,	1.49686,	0.289715,	0.144858,	2.12458,	0.531144,	3.33172,	0.0965717,	0.796717,	0.434573,	0.555287,	0.555287,	0.241429,	1.49686,	0.748431,	1.15886,	1.20715,	0,	0.41043,	0.241429,	0.0482859,	0.193143,	0.169,	0.41043,	0,	0.0965717,	1.30372,	0.193143,	0.748431,	3.16272,	
HA-h,	0.429088,	11.1337,	3.11653,	1.3776,	2.21319,	1.87444,	0.180668,	0.654923,	0.158085,	0.971093,	0.271003,	1.06143,	3.74887,	0.745257,	0.63234,	0.745257,	0.745257,	0.474255,	0.271003,	0.70009,	0.813008,	0.112918,	1.76152,	0.31617,	0.677507,	0.293586,	0.203252,	0.654923,	0.135501,	0.361337,	0.338753,	3.36495,	0.948509,	1.44535,	0.338753,	1.44535,	1.35501,	0.767841,	2.91328,	1.89702,	0.406504,	0.722674,	0.474255,	0.248419,	0.293586,	0.135501,	0.609756,	0.135501,	0.767841,	0.519422,	0.112918,	0.135501,	0.248419,	1.7841,	1.08401,	1.62602,	0.0225836,	0.971093,	0.293586,	0.971093,	0.519422,	1.62602,	2.25836,	1.2421,	0.564589,	1.12918,	0.38392,	1.5131,	2.91328,	0.858175,	0.767841,	1.30985,	0.474255,	0.112918,	1.44535,	0.609756,	3.68112,	0.203252,	0.767841,	0.203252,	0.38392,	0.38392,	0.338753,	1.33243,	0.564589,	0.948509,	1.62602,	0.0903342,	0.496838,	0.271003,	0.248419,	0.519422,	0.361337,	0.587173,	0.0225836,	0.0903342,	2.23577,	0.225836,	1.06143,	2.41644,	
HAEpiC,	0.0972053,	15.6744,	3.32928,	1.31227,	2.96476,	2.30863,	0.194411,	0.510328,	0.170109,	1.26367,	0.170109,	0.850547,	3.45079,	0.753341,	0.558931,	0.826245,	0.777643,	0.607533,	0.315917,	0.388821,	0.558931,	0.0486027,	1.21507,	0.340219,	0.437424,	0.194411,	0.170109,	0.656136,	0.0243013,	0.340219,	0.170109,	3.40219,	1.06926,	2.04131,	0.121507,	1.48238,	1.45808,	0.72904,	2.30863,	2.13852,	0.486027,	0.850547,	0.534629,	0.218712,	0.0486027,	0.0972053,	0.340219,	0.170109,	0.947752,	0.267315,	0.145808,	0.0972053,	0.243013,	1.8226,	1.38518,	1.33657,	0.0243013,	1.04496,	0.218712,	0.996355,	0.218712,	1.7497,	1.50668,	0.461725,	0.315917,	0.923451,	0.121507,	1.7497,	3.11057,	0.486027,	1.04496,	1.53098,	0.243013,	0.0486027,	1.43378,	0.461725,	3.6938,	0.072904,	0.534629,	0.291616,	0.558931,	0.243013,	0.145808,	1.91981,	0.461725,	0.947752,	1.67679,	0.0486027,	0.388821,	0.243013,	0.0972053,	0.243013,	0.121507,	0.461725,	0,	0.145808,	1.48238,	0.194411,	0.826245,	3.08627,	
HCF,	0.238322,	15.7531,	2.57388,	1.3346,	2.50238,	1.88275,	0.190658,	0.333651,	0.190658,	1.45377,	0.166826,	0.953289,	3.81316,	0.714967,	0.762631,	0.762631,	0.834128,	0.667302,	0.309819,	0.452812,	0.524309,	0.238322,	1.3346,	0.524309,	0.452812,	0.309819,	0.190658,	0.476644,	0.0476644,	0.21449,	0.42898,	3.6225,	1.09628,	1.76358,	0.21449,	1.21544,	1.69209,	0.810296,	2.85987,	2.28789,	0.42898,	0.762631,	0.42898,	0.262154,	0.0953289,	0.119161,	0.500477,	0.0714967,	0.953289,	0.285987,	0.119161,	0.0238322,	0.238322,	1.66826,	1.07245,	1.42993,	0,	1.12011,	0.0953289,	0.905624,	0.524309,	1.97807,	1.90658,	0.64347,	0.381316,	0.64347,	0.190658,	1.90658,	3.02669,	0.524309,	1.00095,	1.26311,	0.333651,	0.0953289,	1.54909,	0.357483,	3.33651,	0.0953289,	0.977121,	0.309819,	0.452812,	0.21449,	0.190658,	1.4061,	0.571973,	0.85796,	1.07245,	0.0238322,	0.309819,	0.166826,	0.0953289,	0.357483,	0.0953289,	0.571973,	0.0476644,	0.0476644,	1.42993,	0.190658,	1.04862,	3.02669,	
HCM,	0.0966651,	15.1764,	2.85162,	1.37748,	2.65829,	1.98163,	0.0724988,	0.531658,	0.120831,	0.990817,	0.120831,	0.821653,	3.89077,	0.821653,	0.483325,	0.942484,	0.77332,	0.38666,	0.241663,	0.434993,	0.749154,	0.0241663,	1.61914,	0.555824,	0.241663,	0.241663,	0.169164,	0.652489,	0.0724988,	0.265829,	0.120831,	4.03577,	0.749154,	1.42581,	0.19333,	1.69164,	1.52247,	0.700822,	2.48913,	2.31996,	0.483325,	0.77332,	0.77332,	0.241663,	0.120831,	0.19333,	0.507492,	0.120831,	0.797487,	0.289995,	0.144998,	0.0724988,	0.289995,	1.69164,	1.44998,	1.66747,	0.0241663,	0.749154,	0.169164,	0.894152,	0.338328,	1.73997,	2.05413,	0.869985,	0.483325,	0.821653,	0.434993,	1.88497,	3.45578,	0.628323,	0.821653,	1.18415,	0.217496,	0.0724988,	1.23248,	0.410827,	3.81827,	0.0724988,	0.77332,	0.241663,	0.289995,	0.289995,	0.169164,	1.35331,	0.555824,	0.869985,	1.30498,	0,	0.434993,	0.338328,	0.217496,	0.434993,	0.241663,	0.483325,	0,	0.120831,	1.54664,	0.0966651,	0.845819,	2.77912,	
